rent,"n. 租金
vt. 出租；租用；租借
vi. 租；出租"
sleeping bag,"n. 睡袋
 携来睡袋；求购睡袋；睡袋系列"
local people, 当地人；本地人；当地居民
parents,"n. 父母；双亲（parent的复数）
v. 教养；引起（parent的三单形式）"
child,n. 儿童，小孩，孩子；产物；子孙；幼稚的人；弟子
elder,"n. 老人；长辈；年长者；父辈
adj. 年长的；年龄较大的；资格老的"
group ticket,团体票
family ticket,
book online,
website,n. 网站（全球资讯网的主机站）
visa,"n. 签证
vt. 签发签证"
path,n. 道路；小路；轨道
ladder,"n. 阶梯；途径；梯状物
vi. 成名；发迹
vt. 在……上装设梯子"
café,
cafeteria,n. 自助餐厅
canteen,n. 食堂，小卖部；水壶
refectory,n. 食堂；（修道院，学院等处的）餐厅
dining room,"n. 饭厅；餐厅
 食堂；餐室；厨房"
dining hall,"na. 大餐厅
 食堂；饭厅；饭堂"
restaurant,n. 餐馆； 饭店
catering service,"un. 饮食服务
 餐饮服务；到会服务；宴会服务处"
takeaway,"n. 外卖食品；外卖餐馆
adj. 外卖的；外吃的"
take-away,"n. 熟食
adj. 供应外带的；可带走的"
buffet,"n. 自助餐；小卖部；打击；猛烈冲击
adj. 自助的；自助餐的
vi. 斗争；奋勇前进
vt. 与…搏斗；连续猛击"
menu,"n. 菜单
饭菜"
starter,n. 起动机；发令员；第一道菜；发射装置；发起者；参加比赛者，上场队员
dish,"n. 盘；餐具；一盘食物；外貌有吸引力的人
vt. 盛于碟盘中；分发；使某人的希望破灭；说（某人）的闲话
vi. 成碟状；闲谈"
bowl,"n. 碗；木球；大酒杯
vt. 投球；旋转；平稳快速移动
vi. 玩保龄球；滑动；平稳快速移动"
spoon,"n. 匙，勺子；一杓的量
vt. 用匙舀；使成匙状
vi. 轻轻向上击"
plate,"n. 碟；金属板；金属牌；感光底片
vt. 电镀；给…装甲"
fork,"n. 叉；餐叉；耙
vt. 叉起；使成叉状
vi. 分叉；分歧"
napkin,n. 餐巾；餐巾纸；尿布
tissue,"n. 组织；纸巾；薄纱；一套
vt. 饰以薄纱；用化妆纸揩去"
coffee,n. 咖啡；咖啡豆；咖啡色
chilled mineral water,
tap water,"n. 自来水
 饮用水；可饮用的自来水；水龙头水"
soft drink,"n. 软饮料（不含酒精）
 汽水；软性饮料；清凉饮料"
lemonade,n. 柠檬水
juice,n. （水果）汁，液；果汁
cocktail,"n. 鸡尾酒；开胃食品
n. 混合物
adj. 鸡尾酒的"
alcohol,n. 酒精，乙醇
balanced diet,"na. (营养)均衡的食谱
 平衡膳食；均衡膳食；均衡饮食"
ingredient,"n. 原料；要素；组成部分
adj. 构成组成部分的"
flour,"n. 面粉；粉状物质
vt. 撒粉于；把…磨成粉"
salad,n. 色拉；尤指莴苣
cheese,"n.  奶酪；干酪；要人
adj. 叛变的；胆小的
vt. 停止"
hamburger,n. 汉堡包，火腿汉堡；牛肉饼，肉饼；碎牛肉
sandwich,"n. 三明治；夹心面包
vt. 夹入；挤进；把...做成三明治"
nut,"n. 螺母，螺帽；坚果；难对付的人，难解的问题
vi. 采坚果"
lamb,"n. 羔羊，小羊；羔羊肉
vt. 生小羊，产羔羊
vi. 生小羊，产羔羊"
turkey,n. 土耳其（横跨欧亚两洲的国家）
lobster,"n. 龙虾
龙虾肉"
oyster,n. 牡蛎， 蚝；沉默寡言的人
snack,"n. 小吃，快餐；一份，部分
vi. 吃快餐，吃点心"
refreshment,n. 点心；起提神作用的东西；精力恢复
biscuit,n. 小点心，饼干
cookie,n. 饼干；小甜点
dessert,n. 餐后甜点；甜点心
chocolate,"n. 巧克力，巧克力糖；巧克力色
adj. 巧克力色的；巧克力口味的"
jam,"n. 果酱；拥挤；困境；扣篮
vt. 使堵塞；挤进，使塞满；混杂；压碎
vi. 堵塞；轧住"
yogurt,n. 酸奶酪， 酸乳（等于yoghurt）
vegetable,"n. 蔬菜；植物；植物人
adj. 蔬菜的；植物的"
potato,n.  土豆， 马铃薯
corn,"n. （美）玉米；（英）谷物； 鸡眼
vt. 腌；使成颗粒"
protein,"n. 蛋白质；朊
adj. 蛋白质的"
vitamin,n.  维生素； 维他命
calorie,n. 卡路里（热量单位）
nutrition,n. 营养，营养学；营养品
salt,"n. 盐；风趣，刺激性
adj. 咸水的；含盐的，咸味的；盐腌的；猥亵的
vt. 用盐腌；给…加盐；将盐撒在道路上使冰或雪融化"
sugar,"n. 糖；食糖；甜言蜜语
vt. 加糖于；粉饰
vi. 形成糖"
bitter,"n. 苦味；苦啤酒
adj. 苦的；痛苦的；尖刻的；充满仇恨的
vt. 使变苦
adv. 激烈地；严寒刺骨地"
spicy,adj. 辛辣的；香的，多香料的；下流的
sport,"n. 运动；游戏；娱乐；运动会；玩笑
adj. 运动的
vt. 游戏；参加体育运动；夸耀
vi. 游戏"
fitness,n. 健康；适当；适合性
club,"n. 俱乐部，社团；夜总会；棍棒；（扑克牌中的）梅花
adj. 俱乐部的
vt. 用棍棒打；募集
vi. 集资；组成俱乐部"
membership,n. 资格；成员资格；会员身份
keep-fit studio,
gym,n. 健身房；体育；体育馆
exercise equipment,"un. 训练设备
 健身器材；健身设备；运动器材"
weight-training,"n. 重力训练
 负重训练；重量训练；负重肌肉操练后"
stop watch,"n. 码表
 秒表；停表；马表"
coach,"n. 教练；旅客车厢；长途公车；四轮大马车
vt. 训练；指导
vi. 作指导；接受辅导；坐马车旅行
n.  蔻驰（皮革品牌）"
assessment,n. 评定；估价
trial session,
champion,"n. 冠军；拥护者；战士
adj. 优胜的；第一流的
vt. 支持；拥护"
peak time,"un. 高峰期；洪峰时段
 高峰时间；峰值时间；尖峰时间"
rush hour,"n. (上,下班的)高峰期
 尖峰时刻；高峰时间；尖峰时间"
changing room,"n. （尤指做运动前使用的）更衣室
 更衣间；试衣间；员工更衣室"
skiing,"n. 滑雪运动；滑雪术
v. 滑雪（ski的ing形式）"
water-skiing,n. 滑水运动（用快艇拖着在水上滑行）
kite-surfing,
roller-skating,n. 轮式溜冰；滑旱冰
rock climbing,"n. 攀岩（运动）
 攀岩运动；岩石作业；攀石"
badminton,n. 羽毛球
yoga,"n. 瑜珈（意为“结合”，指修行）；瑜珈术
n. 联想可360°翻转的超轻薄笔记本电脑"
judo,"n. （日）柔道
adj. 柔道的；柔道术的"
kick-boxing, 散打；搏击操
snowboarding,"n. 滑板滑雪（运动）；单板滑雪（运动）
v. 参加滑雪（snowboard的ing形式）"
stretch,"vt. 伸展,张开；（大量地）使用，消耗（金钱，时间）；使竭尽所能；使全力以赴；
n. 伸展，延伸
vi. 伸展；足够买（或支付）"
golf,"n. 高尔夫球；高尔夫球运动
vi. 打高尔夫球"
tennis,n. 网球（运动）
table tennis,"n. 乒乓球运动
 桌球；桌上网球；打乒乓球"
volleyball,n. 排球
squash,"n. 壁球；挤压；咯吱声；南瓜属植物；（英）果汁饮料
vt. 镇压；把…压扁；使沉默
vi. 受挤压；发出挤压声；挤入"
shopping,"n. 购物，买东西
v. 购物（shop的ing形式）"
department store,"n. 百货公司；大百货商店
 百货商场；百货店；百货大楼"
convenience store,"n. 便利商店
 便利店；便利店铺；方便商店"
grocery,"n. 食品杂货店
食品杂货"
purchase,"n. 购买；紧握；起重装置
vt. 购买；赢得
vi. 购买东西"
customer,n. 顾客；家伙
client,n.  客户；顾客；委托人
annual subscription fee,
joining fee,
budget,"n. 预算，预算费
adj. 廉价的
vt. 安排，预定；把…编入预算
vi. 编预算，做预算"
retail,"n. 零售
adj. 零售的
vt. 零售；转述
adv. 以零售方式
vi. 零售"
discount,"n. 折扣；贴现率
vt. 打折扣；将…贴现；贬损；低估；忽视
vi. 贴现；打折扣出售商品"
receipt,"n. 收到；收据；收入
vt. 收到"
invoice,"n. 账单，发货单，收款请求
vt. 开发票；记清单"
display,"n. 显示；炫耀
vt. 显示；表现；陈列
adj. 展览的；陈列用的
vi.  作炫耀行为"
label,"vt. 标注；贴标签于
n. 标签；商标；签条"
promotion,n. 提升， 晋升；推销，促销；促进；发扬，振兴
sold out,"adj. （音乐会、比赛等）票已售完的；（商品）销售一空的
 已售出；卖完；售罄"
item,"n. 条款，项目；一则；一件商品（或物品）
adj. 又，同上
v. 记下；逐条列出"
checklist,n. 清单；检查表；备忘录；目录册
worksheet,n. (学生的)活页练习题
texture,n. 质地；纹理；结构；本质，实质
cotton,"n. 棉花；棉布；棉线
adj. 棉的；棉制的
vi. 一致；理解；和谐；亲近"
nylon,n. 尼龙， 聚酰胺纤维；尼龙袜
wool,n. 羊毛；毛线；绒线；毛织品；毛料衣物
velvet,"adj. 天鹅绒的
n. 天鹅绒，丝绒；天鹅绒似的东西"
silk,"n. 丝绸；蚕丝；丝织物
adj. 丝的；丝绸的；丝制的
vi. （玉米）处于长须的阶段中"
rubber,"n. 橡胶；橡皮；合成橡胶；按摩师
adj. 橡胶制成的
vt. 涂橡胶于；用橡胶制造
vi. 扭转脖子看；好奇地引颈而望"
leather,"n. 皮革；皮革制品
vt. 用皮革包盖；抽打
adj. 皮的；皮革制的"
metal,"n. 金属；合金
vt. 以金属覆盖
adj. 金属制的"
model,"n. 模型；典型；模范；模特儿；样式
vt. 模拟；塑造；模仿
vi. 做模型；做模特儿
adj. 模范的；作模型用的"
pattern,"n. 模式；图案；样品
vt. 模仿；以图案装饰
vi. 形成图案"
average,"n. 平均；平均数；海损
adj. 平均的；普通的；通常的
vt. 算出…的平均数；将…平均分配；使…平衡
vi. 平均为；呈中间色"
demand,"n.  需求；要求；需要
vt. 要求；需要；查询
vi. 需要；请求；查问"
supply,"n. 供给，补给；供应品
vt. 供给，提供；补充
vi. 供给；替代"
best buy,"na. 买得最为合算的东西
 百思买；零售商百思买；百思买公司"
sample,"n. 样品；样本；例子
adj. 试样的，样品的；作为例子的
vt. 取样；尝试；抽样检查"
household electrical appliance, 家用电器；家电；家电业
laptop,n. 膝上型轻便电脑，笔记本电脑
purse,"n. (女士)手提袋；(国家、家庭、团体等的) 财力
vt. （嘴巴）皱起，使缩拢；撅嘴"
wallet,n. 钱包，皮夹
cosmetic,"n. 化妆品；装饰品
adj. 美容的；化妆用的"
perfume,"n. 香水；香味
vt. 洒香水于…；使…带香味
vi. 散发香气"
soap,"n. 肥皂
vt. 将肥皂涂在……上；对……拍马屁（俚语）
vi. 用肥皂擦洗"
shampoo,"n. 洗发；洗发精
vt. 洗发"
stationery,n. 文具；信纸
ink,"n. 墨水，墨汁；油墨
vt. 签署；涂墨水于"
paperclip,n. 曲别针；报纸夹
string,n. 线，弦，细绳；一串，一行
bottle top, 卑金属瓶盖；瓶口形
frame,"n. 框架；结构； 画面
adj. 有木架的；有构架的
vt. 设计；建造；陷害；使…适合
vi. 有成功希望"
raw material,"n. 原料
 原材料；原物料；生料"
fuel,"n. 燃料；刺激因素
vt. 供以燃料，加燃料
vi. 得到燃料"
coal,"n. 煤；煤块；木炭
vt. 给…加煤；把…烧成炭
vi. 上煤；加煤"
firewood,n. 柴火；木柴
brake,"n. 闸，刹车；阻碍
vt. 刹车
vi. 刹车"
container,n. 集装箱；容器
jar,"n. 罐；广口瓶；震动；刺耳声
vi. 冲突；不一致；震惊；发刺耳声
vt. 震动；刺激；使震动"
tank,"n. 坦克；水槽；池塘
vt. 把…贮放在柜内；打败
vi. 乘坦克行进"
crystal,"n. 结晶，晶体；水晶；水晶饰品
adj. 水晶的；透明的，清澈的"
indicator,n. 指示器； 指示剂； 指示符；压力计
iron,"n. 熨斗；烙铁；坚强
adj. 铁的；残酷的；刚强的
vt. 熨；用铁铸成
vi. 熨衣；烫平"
candle,"n. 蜡烛；烛光；烛形物
vt. 对着光检查"
cigar,n. 雪茄
advantage,"n. 优势；利益；有利条件
vt. 有利于；使处于优势
vi. 获利"
disadvantage,n. 缺点；不利条件；损失
smelly,adj. 有臭味的，发臭的
effective,adj. 有效的，起作用的；实际的，实在的；给人深刻印象
efficient,adj. 有效率的；有能力的；生效的
second-hand,"adj. 旧的，二手的
adv. 间接地，第二手地"
essential,"n. 本质；要素；要点；必需品
adj. 基本的；必要的；本质的；精华的"
precious,adj. 宝贵的；珍贵的；矫揉造作的
valuable,"n. 贵重物品
adj. 有价值的；贵重的；可估价的"
fashionable,adj. 流行的；时髦的；上流社会的
old-fashioned,adj. 老式的；过时的；守旧的
satisfactory,adj. 满意的；符合要求的；赎罪的
risky,adj. 危险的；冒险的；（作品等）有伤风化的
sharp,"n. 尖头；骗子；内行
adj. 急剧的；锋利的；强烈的；敏捷的；刺耳的
vt. 磨快；把音调升高
adv. 急剧地；锐利地；突然地
vi. 打扮；升音演奏"
proper,"adj. 适当的；本身的；特有的；正派的
adv. 完全地"
smooth,"n. 平滑部分；一块平地
adj. 顺利的；光滑的；平稳的
vt. 使光滑；消除（障碍等）；使优雅；缓和
adv. 光滑地；平稳地；流畅地
vi. 变平静；变平滑"
expensive,adj. 昂贵的；花钱的
costly,adj. 昂贵的；代价高的
economical,adj. 经济的；节约的；合算的
attractive,adj. 吸引人的；有魅力的；引人注目的
artificial,adj. 人造的；仿造的；虚伪的；非原产地的；武断的
reasonable,adj. 合理的，公道的；通情达理的
relevant,adj. 相关的；切题的；中肯的；有重大关系的；有意义的，目的明确的
reliable,"n. 可靠的人
adj. 可靠的；可信赖的"
automatic,"n. 自动机械；自动手枪
adj. 自动的；无意识的；必然的"
solid,"n. 固体；立方体
adj. 固体的；可靠的；立体的；结实的；一致的"
transparent,adj. 透明的；显然的；坦率的；易懂的
festival,"n. 节日；庆祝，纪念活动；欢乐
adj. 节日的，喜庆的；快乐的"
holiday,"n. 假日；节日；休息日
vi. 外出度假"
celebration,n. 庆典，庆祝会；庆祝；颂扬
opening ceremony,"n. 开幕典礼
 开幕式；开学典礼；开幕仪式"
farewell party, 欢送会；惜别会；欢送晚会
activity,n. 活动；行动；活跃
venue,n. 审判地；犯罪地点；发生地点；集合地点
auditorium,n. 礼堂，会堂；观众席
schedule,"n. 时间表；计划表；一览表
vt. 安排，计划；编制目录；将……列入计划表"
theatrical event,
drama,n. 戏剧，戏剧艺术；剧本；戏剧性事件
comedy,n. 喜剧；喜剧性；有趣的事情
stage,"n. 阶段；舞台；戏剧；驿站
vt. 举行；上演；筹划
vi. 举行；适于上演；乘驿车旅行"
microphone,n. 扩音器，麦克风
exterior,"n. 外部；表面；外型；外貌
adj. 外部的；表面的；外在的"
charity,n. 慈善；施舍；慈善团体；宽容；施舍物
donate,"n. 捐赠；捐献
vt. 捐赠；捐献
vi. 捐赠；捐献"
rehearsal,n. 排演；预演；练习；训练；叙述
audience,n. 观众；听众；读者；接见；正式会见；拜会
participant,"n. 参与者；关系者
adj. 参与的；有关系的"
city council,"na. 市参议会
 市议会；市政府；市政厅"
press,"n. 压；按；新闻；出版社； 印刷机
vt. 压；按；逼迫；紧抱
vi. 压；逼；重压"
prize,"n. 奖品；奖赏；战利品
adj. 获奖的
vt. 珍视；捕获；估价"
award,"n. 奖品；判决
vt. 授予；判定"
invitation,n. 邀请；引诱；请帖；邀请函
highlight,"n. 最精彩的部分；最重要的事情；加亮区
vt. 突出；强调；使显著；加亮"
poster,n. 海报，广告；招贴
workshop,n. 车间；研讨会；工场；讲习班
model making, 模型制作；模型能力；样板制作
wood carving,"na. 木刻(法)
 木雕；木雕刻品；木雕术"
picnic,"n. 野餐
vi. 去野餐"
cool box, 冷却箱
fancy dress ball, 假面舞会；化装舞会；化妆舞会
improvement,n. 改进，改善；提高
redevelopment,n. 再开发；重点恢复
reorient,vt. 使适应；再调整
refurbishment,n. 整修；翻新；重新磨亮
under construction,"na. 建筑中
 在建设中；施工中；在建造中"
volunteer,"n. 志愿者；志愿兵
adj. 志愿的
vt. 自愿
vi. 自愿"
effect,"n. 影响；效果；作用
vt. 产生；达到目的"
performance,n. 性能；绩效；表演；执行；表现
ballet dancing, 芭蕾舞；舞蹈生涯
music,n. 音乐，乐曲
musical instrument,"n. 乐器
 西式乐器；琴；音乐器材"
piano,n. 钢琴
cello,n. 大提琴
violin,n. 小提琴；小提琴手
guitar,"n. 吉他，六弦琴
vi. 弹吉他"
flute,"n. 长笛；(刀具的)出屑槽
vt. 用长笛吹奏
vi. 吹长笛"
screening,"n. 筛选；放映； 屏蔽；审查；防波
adj. 筛选的
v. 筛选；拍摄（screen的ing形式）；遮蔽；隔挡"
circus,n. 马戏；马戏团
clown,"n. 小丑；乡下人；粗鲁笨拙的人
vi. 扮小丑；装傻"
magic,"n. 巫术；魔法；戏法
adj. 不可思议的；有魔力的；魔术的"
puppet,n. 木偶；傀儡；受他人操纵的人
clothes,n. 衣服
wear,"n. 衣物；磨损；耐久性
v. 穿着；用旧；耗损；面露"
costume,"n. 服装，装束；戏装，剧装
vt. 给…穿上服装"
dress code,"n. （工作时的）着装规定
 着装要求；服装规定；服装标准"
jacket,"n. 羽绒滑雪衫；西装短外套；短上衣，夹克；土豆皮；书籍的护封；文件套，公文夹
vt. 给…穿夹克；给…装护套；给…包上护封；打"
suit,"n. 诉讼；恳求；套装，西装；一套外衣
vt. 适合；使适应
vi. 合适；相称"
blouse,"n. 宽松的上衣；女装衬衫
vt. 使…宽松下垂
vi. 宽松下垂"
jeans,n. 牛仔裤；工装裤
school uniform,"n. 校服
 学校制服；校服系列；学生制服"
sneakers,n. 胶底运动鞋（sneaker的复数形式）
coke,n. 可口可乐（等于Coca-Cola）
meat,n. 肉，肉类（食用）
chicken,"n. 鸡肉；小鸡；胆小鬼，懦夫
adj. 鸡肉的；胆怯的；幼小的"
beef,"n. 牛肉；肌肉；食用牛；牢骚
vt. 养；加强
vi. 抱怨，告发；发牢骚"
pork,"n. 猪肉
vt. 与女子性交"
bacon,n. 咸肉；腌肉；熏猪肉
ham,"adj. 过火的；做作的
vi. 表演过火
vt. 演得过火
n. 火腿；业余无线电爱好者；蹩脚演员"
steak,n. 牛排；肉排；鱼排
barbecue,"n. 烤肉；吃烤肉的野宴
vt. 烧烤；烤肉"
BBQ,
crab,"n. 螃蟹；蟹肉；脾气乖戾的人；起重机
vt. 抱怨；破坏；使偏航
vi. 捕蟹；发牢骚；抱怨"
shrimp,"n. 虾；小虾；矮小的人
adj. 有虾的；虾制的
vi. 捕虾"
rice,"n. 稻；米饭
vt. 把…捣成米糊状"
noodle,n. 面条；笨蛋
bread,"n. 面包；生计
vt. 在…上洒面包屑"
pizza,n. 比萨饼（一种涂有乳酪核番茄酱的意大利式有馅烘饼）
hotdog,"v. 卖弄
n. 热狗（面包）"
French fries,
chips,n.  炸土豆条；小木片；（作赌注用的）圆形筹码；缺口（chip的复数形式）
butter,"n. 黄油；奶油；奉承话
vt. 涂黄油于；讨好"
pie,"n. 馅饼；饼图；爱说话的人
vt. 使杂乱"
strawberry,n. 草莓；草莓色
blueberry,n. 蓝莓； 越橘属的浆果
pineapple,"n.  菠萝； 凤梨
adj. 凤梨科的"
tomato,n. 番茄，西红柿
carrot,"n. 胡萝卜
诱饵"
cucumber,n. 黄瓜；胡瓜
mushroom,"n. 蘑菇，伞菌；蘑菇形物体；暴发户
adj. 蘑菇的；蘑菇形的；迅速生长的
vi. 迅速增加；采蘑菇；迅速生长"
onion,n. 洋葱；洋葱头
cabbage,n. 卷心菜，甘蓝菜，洋白菜；（俚)脑袋；（非正式、侮辱）植物人（常用于英式英语）；（俚）钱，尤指纸币（常用于美式俚语）
honey,"n. 蜂蜜；宝贝；甜蜜
adj. 甘美的；蜂蜜似的
vt. 对…说甜言蜜语；加蜜使甜
vi. 奉承；说甜言蜜语"
sweet,"n. 糖果；乐趣；芳香；宝贝
adj. 甜的；悦耳的；芳香的；亲切的
（俚）酷毙了"
sour,"n. 酸味；苦事
adj. 酸的；发酵的；刺耳的；酸臭的；讨厌的
vt. 使变酸；使失望
vi. 发酵；变酸；厌烦"
sauce,"n. 酱油；沙司；调味汁
vt. 使增加趣味；给…调味"
occupation,n. 职业；占有；消遣；占有期
full-time job,全天工作
vacancy,n. 空缺；空位；空白；空虚
staff,"n. 职员；参谋；棒；支撑
adj. 职员的；行政工作的
vt. 供给人员；给…配备职员
vi. 雇用工作人员"
permanent job,"n. 固定的工作
 固定职业；固定工作；永久工作"
office assistant,
cook,"n. 厨师，厨子
vt. 烹调，煮
vi. 烹调，做菜"
waiter,n. 服务员，侍者
chef,n. 厨师，大师傅
receptionist,n. 接待员；传达员
designer,"n. 设计师；谋划者
adj. 由设计师专门设计的；享有盛名的；赶时髦的"
accountant,n. 会计师；会计人员
treasurer,n. 会计；司库；财务主管；出纳员
secretary,n. 秘书；书记；部长；大臣
reporter,n. 记者
journalist,n. 新闻工作者；报人；记日志者
engineer,"n. 工程师；工兵；火车司机
vt. 设计；策划；精明地处理
vi. 设计；建造"
architect,"n. 建筑师
缔造者"
carpenter,"n. 木匠，木工
vt. 制作
vi. 当木匠，做木匠工作"
craftsman,n. 工匠；手艺人；技工
lawyer,n. 律师；法学家
manager,n. 经理；管理人员
director,n. 主任，主管；导演；人事助理
photographer,n. 摄影师；照相师
programmer,n.  程序设计员
consultant,n. 顾问；咨询者；会诊医生
cleaner,n.  清洁剂；清洁工；干洗店；干洗商；洗洁器
police,"n. 警察，警方；治安
adj. 警察的；有关警察的
vt. 监督；管辖；维持治安；为…配备警察"
industry,n. 产业；工业；勤勉
factory,n. 工厂；制造厂；代理店
company,"n. 公司；陪伴，同伴；连队
vt. 陪伴
vi. 交往"
organization,n. 组织；机构；体制；团体
workplace,n. 工作场所；车间
tennis court,"n. 网球场
 网球场图片；网球场的工作程序；网球场地"
child care centre, 幼儿中心；托儿所；儿童看护中心
bakery,n. 面包店
customer service,"un. 售后服务
 客户服务；客服中心；顾客服务"
maintenance,n. 维护，维修；保持；生活费用
branch bank,"un. 分行
 银行分行；银行支行"
advertising agency, 广告公司；广告代理商；广告商
application form,"na. “application blank”的变体
 申请表；申请表格；申请书"
resume,"n. 摘要； 履历，简历
vi. 重新开始，继续
vt. 重新开始，继续；恢复，重新占用"
job interview,"na. 对申请工作者的口头审查
 求职面试；工作面试；求职面谈"
recruit,"n. 招聘；新兵；新成员
vi. 复原；征募新兵；得到补充；恢复健康
vt. 补充；聘用；征募；使…恢复健康"
employ,"n. 使用；雇用
vt. 使用，采用；雇用；使忙于，使从事于"
job offer,"n. 工作录用函；聘任书；工作机会
 雇主批文；工作邀请；工作担保"
contract,"n. 合同；婚约
vt. 感染；订约；使缩短
vi. 收缩；感染；订约"
academic background, 教育背景；学历；学术背景
career center, 职业中心；就业中心；职业生涯中心
reference,"n. 参考，参照；涉及，提及；参考书目；介绍信；证明书
vt. 引用
vi. 引用"
working experience, 工作经验；工作经历；任职经验
personality,n. 个性；品格；名人
attitude,n. 态度；看法；意见；姿势
gender,"n. 性；性别；性交
vt. 生（过去式gendered，过去分词gendered，现在分词gendering，第三人称单数genders，形容词genderless）"
social ability,
communication skill, 沟通技巧；沟通能力；沟通技能
reliable,"n. 可靠的人
adj. 可靠的；可信赖的"
conflict,"n. 冲突，矛盾；斗争；争执
vi. 冲突，抵触；争执；战斗"
individual talent,
work permit,"n. （国外就业）工作许可证
 工作准证；工作证；工作签证"
job responsibility, 工作职责；职位职责；工作职责一
qualification,n. 资格；条件；限制；赋予资格
teamwork,n. 团队合作；协力
cooperation,n. 合作，协作； 协力
arm badge,n. 臂章
clear voice,
think quickly,
fluent,adj. 流畅的，流利的；液态的；畅流的
vision,"n. 视力；美景；眼力；幻象；想象力；幻视（漫威漫画旗下超级英雄）
vt. 想象；显现；梦见"
washing-up,n. 洗涤；洗餐具
benefit,"n. 利益，好处；救济金
vt. 有益于，对…有益
vi. 受益，得益"
welfare,"n. 福利；幸福；福利事业；安宁
adj. 福利的；接受社会救济的"
salary,"n. 薪水
vt. 给...加薪；给...薪水"
wage,"n. 工资；代价；报偿
vt. 进行；开展
vi. 进行；发动；从事"
income,n. 收入，收益；所得
earnings,n. 收入
tip,"n. 小费；尖端；小建议，小窍门；轻拍
vt. 给小费；倾斜；翻倒；装顶端
vi. 给小费；翻倒；倾覆"
incentive,"n. 动机；刺激
adj. 激励的；刺激的"
flexible working hours,"un. 弹性工时；机动工时
 弹性工作时间；灵活的工作时间；弹性工作制"
overtime,"n.  加班时间；延长时间；加时赛
adj. 超时的；加班的
vt. 使超过时间
adv. 加班地"
medical insurance,"un. 医疗保险
 医疗保险费；医疗保障；医保"
opportunity for promotion,
colleague,n. 同事，同僚
paid vacation,"un. 带薪假日；重叠；照付薪资的休假
 带薪假期；带薪休假；不扣工资的假期"
coffee break,"n. 工间喝咖啡休息时间
 茶歇；中场休息；上班中的休息时间"
day off,"n. 休假日；休息日
 放假日；杀手假期；一天的假"
shift,"n. 移动；变化；手段；轮班
vt. 转移；改变；替换
vi. 移动；转变；转换"
health center,"un. 卫生所；卫生院；医疗站
 健康中心；医疗中心；保健中心"
medical center,"un. 医院
 医疗中心；医学中心；大学医学中心"
clinic,n. 临床；诊所
hospital,n. 医院
pharmacy,n. 药房；配药学，药剂学；制药业；一批备用药品
dentist,"n. 牙科医生
牙医诊所"
nurse,"vt. 看护，护理；照顾；培养；给…喂奶
vi. 照料，护理；喂奶；当保姆
n. 护士；奶妈，保姆"
patient,"n. 病人；患者
adj. 有耐心的，能容忍的"
chin,"n. 下巴；聊天；引体向上动作
vt. 用下巴夹住；与…聊天；在单杠上作引体向上动作
vi. 闲谈；作引体向上动作"
neck,"n. 脖子；衣领；海峡
vi. 搂著脖子亲吻；变狭窄
vt. 使变细；与…搂著脖子亲吻"
throat,"n. 喉咙；嗓子，嗓音；窄路
vt. 开沟于；用喉音说"
chest,n. 胸，胸部；衣柜；箱子；金库
shoulder,"n. 肩，肩膀；肩部
vi. 用肩推挤，用肩顶
vt. 肩负，承担"
finger,"n. 手指；指针，指状物
vt. 伸出；用手指拨弄
vi. 用指触摸；拨弄"
toe,"n. 脚趾；足尖
vt. 用脚尖走；以趾踏触
vi. 动脚尖；用足尖跳舞"
nail,"vt. 钉；使固定；揭露
n.  指甲；钉子"
elbow,"n. 肘部；弯头；扶手
vt. 推挤；用手肘推开"
wrist,"n. 手腕；腕关节
vt. 用腕力移动"
waist,n. 腰，腰部
bone,"n. 骨；骨骼
vt. 剔去...的骨；施骨肥于
vi. 苦学；专心致志"
joint,"n. 关节；接缝；接合处，接合点；（牛，羊等的腿）大块肉
adj. 共同的；连接的；联合的，合办的
vt. 连接，贴合；接合；使有接头
vi. 贴合；生节"
ankle,n. 踝关节，踝
skeleton,"n. 骨架，骨骼；纲要；骨瘦如柴的人
adj. 骨骼的；骨瘦如柴的；概略的"
lung,n. 肺；呼吸器
kidney,n.  肾脏；腰子；个性
muscle,"n. 肌肉；力量
vt. 加强；使劲搬动；使劲挤出
vi. 使劲行进"
blood,"n. 血，血液；血统
vt. 从…抽血；使先取得经验"
cell,"n. 细胞；电池；蜂房的巢室；单人小室
vi. 住在牢房或小室中"
disease,"n. 病， 疾病；弊病
vt. 传染；使…有病"
cough,"n. 咳嗽，咳嗽声；咳嗽病
vt. 咳出
vi. 咳嗽"
fever,"n. 发烧，发热；狂热
vt. 使发烧；使狂热；使患热病
vi. 发烧；狂热；患热病"
allergy,n. 过敏症；反感；厌恶
heart problem,
bad eyesight,
deaf,adj. 聋的
blind,"n. 掩饰，借口；百叶窗
adj. 盲目的；瞎的
vt. 使失明；使失去理智
adv. 盲目地；看不见地"
scar,"n. 创伤；伤痕
vt. 伤害；给留下伤痕
vi. 结疤；痊愈"
ache,"n. 疼痛
vi. 疼痛；渴望"
back pain,"un. 背痛
 背部疼痛；腰背痛；腰疼"
injury,n. 伤害，损害；受伤处
wound,"n. 创伤，伤口
vt. 使受伤
vi. 受伤，伤害"
sting,"n. 刺痛；讽刺，刺激；刺毛
vt. 刺；驱使；使…苦恼；使…疼痛
vi. 刺痛；被刺痛；感到剧痛"
infection,n. 感染；传染；影响；传染病
