now that,"na. 由于
 既然；既然已；现在已经"
partner,"n. 伙伴；合伙人；配偶
vt. 使合作；与…合伙
vi. 合伙；合股；成为搭档"
obligation,n. 义务；职责；债务
text,"n.  文本；课文；主题
vt. 发短信"
carve,"vt. 雕刻；切开；开创
vi. 切开；做雕刻工作"
carve out, 雕刻出…; 用辛勤的劳动创造出…; 剜
adolescence,n. 青春期
optimistic,adj. 乐观的；乐观主义的
financial,adj. 金融的；财政的，财务的
financially,adv. 财政上；金融上
mate,"n. 助手，大副；配偶；同事；配对物
vt. 使配对；使一致；结伴
vi. 交配；成配偶；紧密配合"
fascinating,"adj. 迷人的；吸引人的；使人神魂颠倒的
v. 使…着迷；使…陶醉（fascinate的ing形式）"
internship,n. 实习生；（美）实习期；实习医师职位
nonprofit,adj. 非盈利的；不以盈利为目的的
drift,"n. 漂流，漂移；趋势；漂流物
vi. 漂流，漂移；漂泊
vt. 使…漂流；使…受风吹积"
drift along, 随波逐流；浮沉；苟且
anticipate,vt. 预期，期望；占先，抢先；提前使用
move along,"v. 往前移动
 沿着；继续向前或后移动；走开"
put aside,"na. “set aside”的变体
 储蓄；撇开；放在一边"
make one's way,"na. 前往；发迹
 前进；行进；走去"
delicate,adj. 微妙的；精美的，雅致的；柔和的；易碎的；纤弱的；清淡可口的
above all,"na. 最主要的；最重要的是
 首先；尤其是；特别是"
relieved,"v. 减轻；解除（relieve的过去分词）
adj. 放心的"
parenthood,n. 亲子关系；父母身份
stable,"n. 马厩；牛棚
adj. 稳定的；牢固的；坚定的
vt. 赶入马房
vi. 被关在马厩"
ease,"n. 轻松，舒适；安逸，悠闲
vt. 减轻，缓和；使安心
vi. 减轻，缓和；放松；灵活地移动"
anxiety,n. 焦虑；渴望；挂念；令人焦虑的事
appetite,n. 食欲；嗜好
recession,n. 衰退；不景气；后退；凹处
calling,"n. 职业；欲望；点名；召集；邀请
v. 召；呼唤（call的现在分词）；称之为"
shovel,"n. 铁铲；一铲的量；铲车
vi. 铲
vt. 铲除；用铲挖；把…胡乱塞入"
back and forth,"na. 来回地
 反复地；往返；前后"
scholar,n. 学者；奖学金获得者
bud,"n. 芽，萌芽；蓓蕾
vt. 使发芽
vi. 发芽，萌芽"
for the record, 郑重声明；正式声明；记录在案
atypical,adj. 非典型的；不合规则的
intersperse,"vt. 点缀；散布
vi. 点缀；散布"
myth,n. 神话；虚构的人，虚构的事
predictable,adj. 可预言的
optional,"adj. 可选择的，随意的
n. 选修科目"
psychologist,n. 心理学家，心理学者
prolong,vt. 延长；拖延
maturity,n. 成熟；到期；完备
organism,n. 有机体；生物体；微生物
sexual,adj. 性的；性别的；有性的
sexually,adv. 性别地；两性之间地
universal,"n. 一般概念；普通性
adj. 普遍的；通用的；宇宙的；全世界的；全体的"
expand,"vt. 扩张；使膨胀；详述
vi. 发展；张开，展开"
transitory,adj. 短暂的，暂时的；瞬息的
establishment,n. 确立，制定；公司；设施
institutionalize,vt. 使…制度化
correspond,vi. 符合，一致；相应；通信
correspond with,"v. 相当
 符合；相符合；一致"
neuroscientist,n. 神经系统科学家
modification,n. 修改，修正；改变
criterion,n. （批评判断的）标准；准则；规范；准据
rank,"n. 排；等级；军衔；队列
adj. 讨厌的；恶臭的；繁茂的
vt. 排列；把…分等
vi. 列为；列队"
legislate,"vt. 用立法规定；通过立法
vi. 立法；制定法律"
norm,n. 标准，规范
bearing,"n.  轴承；关系；方位；举止
v. 忍受（bear的ing形式）"
have little bearing on,
have some bearing on,
impressionist,n. 印象主义者；印象派作家
blurry,adj. 模糊的；污脏的；不清楚的
stroke,"n. （游泳或划船的）划；中风；（打、击等的）一下；冲程；（成功的）举动；尝试；轻抚
vt. （用笔等）画；轻抚；轻挪；敲击；划尾桨；划掉；（打字时）击打键盘
vi. 击球；作尾桨手，指挥划桨；（打字时）击打键盘"
irregular,"n. 不规则物；不合规格的产品
adj. 不规则的；无规律的；非正规的；不合法的"
kick out,"na. 踢出；解雇；踢足球出界
 逐出；把球踢出界；开除"
account for,"na. 证明；由于；说明(银钱等的)用途；打死
 解释；占；说明…的原因"
versus,prep. 对；与...相对；对抗
consistent,adj. 始终如一的，一致的；坚持的
under attack,"adv. 遭到攻击
 受到攻击；在攻击之下；遭受攻击"
virtually,adv. 事实上，几乎；实质上
extensive,adj. 广泛的；大量的；广阔的
mobility,n. 移动性；机动性； 迁移率
lift,"vt. 举起；提升；鼓舞；空运；抄袭
vi. 消散；升起；耸立
n. 电梯；举起；起重机；搭车"
sociologist,n. 社会学家
emperor,n. 皇帝，君主
secure,"vt. 保护；弄到；招致；缚住
adj. 安全的；无虑的；有把握的；稳当的
vi. 获得安全；船抛锚；停止工作"
legislator,n. 立法者
put forward,"na. 提出(计划,意见等)；建议；促进；推举(候补人等)
 提前；推荐；表提出"
problematic,adj. 问题的；有疑问的；不确定的
synergy,n. 协同；协同作用；增效
cohabit,vi. 同居（尤指未婚而同居者）
chore,n. 家庭杂务；日常的零星事务；讨厌的或累人的工作
Go,
originate,"vt. 引起；创作
vi. 发源；发生；起航"
originate in,"v. 来源于
 起源于；起源於；从某物中派生出"
essential,"n. 本质；要素；要点；必需品
adj. 基本的；必要的；本质的；精华的"
worldwide,"adj. 全世界的
adv. 在世界各地"
take turns,"na. 替换
 轮流；轮流换班；轮流做某事"
opponent,"n. 对手；反对者；敌手
adj. 对立的；敌对的"
territory,n. 领土，领域；范围；地域；版图
intuition,n. 直觉；直觉力；直觉的知识
intellectual,"n. 知识分子；凭理智做事者
adj. 智力的；聪明的；理智的"
imagination,n.  想象力；空想；幻想物
profound,adj. 深厚的；意义深远的；渊博的
googol,n. 10的100 次方；天文数字
artificial,adj. 人造的；仿造的；虚伪的；非原产地的；武断的
intelligence,n. 智力；情报工作；情报机关；理解力；才智，智慧；天分
invent,vt. 发明；创造；虚构
flexible,adj. 灵活的；柔韧的；易弯曲的
tackle,"n. 滑车；装备；用具；扭倒
vi. 扭倒；拦截抢球
vt. 处理；抓住；固定；与…交涉"
best,"n. 最好的人，最好的事物；最佳状态
adj. 最好的
vt. 打败，胜过
adv. 最好地"
champion,"n. 冠军；拥护者；战士
adj. 优胜的；第一流的
vt. 支持；拥护"
raw,"n. 擦伤处
adj. 生的；未加工的；阴冷的；刺痛的；擦掉皮的；无经验的；（在艺术等方面）不成熟的
vt. 擦伤"
input,"n. 投入；输入电路
vt.  输入；将…输入电脑"
to date,"na. 至今
 到目前为止；迄今；迄今为止"
thwart,"prep. 横过
n. 划手座；独木舟的横梁
vt. 挫败；反对；阻碍；横过
adj. 横放的；固执的
adv. 横过"
top,"n. 顶部，顶端；上部；首席；陀螺
adj. 最高的，顶上的；头等的
vt. 超越，超过；给…加盖；达到…的顶端
vi. 高出，超越；结束；达到顶点"
intellect,n. 智力，理解力；知识分子；思维逻辑领悟力；智力高的人
construct,"n. 构想，概念
vt. 建造，构造；创立"
crack,"n. 裂缝；声变；噼啪声
adj. 最好的；高明的
vi. 破裂；爆裂
vt. 使破裂；打开；变声"
neural,adj. 神经的；神经系统的；背的；神经中枢的
process,"n. 过程，进行；方法，步骤；作用；程序；推移
adj. 经过特殊加工（或处理）的
vt. 处理；加工
vi. 列队前进"
layer,"n. 层，层次；膜；压条；放置者，计划者
vt. 把…分层堆放；借助压条法；生根繁殖；将（头发）剪成不同层次
vi. 形成或分成层次；通过压条法而生根"
connection,n. 连接；关系；人脉；连接件
select,"n. 被挑选者；精萃
adj. 精选的；挑选出来的；极好的
vt. 挑选；选拔
vi. 挑选"
get the better of,"na. 胜过
 克服；打败；占上风"
mimic,"vt. 模仿，摹拟
n. 效颦者，模仿者；仿制品；小丑
adj. 模仿的，模拟的；假装的"
strategy,n. 战略，策略
adjust,"vt. 调整，使…适合；校准
vi. 调整，校准；适应"
trial-and-error,n. 试错法，反复试验法
extensive,adj. 广泛的；大量的；广阔的
put ... to the test,"na. 试验
 检验；使受检验；使受试验"
tournament,n. 锦标赛，联赛；比赛
forefront,n. 最前线，最前部；活动的中心
reign,"n. 统治；统治时期；支配
vi. 统治；支配；盛行；君临"
reigning champion,"un. 本届冠军
 卫冕冠军"
thrilled,"adj. 非常兴奋的；极为激动的
v. 激动（thrill的过去式）； 震颤"
tough,"n. 恶棍
adj. 艰苦的，困难的；坚强的，不屈不挠的；坚韧的，牢固的；强壮的，结实的
vt. 坚持；忍受，忍耐
adv. 强硬地，顽强地"
analysis,n. 分析；分解；验定
accelerate,"vt. 使……加快；使……增速
vi. 加速；促进；增加"
home in on,"na. (火箭)依靠导航系统自动飞向(目标)
 导向目标追踪；以基因本身为目标；三路大军围歼"
fruitful,adj. 富有成效的；多产的；果实结得多的
breakthrough,n. 突破；突破性进展
wristband,n. 袖口；腕套；手表带
skip,"n. 跳跃；跳读
vt. 跳过；遗漏
vi. 跳跃；跳绳；遗漏；跳读"
in advance,"na. 预先；在先头
 事先；提前；事前"
reservation,n. 预约，预订；保留
hostess,n. 女主人，女老板；女服务员；舞女；女房东
inspire,vt. 激发；鼓舞；启示；产生；使生灵感
cafeteria,n. 自助餐厅
flit,"n. 轻快的飞行；搬家
vi. 掠过；轻快地飞；移居"
resemble,vt. 类似，像
tech-studded,
transmit,"vt. 传输；传播；发射；传达；遗传
vi. 传输；发射信号"
modify,"vt. 修改，修饰；更改
vi. 修改"
inbound,"n. 入站
adj. 入境的；归本国的；回内地的"
queue up,"n. 长队；车队；辫子
v. 把(头发)梳成辫子；排(成)队
 排队；排队等候；排队等待"
receiver,n. 接收器；接受者；收信机；收款员，接待者
triangulate,"adj. 由三角形组成的；有三角斑纹的
vt. 把…分成三角形；使…成三角形；对…作三角测量"
seamlessly,adv. 无缝地
RFID,
chip,"n.  芯片；筹码；碎片；(食物的) 小片; 薄片
vt. 削，凿；削成碎片
vi. 剥落；碎裂"
unpretentious,adj. 谦逊的；含蓄的；不炫耀的；不铺张的
sign up,"na. 同“sign”
 注册；报名；签约"
touch down,"na. 触地得分；着陆；着陆过程中的一部分；着陆时间
 降落；达阵；落地"
shuttle,"n. 航天飞机；穿梭；梭子；穿梭班机、公共汽车等
vt. 使穿梭般来回移动；短程穿梭般运送
vi. 穿梭往返"
check into,"na. 去…上班
 登记住进；调查；深入调查"
tag,"n. 标签；名称；结束语；附属物
vt. 尾随，紧随；连接；起浑名；添饰
vi. 紧随"
hand over,"v. 转交；递给；送交(警察或有关当局)处理；移交(权力等)
 交出；让与；交给"
opt in, 选择加入；许可营销；选择加入型
stream,"n. 溪流；流动；潮流；光线
vt. 流出；涌出；使飘动
vi. 流；涌进；飘扬"
real-time,adj. 实时的；接到指示立即执行的
data,n. 数据（datum的复数）；资料
dilemma,n. 困境；进退两难；两刀论法
agenda,n. 议程；日常工作事项；日程表
itinerary,"n. 旅程，路线； 旅行日程
adj. 旅程的； 巡回的，流动的"
plan out,"na. 计划出
 筹划；做出计划；策划"
apt,adj. 恰当的；有…倾向的；灵敏的
be apt to do sth.,
optimize,"vt. 使最优化，使完善
vi. 优化；持乐观态度"
fiddle,"n. 小提琴
vt. 虚度时光；拉小提琴
vi. 瞎搞；拉小提琴"
interaction,"n. 相互作用； 交互作用
n. 互动"
transaction,n. 交易；事务；办理；会报，学报
pinpoint,"n. 针尖；精确位置；极小之物
vt. 查明；精确地找到；准确描述
adj. 精确的；详尽的"
myriad,"adj. 无数的；种种的
n. 无数，极大数量；无数的人或物"
candid,adj. 公正的；坦白的；率直的；偷拍的
stitch,"n. 针脚，线迹；一针
vt. 缝，缝合
vi. 缝，缝合"
coupon,n. 息票；赠券；联票； 配给券
autonomous,adj. 自治的；自主的；自发的
drone,"n. 雄蜂；嗡嗡的声音；懒惰者
n. 无人机（非正式）
vt. 低沉地说
vi. 嗡嗡作声；混日子"
aerial,"n.  天线
adj. 空中的，航空的；空气的；空想的"
quadcopter, 四轴飞行器；航拍多轴飞行器
propeller,n.  螺旋桨；推进器
license,"n. 执照，许可证；特许
vt. 许可；特许；发许可证给"
vertically,adv. 垂直地
medium,"adj. 中间的，中等的；半生熟的
n. 方法；媒体；媒介；中间物"
fail-safe,"adj. 自动防故障装置的
n. 自动防故障装置"
commercialization,n. 商品化，商业化
regulate,vt. 调节，规定；控制；校准；有系统的管理
on top of,"na. 在…之上；逼近；胜任(工作等)；掌握(情况等)
 在…上面；除…之外；另外"
responder,n. 响应器；回答者
ambulance,n.  救护车；战时流动医院
functional,adj. 功能的
CES,
regulator,n. 调整者；监管者；校准器
consumer,n. 消费者；用户，顾客
remote,"n. 远程
adj. 遥远的；偏僻的；疏远的"
valuation,n. 评价，估价；计算
nightmare,"n. 恶梦；梦魇般的经历
adj. 可怕的；噩梦似的"
chemical,"n. 化学制品，化学药品
adj. 化学的"
site,"n. 地点；位置；场所
vt. 设置；为…选址"
responsible,adj. 负责的，可靠的；有责任的
spurn,"n. 藐视，摒弃；踢开
vi. 摒弃；藐视
vt. 唾弃；冷落；一脚踢开"
politician,n. 政治家，政客
journalist,n. 新闻工作者；报人；记日志者
reach out to, 接触；把手伸向；联系
latter,adj. 后者的；近来的；后面的；较后的
exclusively,adv. 唯一地；专有地；排外地
exclusive,"n. 独家新闻；独家经营的项目；排外者
adj. 独有的；排外的；专一的"
nevertheless,"adv. 然而，不过；虽然如此
conj. 然而，不过"
favor,"n. 喜爱；欢心；好感
vt. 赞成；喜欢；像；赐予；证实"
abandon,"n. 放任；狂热
vt. 遗弃；放弃"
landfill,n. 垃圾填埋地；垃圾堆
name after,"na. name for 用(别人,别物的名字)命名
 用…的名字命名；以……命名；用…的名字作名字"
plot,"n. 情节；图；阴谋
vt. 密谋；绘图；划分；标绘
vi. 密谋；策划；绘制"
creek,n. 小溪；小湾
deranged,"adj. 疯狂的；精神错乱的
v. 使（精神）错乱（derange的过去分词和过去式）；扰乱"
stagger,"n. 蹒跚；交错安排
vt. 蹒跚；使交错；使犹豫
adj. 交错的；错开的
vi. 蹒跚；犹豫"
file,"n. 文件；档案；文件夹；锉刀
vt. 提出；锉；琢磨；把…归档
vi. 列队行进；用锉刀锉"
federal,"adv. 联邦政府地
adj. 联邦的；同盟的；联邦政府的； 联邦制的"
in response, 回应；作为反应；作为回应
commission,"n. 委员会；佣金；犯；委任；委任状
vt. 委任；使服役；委托制作"
culprit,n. 犯人，罪犯；被控犯罪的人
nutrition,n. 营养，营养学；营养品
inadequate,adj. 不充分的，不适当的
stumble upon,"un. 踌躇地转着；碰上
 偶然发现；偶然找到；被卷入"
substance,n. 物质；实质；资产；主旨
hunt,"n. 狩猎；搜寻
vt. 打猎；搜索
vi. 打猎；搜寻"
reference,"n. 参考，参照；涉及，提及；参考书目；介绍信；证明书
vt. 引用
vi. 引用"
documentation,"n. 文件, 证明文件, 史实, 文件编制"
unorganized,adj. 无组织的，无条理的；未加入工会的
document,"n. 文件，公文； 文档；证件
vt. 用文件证明"
in all,"na. 总计
 总共；一共；总共，合计"
pore,"n. 气孔；小孔
vt. 使注视
vi. 细想；凝视；熟读"
purchase,"n. 购买；紧握；起重装置
vt. 购买；赢得
vi. 购买东西"
classify,vt. 分类；分等
hazardous,adj. 有危险的；冒险的；碰运气的
recommendation,n. 推荐；建议；推荐信
dispose of,"na. 安排；解决；办妥；杀掉
 处理；除掉；处置"
facility,n. 设施；设备；容易；灵巧
flush,"n. 激动，洋溢；面红；萌芽；旺盛；奔流
adj. 大量的；齐平的；丰足的，洋溢的；挥霍的
vt. 使齐平；发红，使发亮；用水冲洗；使激动
vi. 发红，脸红；奔涌；被冲洗"
settle,"n. 有背长椅
vi. 解决；定居；沉淀；下陷
vt. 解决；安排；使…定居"
disclose,vt. 公开；揭露
cancerous,adj. 癌的；生癌的；像癌的
tumor,n. 肿瘤；肿块；赘生物
annual,"n. 年刊，年鉴；一年生植物
adj. 年度的；每年的"
profit,"n. 利润；利益
vt. 有益于
vi. 获利；有益"
brief,"n. 摘要，简报；概要，诉书
adj. 简短的，简洁的；短暂的，草率的
vt. 简报，摘要；作…的提要"
contingency,n. 偶然性； 意外事故；可能性； 意外开支；偶然式
draft,"n. 汇票；草稿；选派；（尤指房间、烟囱、炉子等供暖系统中的）（小股）气流
vt. 起草；制定；征募
vi. 拟稿；绘样；作草图
adj. 初步画出或（写出）的；（设计、草图、提纲或版本）正在起草中的，草拟的；以草稿形式的；草图的"
regulate,vt. 调节，规定；控制；校准；有系统的管理
court,"n. 法院；球场；朝廷；奉承
vt. 招致（失败、危险等）；向…献殷勤；设法获得
vi. 求爱"
deny,"vi. 否认；拒绝
vt. 否定，否认；拒绝给予；拒绝…的要求"
settlement,n. 解决，处理； 结算；沉降；殖民
accuse ... of,"un. 控告
 指责；指控；因某事控告某人"
conceal,vt. 隐藏；隐瞒
toxicity,n.  毒性
toxic,adj. 有毒的；中毒的
in violation, 达标
in violation of,"na. 违反
 违背；违反了；指违反法律"
lawsuit,n. 诉讼（尤指非刑事案件）；诉讼案件
on behalf of,"na. 替；为…的利益
 代表；代表某人；以…名义"
taint,"n. 污点；感染
vt. 污染；腐蚀；使感染
vi. 败坏；被污染"
as of,"na. 自…
 自…起；截至；在…时"
plaintiff,n. 原告
trial,"n. 试验；审讯；努力；磨炼
adj. 试验的；审讯的"
represent,"vt. 代表；表现；描绘；回忆；再赠送
vi. 代表；提出异议"
sheer,"n. 偏航；透明薄织物
adj. 绝对的；透明的；峻峭的；纯粹的
vt. 使偏航；使急转向
adv. 完全；陡峭地
vi. 偏航"
unrelenting,adj. 无情的；不屈不挠的；不松懈的
definition,n. 定义； 清晰度；解说
defy,"n. 挑战；对抗
vt. 藐视；公然反抗；挑衅；使落空"
conventional,adj. 符合习俗的，传统的；常见的；惯例的
mindset,n. 心态；倾向；习惯；精神状态
limb,"n. 肢，臂；分支；枝干
vt. 切断…的手足；从…上截下树枝"
anomaly,n. 异常；不规则；反常事物
wherein,adv. 在其中；在何处
partial,adj. 局部的；偏爱的；不公平的
shin,"n. 胫骨
vt. 爬；攀
vi. 攀；快步走"
amputate,vt. 截肢；切断；删除
amputee,n. 被截肢者
wheelchair,n. 轮椅
portion,"n. 部分；一份；命运
vt. 分配；给…嫁妆"
limitation,n. 限制；限度；极限；追诉时效；有效期限；缺陷
participate in,"v. 参加；分享
 参与；参加某事；参加例句"
softball,n. 垒球；垒球运动
disability,n. 残疾；无能；无资格；不利条件
athlete,n. 运动员，体育家；身强力壮的人
shock-absorbent, 吸震的；鞋业进入吸震
deter,vt. 制止，阻止；使打消念头
compete,vi. 竞争；比赛；对抗
track and field,"n. 田径运动
 田径赛；田径场；田径类"
sprint,"n. 冲刺；短跑
vt. 全速奔跑
vi. 冲刺，全速跑"
consequently,adv. 因此；结果；所以
consequent,"n. 结果
adj. 随之发生的；作为结果的"
coach,"n. 教练；旅客车厢；长途公车；四轮大马车
vt. 训练；指导
vi. 作指导；接受辅导；坐马车旅行
n.  蔻驰（皮革品牌）"
bravery,n. 勇敢；勇气
dash,"n. 破折号；冲撞
vi. 猛冲；撞击
vt. 使…破灭；猛撞；泼溅"
distinction,n. 区别；差别；特性；荣誉、勋章
boxed-in, 装箱
excel,"vt. 超过；擅长
vi. (在某方面)胜过(或超过)别人"
excel in,"v. 拿手于
 高强；擅长；在……方面很擅长"
prestigious,adj. 有名望的；享有声望的
clearance,n. 清除；空隙
diplomacy,n. 外交；外交手腕；交际手段
set one's sights towards,
feature,"n. 特色，特征；容貌；特写或专题节目
vt. 特写；以…为特色；由…主演
vi. 起重要作用"
cheetah,n.  猎豹
runway,n. 跑道；河床；滑道
prosthetic,adj. 假体的；非朊基的
the talk of the town, 小镇话语；慈母泪；城里的话题
charitable,adj. 慈善事业的；慷慨的，仁慈的；宽恕的
motivational,adj. 动机的；激发性的；有关动机的；动机说明
co-found,v. 共同创立
excellence,n. 优秀；美德；长处
aid,"n. 援助；帮助；助手；帮助者
vt. 援助；帮助；有助于
vi. 帮助"
lrish,
gutsy,adj. 勇敢的；贪婪的；有种的；胆大的
icon,n. 图标；偶像；肖像，画像；圣像
in the making,"na. 酝酿中的；未完成的
 在形成中；在制造中；在发展中"
redefine,vt. 重新定义
heel,"n. 脚后跟；踵
vt. 倾侧
vi. 倾侧"
unbridled,"adj. 放肆的；无拘束的；激烈的
v. 放纵（unbridle的过去分词形式）；卸下马辔头"
gorgeous,adj. 华丽的，灿烂的；极好的
inside and out, 从里到外；里里外外；从内到外地
hold back,"na. 阻止；踌躇；隐瞒；抑制
 退缩；控制；退缩不前"
in the depth of,"na. 在正中；在深处
 在...深处；在……里面"
in the depths of,在…的深处；在极端…中
reforest,vt. 重新造林
retain,vt. 保持；雇；记住
retention,n. 保留；扣留，滞留；记忆力；闭尿
halt,"n. 停止；立定；休息
vt. 使停止；使立定
vi. 停止；立定；踌躇，犹豫"
volunteer,"n. 志愿者；志愿兵
adj. 志愿的
vt. 自愿
vi. 自愿"
prefecture,n. 县；管区，辖区；地方官的任期
committed,"v. 承诺；委托；干坏事；付诸（commit的过去分词）
adj. 坚定的；效忠的；承担义务的"
desertification,n. （土壤）荒漠化；沙漠化（等于desertization）
fervor,n. 热情；热烈；热心；炽热
sapling,n. 树苗；年轻人
mm,"abbr. 毫米（millimeter）
n. 缅甸的域名"
millimeter,n.  毫米
species,"n.  物种；种类
adj. 物种上的"
withstand,"vt. 抵挡；禁得起；反抗
vi. 反抗"
consult,"vi. 请教；商议；当顾问
vt. 查阅；商量；向…请教"
forestry,n. 林业；森林地；林学
specialist,"n. 专家；专门医师
adj. 专家的；专业的"
take root,"na. “strike root”的变体
 生根；扎根；生根，扎根"
boast,"n. 自夸；值得夸耀的事物，引以为荣的事物
vi. 自吹自擂
vt. 夸口说，自吹自擂说；以有…而自豪"
tremendously,adv. 非常地；可怕地；惊人地
overgraze,"vi. 过度放牧
vt. 在…上过度放牧"
determined,"v. 决定；断定（determine的过去分词）
adj. 决定了的；坚决的"
