ethic,"n. 伦理；道德规范
adj. 伦理的；道德的（等于ethical）"
lens,"n. 透镜，镜头；眼睛中的水晶体；晶状体；隐形眼镜；汽车的灯玻璃
vt. 给……摄影"
cap,"n. 盖；帽子
vt. 覆盖；胜过；给…戴帽；加盖于
vi. 脱帽致意"
spacecraft,n.  宇宙飞船，航天器
spacesuit,n. 航天服；太空服
layer,"n. 层，层次；膜；压条；放置者，计划者
vt. 把…分层堆放；借助压条法；生根繁殖；将（头发）剪成不同层次
vi. 形成或分成层次；通过压条法而生根"
bullet,"n. 子弹；只选某党全部候选人的投票；豆子
vi. 射出；迅速行进"
proof,"n. 证明；证据；校样；考验；验证；试验
adj. 防…的；不能透入的；证明用的；耐…的
vt. 试验；校对；使不被穿透"
material,"adj. 重要的；物质的，实质性的；肉体的
n. 材料，原料；物资；布料"
slice,"n. 薄片；部分；菜刀，火铲
vt. 切下；把…分成部分；将…切成薄片
vi. 切开；割破"
currently,adv. 当前；一般地
at work,"na. 做着；在工作；起着作用；运转中
 在上班；起作用；在起作用"
close call,"na. 千钧一发；十分危险的情况；死里逃出
 死里逃生；好险；侥幸脱险"
end up,"na. 结束；完事；死；直立着
 告终；竖着；最终成为"
blow up,"v. 炸掉；爆炸；充气；放大
 炸毁；发脾气；爆发"
add to,"na. 增加
 增添；增进；添加"
pile up,"na. 堆积；积聚；(汽车等)挤在一起；(使)(船)搁浅
 累积；堆起来；积累"
wind up,结束；使紧张；卷起；（非正式）忽悠某人（wind sb up）；上紧(钟、表等的)发条
on purpose,"na. 故意；意欲
 故意地；有意；故意的"
throw away,"na. 抛弃；浪费；拒绝(劝告)；失去(机会)
 扔掉；丢弃；丢掉"
on average, 平均；平均起来；通常
fall back to,落回到
fall back on,"na. 撤退到…线；求助于
 转而依靠；依赖；借助于"
burn up,"na. 烧完；旺起来；使恼怒；发怒
 烧起来；烧尽；烧光"
take place,"na. 发生；举行
 产生；多指通过人为安排的发生；进行"
clean up,"na. 收拾干净；改正；赚厚利
 打扫；打扫干净；清除"
sailboat,n. 帆船
soundtrack,n. 声带；声道；声迹；电影配音
horn,"n. 喇叭，号角；角
vt. 装角于"
whir,"n. 呼呼声，飕飕声
vt. 使呼呼响，使呼呼地飞
vi. 作呼呼声，呼呼作声地飞"
helicopter,"n.  直升飞机
vt. 由直升机运送
vi.  乘直升飞机"
fuss,"n. 大惊小怪，大惊小怪的人；小题大作；忙乱
vt. 使烦恼，使烦忧
vi. 小题大作；忙乱；焦燥；焦急；无事自扰"
solo,"n. 独奏；独唱；独奏曲
adj. 独奏的；独唱的；单独的
vt. 单人攀登；单独驾
vi. 单独表演；放单飞
adv. 单独地"
circumnavigation,n. 世界一周旅行；周游世界
capable,adj. 能干的，能胜任的；有才华的
assume,"vt. 僭取；篡夺；夺取；擅用；侵占
vi. 假定；设想；承担；采取"
boating,"n. 划船
v. 划船（boat的ing形式）
adj. 划船的"
introduction,n. 介绍；引进；采用；入门；传入
shipwright,n. 造船工人，造船木匠
harrowing,"adj. 痛心的；悲惨的
v. 使痛苦（harrow的ing形式）；开拓"
perilous,adj. 危险的，冒险的
loose,"adj. 宽松的；散漫的；不牢固的；不精确的
vt. 释放；开船；放枪
vi. 变松；开火
adv. 松散地
n. 放纵；放任；发射"
mast,"n. 桅杆；柱；橡树果实
vt. 在…上装桅杆"
deck,"n. 甲板；行李仓；露天平台
vt. 装饰；装甲板；打扮"
strike,"n. 罢工；打击；殴打
vi. 打，打击；罢工；敲，敲击；抓；打动；穿透
vt. 打，击；罢工；撞击，冲击；侵袭；打动；到达"
rogue,"n. 流氓；小淘气；凶猛的离群兽；（尤指植物的）劣种
adj. （野兽）凶猛的
vt. 欺诈；去劣
vi. 游手好闲；去劣；流浪"
unpredictable,"n. 不可预言的事
adj. 不可预知的；不定的；出乎意料的"
abnormal,adj. 反常的，不规则的；变态的
nowhere,"adv. 无处；任何地方都不；毫无结果
n. 无处；任何地方；无名之地
adj. 不存在的；毫无结果的；不知名的"
cling,vi. 坚持，墨守；紧贴；附着
sweep,"n. 打扫，扫除；范围；全胜
vt. 扫除；猛拉；掸去
vi. 扫，打扫；席卷；扫视；袭击"
overboard,"adv. 自船上落下；向船外
adj. 极其热心的；全身心投入的"
soak,"n. 浸；湿透；大雨
vi. 浸泡；渗透
vt. 吸收，吸入；沉浸在（工作或学习中）；使……上下湿透"
cabin,"n. 小屋；客舱；船舱
vt. 把…关在小屋里
vi. 住在小屋里"
electrical,adj. 有关电的；电气科学的
pirate,"n. 海盗；盗版；侵犯专利权者
vt. 掠夺；翻印；剽窃
vi. 做海盗；从事劫掠"
emerge,vi. 浮现；摆脱；暴露
ordeal,n. 折磨；严酷的考验；痛苦的经验
unharmed,adj. 无恙的；没有受伤的
collection,n. 采集，聚集； 征收；收藏品；募捐
DVD,
update,"n. 更新；现代化
vt. 更新；校正，修正；使现代化"
accessible,adj. 易接近的；可进入的；可理解的
particularly,adv. 特别地，独特地；详细地，具体地；明确地，细致地
citizen,n. 公民；市民；老百姓
meantime,"n. 其时，其间
adv. 同时；其间"
mold,"vt. 塑造；使发霉；用模子制作
vi. 发霉
n. 霉菌；模子"
capable of,"na. (事物)可以…的；能…的；易…的；(人)敢于…的
 能够；有…能力的；易于做出…的"
in part,"na. 一部份地；有几成；在某种程度上
 部分地；一部分；有些部分"
up to,"na. 干(着)；到；胜任；…的责任
 直到；多达；取决于"
hold up,"v. 举起；支撑；耽误；抢劫
n. 抢劫；延误；堵车
 阻挡；耽搁；拿起"
hold up to, 容纳；的搭配；拔高到
in danger of,"un. 遭逢不测；有…的危险
 有…危险；处于…危险之中；处于……的危险中"
from nowhere,"不知从什么地方
不知从何处
茫然若失（唱片名, From Nowhere）"
cling to,"v. 依附；坚持
 墨守；紧紧抓住；附着"
short out,"v. 短路
 使短路；缩减"
in the meantime,"na. 在这期间
 与此同时；在此期间；其间"
finish up,"na. 完成；吃光；用尽；同“finish”
 结束；彻底完成；完成结束"
break the mold,"un. 揭模
 打破常规；开模；打破成规"
flight,"n. 飞行；班机；逃走
vt. 射击；使惊飞
vi. 迁徙"
trinket,"n. 小装饰品；不值钱的小玩意儿
vi. 密谋"
tourist,"n. 旅行者，观光客
adj. 旅游的
vt. 在旅行参观
vi. 旅游；观光
adv. 坐旅游车厢；坐经济舱"
pick-pocket,n. 扒手
scam,"n. 骗局，诡计；故事
vt. 欺诈；诓骗
vi. 欺诈；诓骗"
rob,"vt. 抢劫；使…丧失；非法剥夺
vi. 抢劫；掠夺"
vacationer,n. 休假者；度假者
resort,"n. 凭借，手段；度假胜地；常去之地
vi. 求助，诉诸；常去；采取某手段或方法"
nation,n. 国家；民族；国民
crispy,adj. 酥脆的；易碎的；干净利落的；生气勃勃的
beach,"n. 海滩；湖滨
vt. 将…拖上岸
vi. 搁浅；定居"
alike,"adj. 相似的；相同的
adv. 以同样的方式；类似于"
select,"n. 被挑选者；精萃
adj. 精选的；挑选出来的；极好的
vt. 挑选；选拔
vi. 挑选"
untouched,adj. 未受影响的；未改变的；未触动过的；不受感动的
illusion,n. 幻觉，错觉；错误的观念或信仰
establishment,n. 确立，制定；公司；设施
veer,"n. 转向；方向的转变
vt. 使转向；使顺风；使船尾向上风
vi. 转向；改变观点；风向顺时针转；调转船尾向上风"
mainstream,n. 主流
facade,n. 正面；表面；外观
integrate,"n. 一体化；集成体
adj. 整合的；完全的
vi. 求积分；取消隔离；成为一体
vt. 使…完整；使…成整体；求…的积分；表示…的总和"
cultural,adj. 文化的；教养的
expansive,adj. 广阔的；扩张的；豪爽的
border,"n. 边境；边界；国界
vt. 接近；与…接壤；在…上镶边
vi. 接界；近似"
abroad,"n. 海外；异国
adj. 往国外的
adv. 在国外；到海外"
comparison,n. 比较；对照；比喻；比较关系
neighboring,"adj. 邻近的；附近的（等于neighbouring）
v. 与…为邻；位于附近（neighbor的ing形式）"
neighbouring,adj. 邻近的；附近的；接壤的
regional,adj. 地区的；局部的；整个地区的
commercialize,vt. 使商业化；使商品化
tourism,n. 旅游业；游览
misconception,n. 误解；错觉；错误想法
apart,"adj. 分离的；与众不同的
adv. 相距；与众不同地；分离着"
cater,vt. 投合，迎合；满足需要；提供饮食及服务
middle-class,adj. 中产阶级的；中层社会的
upper-class,"n. 上层社会
adj. 上流社会的；上层阶级的；中学三年级，四年级的"
amongst,prep. 在…之中；在…当中（等于among）
inkling,"n. 暗示；略知；模糊概念
v. 暗示 （inkle的ing形式）；略知；低声说出"
a great deal,"na. 很多
 大量；许多；大量的"
buy up,"na. 囤积；整批收购；购进(其他公司)
 尽可能买进；全部买进；全部买下"
in other words,"na. 换句话说
 换言之；也就是说；也就是"
let alone,"na. 任随；更不用说；放任；莫说…(连)
 更别提；更不必说；不管"
in comparison, 相比之下；比较；比较起来
it comes to,
cater to,"v. 迎合
 投合；满足某种需要或要求；满足……的需要"
go back to,"v. 追溯到
 回到；返回到；追溯至"
master,"vt. 控制；精通；征服
n. 硕士；主人；大师；教师
adj. 主人的；主要的；熟练的"
exception,n. 例外；异议
extraordinary,adj. 非凡的；特别的；离奇的；临时的；特派的
knowledgeable,adj. 知识渊博的，有知识的；有见识的；聪明的
distinguished,"v. 区别（distinguish的过去式）
adj. 著名的；卓著的；高贵的"
metaphor,n. 暗喻，隐喻；比喻说法
X-ray,
vision,"n. 视力；美景；眼力；幻象；想象力；幻视（漫威漫画旗下超级英雄）
vt. 想象；显现；梦见"
tailor,"n. 裁缝
vt. 剪裁；使合适
vi. 做裁缝"
instruction,n. 指令，命令；指示；教导；用法说明
conceptual,adj. 概念上的
capability,n. 才能，能力；性能，容量
precise,adj. 精确的；明确的；严格的
enable,vt. 使能够，使成为可能；授予权利或方法
performance,n. 性能；绩效；表演；执行；表现
peak,"n. 山峰；最高点；顶点；帽舌
adj. 最高的；最大值的
vt. 使达到最高点；使竖起
vi. 消瘦；到达最高点；变憔悴"
innate,adj. 先天的；固有的；与生俱来的
talented,adj. 有才能的；多才的
refine,vt. 精炼，提纯；改善；使…文雅
polish,
initial,"n. 词首大写字母
adj. 最初的；字首的
vt. 用姓名的首字母签名"
personalize,vt. 使个性化；把…拟人化
violin,n. 小提琴；小提琴手
century,n. 世纪，百年；（板球）一百分
violinist,n. 小提琴演奏者，小提琴家
individually,adv. 个别地，单独地
bow,"n. 弓；鞠躬；船首
adj. 弯曲的
vi. 鞠躬；弯腰
vt. 鞠躬；弯腰"
idiosyncrasy,n. （个人独有的）气质，性格，习惯，癖好
nurture,"vt. 养育；鼓励；培植
n. 养育；教养；营养物"
shortcut,n. 捷径；被切短的东西
premier,"n. 总理，首相
adj. 第一的；最初的"
cellist,n. 大提琴演奏家
instrument,n. 仪器；工具；乐器；手段；器械
accelerate,"vt. 使……加快；使……增速
vi. 加速；促进；增加"
heighten,"vt. 提高；增高；加强；使更显著
vi. 升高；变强"
curve,"n. 曲线；弯曲；曲线球；曲线图表
adj. 弯曲的；曲线形的
vt. 弯；使弯曲
vi. 成曲形"
constitute,vt. 组成，构成；建立；任命
self-directed,adj. 自主的；自我指导的
progress,"n. 进步，发展；前进
vi. 前进，进步；进行"
scream,"n. 尖叫声；尖锐刺耳的声音；极其滑稽可笑的人
vi. 尖叫；呼啸；发出尖锐刺耳的声音；令人触目惊心
vt. 尖声喊叫；大叫大嚷着要求"
outrageous,adj. 粗暴的；可恶的；令人吃惊的
gentle,"n. 蛆，饵
adj. 温和的；文雅的
vt. 使温和，使驯服"
mentor,"n. 指导者，良师益友
vt. 指导"
individual,"n. 个人，个体
adj. 个人的；个别的；独特的"
inherent,adj. 固有的；内在的；与生俱来的，遗传的
Spanish,"n. 西班牙语；西班牙人
adj. 西班牙的；西班牙人的；西班牙语的"
diva,n. 歌剧中的首席女主角
resonance,n.  共振；共鸣；反响
clone,"n. 克隆；无性系；无性繁殖；靠营养生殖而由母体分离繁殖的植物
vt. 无性繁殖，复制"
copy,"n. 副本；一册；摹仿
vt. 复制；复印；抄袭
vi. 复制；复印；抄袭"
tuba,n. 大号，低音兼次中音大号；（管风琴的）簧管音栓
pursue,"vi. 追赶；继续进行
vt. 继续；从事；追赶；纠缠"
famed,adj. 著名的
tenor,"n. 男高音；要旨，大意；票据的限期；稳定的进程
adj. 男高音的"
modestly,adv. 谨慎地；适当地
barely,adv. 仅仅，勉强；几乎不；公开地；贫乏地
cello,n. 大提琴
forbid,vt. 禁止；不准；不允许；严禁
prize,"n. 奖品；奖赏；战利品
adj. 获奖的
vt. 珍视；捕获；估价"
perfectionist,n. 完美主义者，追求完美的人；至善论者
severe,adj. 严峻的；严厉的；剧烈的；苛刻的
satisfy,"vi. 令人满意；令人满足
vt. 满足；说服，使相信；使满意，使高兴"
output,"n. 输出，输出量；产量；出产
vt. 输出"
ovation,n. 热烈欢迎；大喝采
strive,vi. 努力；奋斗；抗争
perfection,n. 完善；完美
clarinetist,n. 吹木箫者；单簧管手
without exception,"na. 一律；无一例外地
 毫无例外地；一概；没有例外"
sort of,"adv. 有几分地
 （想不出恰当的词或不知下面该怎么说时用）可以说，可说是"
reflect on,"v. 考虑；回想
 反省；思考；仔细考虑"
attend to,"na. 照料(工作)
 照顾；注意；处理"
draw out,"na. 抽出；拔出；掏出；提出
 拉长；取出；拉出"
have nothing to do with,"na. 办完；和…断绝关系；已和…无关
 与……无关；和……毫无关系；与……毫无关系"
be satisfied with,"v. 满足于
 对……感到满意；对……满意；对……表示满意或满足"
subject,"n. 主题；科目； 主语；国民
adj. 服从的；易患…的；受制于…的
vt. 使…隶属；使屈从于…"
engineering,"n. 工程，工程学
v. 设计；管理（engineer的ing形式）；建造"
salary,"n. 薪水
vt. 给...加薪；给...薪水"
tutor,"n. 导师；家庭教师；助教
vt. 辅导；约束
vi. 当家庭教师；（美）在家庭教师指导下学习"
grade,"n. 年级；等级；成绩；级别；阶段
vt. 评分；把…分等级
vi. 分等级；逐渐变化"
smoothly,adv. 平稳地，平滑地；流畅地，流利地
enforce,vt. 实施，执行；强迫，强制
disciplinary,adj. 规律的；训练的；训诫的
conference,"n. 会议；讨论；协商；联盟；（正式）讨论会；（每年的）大会
vi. 举行或参加（系列）会议"
assess,vt. 评定；估价；对…征税
principal,"adj. 主要的；资本的
n. 首长；校长；资本；当事人"
flexible,adj. 灵活的；柔韧的；易弯曲的
staff,"n. 职员；参谋；棒；支撑
adj. 职员的；行政工作的
vt. 供给人员；给…配备职员
vi. 雇用工作人员"
rural,adj. 农村的，乡下的；田园的，有乡村风味的
suburban,"n. 郊区居民
adj. 郊区的，城郊的；土气的；见闻不广的"
urban,adj. 城市的；住在都市的
preschool,"n. 幼儿园，育幼院
adj. 未满学龄的；就学前的，入学前的"
elementary,adj. 基本的；初级的； 元素的
art,"n. 艺术；美术；艺术品
v. 是（be的变体）
adj. 艺术的；艺术品的"
counseling,"n. 咨询服务
v. 建议；劝告；商讨（counsel的ing形式）"
patience,n. 耐性，耐心；忍耐，容忍
administrator,n. 管理人；行政官
hundredth,"n. 第一百，第一百个；百分之一
adj. 第一百的；一百分之一的"
creativity,n. 创造力；创造性
admit,"vi. 承认；容许
vt. 承认；准许进入；可容纳"
mix,"vt. 配制；混淆；使混和；使结交
vi. 参与；相混合；交往
n. 混合；混合物；混乱"
bored,"v. 使厌烦（bore的过去式）；烦扰
adj. 无聊的；无趣的；烦人的"
walk up,"na. 使猎犬将(鸟等)惊飞
 沿……走；请进；走近"
think of,"na. 想起
 考虑；认为；想到"
relate to,"na. 有关联；与…有关；理解
 涉及；与…有联系；与……有关联"
relate A to B,
be sick of,"v. 讨厌
 厌恶；对…感到厌倦；对…厌倦"
mix up,"na. 调匀；混淆；使结交坏朋友；猛烈互击
 混合；搞糊涂；混合在一起"
upstairs,"n. 楼上
adj. 楼上的
adv. 在楼上，向楼上；上楼；往楼上"
architect,"n. 建筑师
缔造者"
propose,"vi. 建议；求婚；打算
vt. 建议；打算，计划；求婚"
hyper-structure,
structure,"n. 结构；构造；建筑物
vt. 组织；构成；建造"
proponent,n. 支持者；建议者；提出认证遗嘱者
sprawl,"n. 蔓生；伸开手足躺卧姿势
vt. 懒散地伸开；使蔓生
vi. 蔓延；伸开手足躺；无计划地扩展"
dwindle,"vi. 减少；变小
vt. 使缩小，使减少"
landscape,"n. 风景；风景画；景色；山水画；乡村风景画；地形；（文件的）横向打印格式
vt. 对…做景观美化，给…做园林美化；从事庭园设计
vi. 美化（环境等），使景色宜人；从事景观美化工作，做庭园设计师"
erect,"vt. 使竖立；建造；安装
adj. 竖立的；笔直的；因性刺激而勃起的
vi. 直立；勃起"
board,"n. 董事会；木板；甲板；膳食
vt. 上（飞机、车、船等）；用板盖上；给提供膳宿
vi. 寄宿"
immense,adj. 巨大的，广大的；无边无际的；非常好的
equally,adv. 同样地；相等地，平等地；公平地
technological,adj. 技术的；工艺的
ambitious,adj. 野心勃勃的；有雄心的；热望的；炫耀的
dizzy,"adj. 晕眩的；使人头晕的；昏乱的；心不在焉的；愚蠢的
vt. 使头晕眼花；使混乱；使茫然"
sway,"n. 影响；摇摆；统治
vt. 影响；统治；使摇动
vi. 影响；摇摆"
breeze,"n. 微风；轻而易举的事；煤屑；焦炭渣；小风波
vi. 吹微风；逃走"
pedestrian,"n. 行人；步行者
adj. 徒步的；缺乏想像力的"
pendulum,n. 钟摆；摇锤；摇摆不定的事态
cancel,"vi. 取消，撤销
vt. 取消；删去
vi. 取消；相互抵消
n. 取消，撤销"
induce,vt. 诱导；引起；引诱；感应
twist,"n. 扭曲；拧；扭伤
vt. 捻；拧；扭伤；编织；使苦恼
vi. 扭动；弯曲"
corkscrew,"n. 螺丝锥
adj. 螺旋形的
vt. 硬拉出；探听
vi. 曲折行进"
relieve,vt. 解除，减轻；使不单调乏味；换…的班；解围；使放心
gust,"n. 风味；一阵狂风；趣味
vi. 一阵阵地劲吹"
population,n. 人口； 种群， 群体；全体居民
eco-friendly,adj. 对生态环境友好的，不妨害生态环境的；不损坏生态环境的
skyscraper,n. 摩天楼，超高层大楼；特别高的东西
conduct,"n. 进行；行为；实施
vi. 导电；带领
vt. 管理；引导；表现"
resident,"n. 居民；住院医生
adj. 居住的；定居的"
piston,n. 活塞
dozen,"n. 十二个，一打
adj. 一打的"
Japanese,"n. 日本人；日语
adj. 日本（人）的；日语的"
omni-vator,
via,prep. 渠道，通过；经由
heliport,n.  直升飞机场，直升机停机坪
disaster,n. 灾难，灾祸；不幸
terrorism,n. 恐怖主义；恐怖行动；恐怖统治
threat,n. 威胁，恐吓；凶兆
exit,"n. 出口，通道；退场
vi. 退出；离去"
corridor,走廊
vulnerable,adj. 易受攻击的，易受…的攻击；易受伤害的；有弱点的
float,"n. 彩车，花车；漂流物；浮舟；浮萍
vi. 浮动；飘动，散播；摇摆；付诸实施
vt. 使漂浮；实行"
high-tech,"n. 高科技
adj. 高科技的，高技术的；仿真技术的"
foundation,n. 基础；地基；基金会；根据；创立
beneath,"prep. 在…之下
adv. 在下方"
occupant,n. 居住者；占有者
alienate,vt. 使疏远，离间；让与
construct,"n. 构想，概念
vt. 建造，构造；创立"
endless,adj. 无止境的；连续的；环状的；漫无目的的
identical,"n. 完全相同的事物
adj. 同一的；完全相同的"
mall,n. 购物商场；林荫路；铁圈球场
recreational,adj. 娱乐的，消遣的；休养的
good thing,"na. 有利的交易；名言； 好吃的东西
 好事情；好东西；美好的事"
on the drawing board, 在设计阶段；在筹划之中；尚在研制阶段的
rise to the challenge,"na. 应战；迎着困难上
 接受挑战；迎接挑战；拥抱挑战"
rise to the occasion,"na. 随机应变；起而应付紧急事件；起来对付；善处难局
 应付自如；应付裕如；有随机应变的能力"
speak of,"na. 讲起；特别推荐说
 谈到；谈及；提到"
dozens of,"adj. 许多
 几十；几十个；很多"
up and down,"na. 忽上忽下；各处；来来去去；升降浮沉
 上上下下；来回；来来往往"
from side to side,"na. 左右(摇等)
 左右摇摆；从一边到另一边；左右地"
in the event of,"na. 万一在…的时候
 如果发生；倘若；如果发生…万一"
cut off,"na. 削除；截止；截断(退路等)；割下来
 切断；断绝；切掉"
pyramid,"n. 金字塔；角锥体
vt. 使…渐增；使…上涨；使…成金字塔状
vi. 渐增；上涨；成金字塔状"
alter,"vt. 改变，更改
vi. 改变；修改"
dynamic,"n. 动态；动力
adj. 动态的；动力的；动力学的；有活力的"
constant,"n.  常数；恒量
adj. 不变的；恒定的；经常的"
motion,"n. 动作；移动；手势；请求；意向；议案
vi. 运动；打手势
vt. 运动；向…打手势"
rotate,"vt. 使旋转；使转动；使轮流
adj.  辐状的
vi. 旋转；循环"
independently,adv. 独立地；自立地
forever,adv. 永远；不断地；常常
invisible,adj. 无形的，看不见的；无形的；不显眼的，暗藏的
activate,"vt. 刺激；使活动；使活泼；使产生放射性
vi. 激活；有活力"
luxury,"n. 奢侈，奢华；奢侈品；享受
adj. 奢侈的"
indoor,adj. 室内的，户内的
entrance,"n. 入口；进入
vt. 使出神，使入迷"
descend,"vi. 下降；下去；下来；遗传；屈尊
vt. 下去；沿…向下"
generate,vt. 使形成；发生；生殖；产生物理反应
windmill,"n. 风车；风车房；旋转玩具；直升飞机
vt. 使旋转
vi. 作风车般旋转"
horizontally,adv. 水平地；地平地
capture,"n. 捕获；战利品，俘虏
vt. 俘获；夺得；捕捉，拍摄,录制"
combine,"n. 联合收割机；联合企业
vt. 使化合；使联合，使结合
vi. 联合，结合；化合"
enormous,adj. 庞大的，巨大的；凶暴的，极恶的
core,
cylinder,n. 圆筒；汽缸； 柱面；圆柱状物
plumbing,"n. 铅工业；铅管品制造
v. 探究；垂直悬挂；用铅锤测量；灌铅以增重（plumb的现在分词）"
segment,"n. 段；部分
vt. 分割
vi. 分割"
furniture,n. 家具；设备；储藏物
attach,"vi. 附加；附属；伴随
vt. 使依附；贴上；系上；使依恋"
fantasy,"n. 幻想；白日梦；幻觉
adj. 虚幻的
vt. 空想；想像
vi. 耽于幻想；奏幻想曲（等于phantasy）"
consist,vi. 由…组成；在于；符合
numerous,adj. 许多的，很多的
movement,n. 运动；活动；运转；乐章
call out,"na. 呼喊；大声叫唤；召集；号召罢工
 大声叫喊；唤起；出动"
dive into,"na. 探察(某人秘密)
 潜入；跳入；钻研"
next to,"prep. 紧邻；在…近旁；仅次于；紧接
 在…旁边；紧挨着；与……相邻"
hop into, 跳进
go off,"na. 进行得 (well； badly)；(话等)冒出
 爆炸；离开；离去"
at a time,"na. 一次(多少)；同时；曾经；连续
 每次；一下子；每一次"
consist of,"v. 由…合成
 由……组成；由…构成；包括"
put together,"na. 编辑；拼拢；比较考虑；使结婚
 装配；把……放在一起；加在一起"
code,"n. 代码，密码；编码；法典
vt. 编码；制成法典
vi. 指定遗传密码"
ABC,"n. 基础知识；字母表
abbr. 美国广播公司（American Broadcasting Company）；澳大利亚广播公司（Australian Broadcasting Corporation）；出生在美国的华人（American - born Chinese）；代理商-商家-消费者的商业模式（Agent, Business, Consumer）"
individuality,n. 个性；个人；个人特征；个人的嗜好（通常复数）
conformity,n. 一致，适合；符合；相似
maturity,n. 成熟；到期；完备
appearance,n. 外貌，外观；出现，露面
wishy-washy,adj. 空泛的；缺乏特点或决心的；淡而无味的；缺乏力量的
rehearsal,n. 排演；预演；练习；训练；叙述
comedian,n. 喜剧演员；滑稽人物
contagious,adj. 感染性的；会蔓延的
infect,vt. 感染，传染
pleasurable,adj. 快乐的；心情舒畅的；令人愉快的
curb,"n. 抑制；路边；勒马绳
vt. 控制；勒住"
victory,n. 胜利；成功；克服
shame,"n. 羞耻，羞愧；憾事，带来耻辱的人
vt. 使丢脸，使羞愧"
giver,n. 给予者，赠予人；送礼者
taker,n. 接受者；接受打赌的人；捕获者
compliment,"n. 恭维；称赞；问候；致意；道贺
vt. 恭维；称赞"
string,n. 线，弦，细绳；一串，一行
joyfulness,n. 快乐
joyful,adj. 欢喜的；令人高兴的
clerk,"n. 职员，办事员；店员；书记；记账员；<古>牧师，教士
vi. 当销售员，当店员；当职员"
receptionist,n. 接待员；传达员
lifelong,adj. 终身的
proportionately,adv. 相称地，成比例地
for life,"na. 终身；为逃命
 终生；一生；为了生命"
in progress,"na. 在进行中；还没有完的
 正在进行；正在进展中；进展如何"
hold back,"na. 阻止；踌躇；隐瞒；抑制
 退缩；控制；退缩不前"
set back,"na. 阻碍；延迟；花费
 推迟；推迟，延缓；使退步"
moment of truth,"na. 关键时刻；斗牛士击杀牛的时刻
 决断时刻；真相时刻；真实时刻"
at one's best,"na. 最美时期；最得意处；发挥最高的技术水平
 处在最好状态；处在最佳状态；处于最好状态"
get in the way,"na. 妨碍
 挡道；碍事；挡路"
make one's day,使满意…；给…带来幸福
make sb.'s day,
reach out to, 接触；把手伸向；联系
be done with,；做完，结束；(使用)完毕的；了结的；与…了结关系，不再同…打交道
grieve,"vi. 悲痛，哀悼
vt. 使悲伤，使苦恼"
gloss,"n. 光彩；注释；假象
vt. 使光彩；掩盖；注释"
overindulgence,n. 放纵；沉溺；任性
risky,adj. 危险的；冒险的；（作品等）有伤风化的
toxic,adj. 有毒的；中毒的
seize,"vt. 抓住；夺取；理解；逮捕
vi. 抓住；利用；（机器）卡住"
appreciate,"vi. 增值；涨价
vt. 欣赏；感激；领会；鉴别"
virtue,n. 美德；优点；贞操；功效
quantity,n. 量，数量；大量；总量
gossip,"n. 小道传闻；随笔；爱说长道短的人
vi. 闲聊；传播流言蜚语"
backbiter,n. 背后诽谤者
cultivate,vt. 培养；陶冶；耕作
measure,"n. 测量；措施；程度；尺寸
vt. 测量；估量；权衡
vi. 测量；估量"
title,"n. 冠军；标题；头衔；权利；字幕
adj. 冠军的；标题的；头衔的
vt. 加标题于；赋予头衔；把…称为"
possession,n. 拥有；财产；领地；自制；着迷
compare,"vi. 相比，匹敌；比较，区别；比拟（常与to连用）
vt. 比拟，喻为；构成
n. 比较"
thankful,adj. 感谢的；欣慰的
regardless,"adj. 不管的；不顾的；不注意的
adv. 不顾后果地；不管怎样，无论如何；不惜费用地"
legal,adj. 法律的；合法的；法定的；依照法律的
honorable,adj. 光荣的；可敬的；高贵的
honourable,adj. 荣誉的；值得尊敬的；表示尊敬的；正直的
goodness,"n. 善良，优秀 ；精华，养分
int. 天哪"
status,n. 地位；状态；情形；重要身份
mature,"adj. 成熟的；充分考虑的；到期的；成年人的
vi. 成熟；到期
vt. 使…成熟；使…长成；慎重作出"
compromise,"n. 妥协，和解；折衷
vt. 妥协；危害
vi. 妥协；让步"
skip,"n. 跳跃；跳读
vt. 跳过；遗漏
vi. 跳跃；跳绳；遗漏；跳读"
extraordinary,adj. 非凡的；特别的；离奇的；临时的；特派的
explanation,n. 说明，解释；辩解
palm,"n. 手掌；棕榈树；掌状物
vt. 将…藏于掌中"
unexpected,adj. 意外的，想不到的
smug,"n. 书呆子；自命不凡的家伙
adj. 自鸣得意的；自以为是的；整洁的"
infallible,"n. 永远正确的人；绝无谬误的事物
adj. 绝对可靠的；绝无错误的"
envision,vt. 想象；预想
zoom,"vi. 嗡嗡作响; 急速上升
n. 嗡嗡声; 隆隆声; （车辆等）疾驰的声音; 变焦
vt. 使急速上升; 使猛增"
get down,"na. 开始认真对待；落下；下车；写下
 下来；从…下来；降下"
say no, 说不；拒绝；你开口我就没办法
take risks,"un. 冒险
 冒风险；勇于冒险；承担风险"
work toward, 你应该努力改进自己；攻读；设法获得
work towards,"un. 努力设法达到或获得:
 努力使…完成；努力达到；争取"
be known as,"na. 通称
 被称为；被称作；被认为是"
step on, 走在…上面; 伤害（某人的）感情; 斥责（某人）; 跐
make sth. of sb.,
make sth. of sth.,
fall short,"na. “come short”的变体
 不足；达不到；缺乏"
regardless of,"prep. 不管；不顾；不理会
 不论；无论；不注意"
take a stand,"na. 困守(城池等)；立定脚跟
 表明立场；明确立场；采取立场"
