criticize,"vi. 批评；评论；苛求
vt. 批评；评论；非难"
redeem,vt. 赎回；挽回；兑换；履行；补偿；恢复
dread,"n. 恐惧；可怕的人（或物）
vt. 惧怕；担心
adj. 可怕的
vi. 惧怕；担心"
fatiguing,adj. 使人劳累的
numinous,adj. 精神上的；超自然的；神圣的；庄严的
summit,"n. 顶点；最高级会议；最高阶层
adj. 最高级的；政府首脑的"
cultivate,vt. 培养；陶冶；耕作
occasion,"n. 时机，机会；场合；理由
vt. 引起，惹起"
in all situations,
elevate,vt. 提升；举起；振奋情绪等；提升…的职位
appearance,n. 外貌，外观；出现，露面
deceive,v. 欺骗；行骗
intelligence,n. 智力；情报工作；情报机关；理解力；才智，智慧；天分
hide,"n. 躲藏；兽皮；躲藏处
vt. 隐藏；隐瞒；鞭打
vi. 隐藏"
examine,"vt. 检查；调查； 检测；考试
vi. 检查；调查"
method,"n. 方法；条理；类函数
adj. 使用体验派表演方法的"
abstract,"n. 摘要；抽象；抽象的概念
adj. 抽象的；深奥的
vt. 摘要；提取；使……抽象化；转移(注意力、兴趣等)；使心不在焉
vi. 做摘要；写梗概"
conflict,"n. 冲突，矛盾；斗争；争执
vi. 冲突，抵触；争执；战斗"
revenge,"n. 报复；复仇
vt. 报复；替…报仇；洗雪
vi. 报仇；雪耻"
retaliation,n. 报复；反击；回敬
foundation,n. 基础；地基；基金会；根据；创立
convinced,"v. 使确信（convince的过去分词）；说服
adj. 确信的；深信的"
separate,"n. .分开；抽印本
adj. 单独的；分开的；不同的；各自的；
vt. 使分离；使分开；使分居
vi. 分开；隔开；分居"
entrepreneur,n. 企业家；承包人；主办者
perseverance,"n. 坚持不懈；不屈不挠
n. 耐性；毅力"
outstanding,"adj. 杰出的；显著的；未解决的；未偿付的
n. 未偿贷款"
boost,"n. 推动；帮助；宣扬
vi. 宣扬；偷窃
vt. 促进；增加；支援"
esteem,"n. 尊重；尊敬
vt. 尊敬；认为；考虑；估价"
personnel,"n. 人事部门；全体人员
adj. 人员的；有关人事的"
instinctive,adj. 本能的；直觉的；天生的
urge,"n. 强烈的欲望，迫切要求；推动力
vi. 强烈要求
vt. 力劝，催促；驱策，推进"
expansion,n. 膨胀；阐述；扩张物
sincere,adj. 真诚的；诚挚的；真实的
resentment,n. 愤恨，怨恨
steel,"n. 钢铁；钢制品；坚固
adj. 钢制的；钢铁业的；坚强的
vt. 钢化；使冷酷"
dissolve,"n. 叠化画面；画面的溶暗
vt. 使溶解；使分解；使液化
vi. 溶解；解散；消失"
prepared,"v. 准备（prepare的过去分词）
adj. 准备好的；精制的"
comment,"n. 评论；意见；批评
vi. 发表评论；发表意见
vt. 为…作评语"
anniversary,n. 周年纪念日
prime,"n. 初期；青年；精华；全盛时期
adj. 主要的；最好的；基本的
vt. 使准备好；填装
vi. 作准备
adv. 极好地"
thought-provoking,adj. 发人深省的；引起思考的
profound,adj. 深厚的；意义深远的；渊博的
straight,"n. 直；直线；直男，直女，异性恋者
adj. 直的；连续的；笔直的；正直的；整齐的；异性恋的
adv. 直接地；不断地；立即；坦率地"
innovation,n. 创新，革新；新方法
efficient,adj. 有效率的；有能力的；生效的
customer,n. 顾客；家伙
friendly,"adj. 友好的；亲切的；支持的；融洽的，和睦的
adv. 友善地；温和地"
language,n. 语言；语言文字；表达能力
revise,"n. 修订；校订
vi. 修订；校订；复习功课
vt. 修正；复习；校订"
lay,"vt. 躺下；产卵；搁放；放置；铺放；涂，敷
adj. 世俗的；外行的；没有经验的
n. 位置；短诗；花纹方向；叙事诗；性伙伴
vi. 下蛋；打赌
v. 躺；位于（lie的过去式）"
mentor,"n. 指导者，良师益友
vt. 指导"
asset,n. 资产；优点；有用的东西；有利条件；财产；有价值的人或物
donate,"n. 捐赠；捐献
vt. 捐赠；捐献
vi. 捐赠；捐献"
certain,"adj. 某一；必然的；确信；无疑的；有把握的
pron. 某些；某几个"
excel,"vt. 超过；擅长
vi. (在某方面)胜过(或超过)别人"
devote,vt. 致力于；奉献
territory,n. 领土，领域；范围；地域；版图
possess,vt. 控制；使掌握；持有；迷住；拥有，具备
thriving,"adj. 繁荣的；蒸蒸日上的；旺盛的
v. 兴旺（thrive的ing形式）"
schooling,"n. 学校教育；学费
v. 教育（school的ing形式）；培养"
continuous,adj. 连续的，持续的；继续的；连绵不断的
based,"v. 立基于，以…为基础（base的过去式和过去分词）
adj. 有根基的"
temper,"n. 脾气；（钢等）回火；性情；倾向
vt. 使回火；锻炼；调和；使缓和
vi. 回火；调和"
poise,"n. 平衡；姿势；镇静
vi. 平衡；准备好；悬着
vt. 使平衡；保持...姿势"
sweat,"n. 汗；水珠；焦急；苦差使
vt. 使出汗；流出；使干苦活；剥削；藉出汗减轻；焦急地期待
vi. 出汗；辛苦工作；懊恼；结水珠"
earnest,"n. 认真；定金；诚挚
adj. 认真的，热心的；重要的"
inhabit,"vt. 栖息；居住于；占据
vi. （古）居住；栖息"
gain,"n. 增加；利润；收获
vi. 增加；获利
vt. 获得；增加；赚到"
limit,"n. 限制；限度；界线
vt. 限制；限定"
stop by,"na. 顺便到(某处)访问；同“stop off”
 顺便到访问；顺便拜访；顺便访问"
productive,adj. 能生产的；生产的，生产性的；多产的；富有成效的
preconception,n. 偏见；先入之见；预想
judgement,n. 意见；判断力； 审判；评价
prejudice,"n. 偏见；侵害
vt. 损害；使有偏见"
curiosity,n. 好奇，好奇心；珍品，古董，古玩
fill,"n. 满足；填满的量；装填物
vt. 装满，使充满；满足；堵塞；任职
vi. 被充满，膨胀"
tumultuous,adj. 吵闹的；骚乱的；狂暴的
perplexing,adj. 复杂的，令人费解的；令人困惑的
truly,adv. 真实地，不假；真诚地
beyond,"prep. 超过；越过；那一边；在...较远的一边
n. 远处
adv. 在远处；在更远处"
occupation,n. 职业；占有；消遣；占有期
satisfaction,n. 满意，满足；赔偿；乐事；赎罪
purpose,"n. 目的；用途；意志
vt. 决心；企图；打算"
contribute,"vt. 贡献，出力；投稿；捐献
vi. 贡献，出力；投稿；捐献
"
preserve,"n. 保护区；禁猎地；加工成的食品
vt. 保存；保护；维持；腌；禁猎"
innocent,"n. 天真的人；笨蛋
adj. 无辜的；无罪的；无知的"
pristine,adj. 原始的，古时的；纯朴的
thirst,"n. 渴望；口渴；热望
vi. 渴望；口渴"
endeavour,"n. 尽力，竭力
vi. 竭力；企图
vt. 竭力做到，试图或力图（做某事）"
bond,"n. 债券；结合；约定；粘合剂；纽带
vt. 使结合；以…作保
vi. 结合，团结在一起"
unite,"vi. 团结；联合；混合
vt. 使…混合；使…联合；使…团结"
sensitive,"adj. 敏感的；感觉的； 灵敏的；感光的；易受伤害的；易受影响的
n. 敏感的人；有灵异能力的人"
contribution,n. 贡献；捐献；投稿
faith,n. 信仰；信念；信任；忠实
intrinsic,adj. 本质的，固有的
necessary,"adj. 必要的；必需的；必然的
n. 必需品"
extra,"n. 临时演员；号外；额外的事物；上等产品
adj. 额外的，另外收费的；特大的
adv. 特别地，非常；另外"
standard,"n. 标准；水准；旗；度量衡标准
adj. 标准的；合规格的；公认为优秀的"
detail,"n. 细节，详情
vt. 详述；选派
vi. 画详图"
amazed,"v. 使…吃惊；把…弄糊涂（amaze的过去分词）
adj. 惊奇的，吃惊的"
witty,adj. 诙谐的；富于机智的
reverend,"n. 教士
adj. 教士的；可尊敬的"
plausible,adj. 貌似可信的，花言巧语的；貌似真实的，貌似有理的
advised,"v. 建议（advise的过去分词）；劝告
adj. 考虑过的；细想过的"
contradict,"vt. 反驳；否定；与…矛盾；与…抵触
vi. 反驳；否认；发生矛盾"
confute,vt. 驳斥，驳倒
discourse,"n. 论述；谈话；演讲
vt. 说出；演奏出
vi. 演说；谈论；讲述"
weigh,"n. 权衡；称重量
vt. 权衡；考虑；称…重量
vi. 重量为…；具有重要性；成为…的重荷；起锚"
majesty,n. 威严；最高权威，王权；雄伟；权威
monarch,n. 君主，帝王；最高统治者
diminish,"vt. 使减少；使变小
vi. 减少，缩小；变小"
press,"n. 压；按；新闻；出版社； 印刷机
vt. 压；按；逼迫；紧抱
vi. 压；逼；重压"
adhere,"vi. 坚持；依附；粘着；追随
vt. 使粘附"
maintain,vt. 维持；继续；维修；主张；供养
indifferent,adj. 漠不关心的；无关紧要的；中性的，中立的
neutral,"adj. 中立的，中性的；中立国的；非彩色的
n. 中立国；中立者；非彩色；齿轮的空档"
propriety,n. 适当；礼节；得体
intimate,"n. 知己；至交
adj. 亲密的；私人的；精通的；有性关系的
vt. 暗示；通知；宣布"
allied,"adj. 联合的；同盟的；与…同属一系
v. 联合（ally的过去分词）"
declare,"vt. 宣布，声明；断言，宣称
vi. 声明，宣布"
triumph,"n. 胜利，凯旋；欢欣
vi. 获得胜利，成功"
mask,"n. 面具；口罩；掩饰
vi. 掩饰；戴面具；化装
vt. 掩饰；戴面具；使模糊"
funeral,"n. 葬礼；麻烦事
adj. 丧葬的，出殡的"
neglect,"vt. 疏忽，忽视；忽略
n. 疏忽，忽视；怠慢"
confront,vt. 面对；遭遇；比较
prospect,"n. 前途；预期；景色
vt. 勘探，勘察
vi. 勘探，找矿"
ponder,"vi. 考虑；沉思
vt. 仔细考虑；衡量"
refusal,n. 拒绝；优先取舍权；推却；取舍权
pace,"n. 一步；步速；步伐；速度
vi. 踱步；缓慢而行
vt. 踱步于；用步测"
sound,"n. 声音，语音；噪音；海峡；吵闹；听力范围； 探条
adj. 健全的，健康的；合理的；可靠的；有效彻底的
vt. 听（诊）；测量，测…深；使发声；试探；宣告
vi. 听起来；发出声音；回响；测深
adv. 彻底地，充分地"
distinct,adj. 明显的；独特的；清楚的；有区别的
mirthless,adj. 不快乐的；悲伤的；阴郁的
citizen,n. 公民；市民；老百姓
altar,n. 祭坛；圣坛；圣餐台
crude,"n. 原油；天然的物质
adj. 粗糙的；天然的，未加工的；粗鲁的"
worthless,adj. 无价值的；不值钱的；卑微的
natural,"adj. 自然的；物质的；天生的；不做作的
n. 自然的事情；白痴；本位音"
grave,"n. 墓穴，坟墓；死亡
adj. 重大的；严肃的；黯淡的
vt. 雕刻；铭记"
logic,"n. 逻辑；逻辑学；逻辑性
adj. 逻辑的"
contend,"vi. 竞争；奋斗；斗争；争论
vt. 主张；为...斗争"
execute,vt. 实行；执行；处死
counsel,"n. 法律顾问；忠告；商议；讨论；决策
vt. 建议；劝告
vi. 商讨；提出忠告"
plot,"n. 情节；图；阴谋
vt. 密谋；绘图；划分；标绘
vi. 密谋；策划；绘制"
learned,adj. 博学的；有学问的；学术上的
fugitive,"n. 逃亡者；难捕捉之物
adj. 逃亡的；无常的；易变的"
grace,"n. 优雅；恩惠；魅力；慈悲
vt. 使优美"
witness,"n. 证人；目击者；证据
vt. 目击；证明；为…作证
vi. 作证人"
yield,"n. 产量；收益
vt. 屈服；出产，产生；放弃
vi. 屈服，投降"
victim,n. 受害人；牺牲品；牺牲者
torture,"n. 折磨；拷问；歪曲
vt. 折磨；拷问；歪曲"
burden,"n. 负担；责任；船的载货量
vt. 使负担；烦扰；装货于"
mockery,n. 嘲弄；笑柄；徒劳无功；拙劣可笑的模仿或歪曲
alleviate,vt. 减轻，缓和
asunder,"adj. 分成碎片的；分离的
adv. 化为碎片地；分离地"
discern,"vt. 识别；领悟，认识
vi. 看清楚，辨别"
custom,"n. 习惯，惯例；风俗；海关，关税；经常光顾；（经常性的）顾客
adj. （衣服等）定做的，定制的"
fortunate,adj. 幸运的；侥幸的；吉祥的；带来幸运的
intend,"vi. 有打算
vt. 打算；想要；意指"
germ,"n.  胚芽，萌芽；细菌
vi. 萌芽"
detect,vt. 察觉；发现；探测
view,"n. 观察；视野；意见；风景
vt. 观察；考虑；查看"
act,"n. 行为，行动；法令，法案；（戏剧，歌剧的）一幕，段；装腔作势
vt. 扮演；装作，举动像
vi. 行动；扮演，充当；表现，举止；假装，演戏；起作用，见效"
admire,"vt. 钦佩；赞美
vi. 钦佩；称赞"
bridge,"n. 桥；桥牌；桥接器；船桥
vt. 架桥；渡过"
soul,"n. 灵魂；心灵；精神；鬼魂
adj. 美国黑人文化的"
offend,"vt. 冒犯；使…不愉快
vi. 违反；进攻；引起不舒服"
forth,adv. 向前，向外；自…以后
curse,"n. 诅咒；咒骂
vt. 诅咒；咒骂
vi. 诅咒；咒骂"
train,"n. 火车；行列；长队；裙裾
v. 培养；训练；瞄准"
defeat,"n. 失败的事实；击败的行为
vt. 击败，战胜；挫败；使…失败"
vocabulary,n. 词汇；词表；词汇量
quit,"n. 离开； 退出
vt. 离开；放弃；停止；使…解除
adj. 摆脱了…的；已经了结的
vi. 离开；辞职；停止"
retreat,"n. 撤退；休息寓所；撤退
vt. 退（棋）；使后退
vi. 撤退；退避；向后倾"
reasoning,"n. 推理；论证；评理
v. 推论；说服（reason的ing形式）
adj. 推理的"
distrust,"n. 不信任
vt. 不信任
怀疑"
reject,"n. 被弃之物或人；次品
vt. 拒绝；排斥；抵制；丢弃"
melt,"vi. 熔化，溶解；渐混
vt. 使融化；使熔化；使软化；使感动
n. 熔化；熔化物"
vanish,"n. 弱化音
vi. 消失；突然不见；成为零
vt. 使不见，使消失"
shrink,"vi. 收缩；畏缩
n. 收缩；畏缩；<俚>精神病学家
vt. 使缩小，使收缩"
evil,"n. 罪恶，邪恶；不幸
adj. 邪恶的；不幸的；有害的；讨厌的"
abound,vi. 富于；充满
existence,n. 存在，实在；生存，生活；存在物，实在物
recede,"vi. 后退；减弱
vt. 撤回"
visible,"n. 可见物；进出口贸易中的有形项目
adj. 明显的；看得见的；现有的；可得到的"
merge,"vt. 合并；使合并；吞没
vi. 合并；融合"
merchant,"n. 商人，批发商；店主
adj. 商业的，商人的"
inward,"n. 内部；内脏；密友
adj. 向内的；内部的；精神的；本质上的；熟悉的
adv. 向内；内心里"
uphold,vt. 支撑；鼓励；赞成；举起
opinion,n. 意见；主张
praise,"n. 赞扬；称赞；荣耀；崇拜
vt. 赞美，歌颂；表扬
vi. 赞美；赞扬"
proverb,n. 谚语，格言；众所周知的人或事
whereas,conj. 然而；鉴于；反之
virtue,n. 美德；优点；贞操；功效
chief,"n. 首领；酋长；主要部分
adj. 首席的；主要的；主任的
adv. 主要地；首要地"
division,n.  除法；部门；分配；分割；师（军队）；赛区
consist,vi. 由…组成；在于；符合
rite,n. 仪式；惯例，习俗；典礼
ceremony,n. 典礼，仪式；礼节，礼仪；客套，虚礼
mist,"n. 薄雾；视线模糊不清；模糊不清之物
vi. 下雾；变模糊
vt. 使模糊；使蒙上薄雾"
denote,vt. 表示，指示
stately,adj. 庄严的；堂皇的，宏伟的
blighted,"v. 使染上枯萎病；毁坏（blight的过去式和过去分词）
adj. 枯萎的；摧残的"
deserted,"v. 遗弃（desert的过去式和过去分词）
adj. 荒芜的；被遗弃的"
derive,"vt. 源于；得自；获得
vi. 起源"
wrath,n. 愤怒；激怒
commend,"vt. 推荐；称赞；把…委托
vi. 称赞；表扬"
interpose,"vt. 提出（异议等）；使插入；使干涉
vi. 干预；插入；调停"
compassionate,"adj. 慈悲的；富于同情心的
vt. 同情；怜悯"
fearful,adj. 可怕的；担心的；严重的
consign,vt. 交付；托运；寄存；把…委托给
abridge,vt. 删节；缩短；节略
narrative,"n. 叙述；故事；讲述
adj. 叙事的，叙述的；叙事体的"
rustle,"n. 沙沙声；急忙；飒飒声
vt. 使…沙沙作响
vi. 发出沙沙声"
claim,"n. 要求；声称；索赔；断言；值得
vt. 要求；声称；需要；认领
vi. 提出要求"
chase,"n. 追逐；追赶；追击
vt. 追逐；追捕；试图赢得；雕镂
vi. 追逐；追赶；奔跑"
menace,"n. 威胁；恐吓
vi. 恐吓；进行威胁
vt. 威胁；恐吓"
propose,"vi. 建议；求婚；打算
vt. 建议；打算，计划；求婚"
on reflection,"na. 仔细想；对…不利；中伤
 经再三考虑；经再三思考；反思"
mincing,"adj. 装腔作势的；矫饰的
v. 切碎（mince的现在分词）"
vanity,n. 虚荣心；空虚；浮华；无价值的东西
disappointed,adj. 失望的，沮丧的；受挫折的
definite,adj. 一定的；确切的
escape,"n. 逃跑；逃亡；逃走；逃跑工具或方法；野生种；泄漏
vi. 逃脱；避开；溜走；（气体，液体等）漏出；（未受伤或只受了一点伤害而）逃脱；声音（不自觉地）由…发出
vt. 逃避，避开，避免；被忘掉；被忽视"
originate,"vt. 引起；创作
vi. 发源；发生；起航"
lumber,"vi. 伐木；喧闹地向前走；笨重地行动，缓慢地移动
vt. 砍伐木材；乱堆
n. 木材；废物，无用的杂物；隆隆声"
descent,"n. 下降；血统；袭击
vt. 除去…的气味；使…失去香味"
tragedy,n. 悲剧；灾难；惨案
suitable,adj. 适当的；相配的
candidate,n. 候选人，候补者；应试者
authentic,adj. 真正的，真实的；可信的
overcome,"vt. 克服；胜过
vi. 克服；得胜"
endure,"vt. 忍耐；容忍
vi. 忍耐；持续"
transform,"vt. 改变，使…变形；转换
vi. 变换，改变；转化"
clue,"n. 线索；（故事等的）情节
vt. 为…提供线索；为…提供情况"
collect,"vt. 收集；募捐
adj. 由收件人付款的
vi. 收集；聚集；募捐
adv. 由收件人付款地"
rage,"n. 愤怒；狂暴，肆虐；情绪激动
vi. 大怒，发怒；流行，风行"
hatred,n. 憎恨；怨恨；敌意
elegant,adj. 高雅的，优雅的；讲究的；简炼的；简洁的
exterior,"n. 外部；表面；外型；外貌
adj. 外部的；表面的；外在的"
mostly,adv. 主要地；通常；多半地
suspect,"n. 嫌疑犯
adj. 可疑的；不可信的
vi. 怀疑；猜想
vt. 怀疑；猜想"
current,"n. （水，气，电）流；趋势；涌流
adj. 现在的；流通的，通用的；最近的；草写的"
addiction,n. 上瘾，沉溺；癖嗜
drift,"n. 漂流，漂移；趋势；漂流物
vi. 漂流，漂移；漂泊
vt. 使…漂流；使…受风吹积"
sin,"n. 罪恶；罪孽；过失
vt. 犯罪
vi. 犯罪；犯过失"
contrast,"n. 对比；差别；对照物
vt. 使对比；使与…对照
vi. 对比；形成对照"
share,"n. 份额；股份
vt. 分享，分担；分配
vi. 共享；分担"
soothe,"vt. 安慰；使平静；缓和
vi. 起抚慰作用"
conscience,n. 道德心，良心
justified,"adj. 有正当理由的；合乎情理的；事出有因的
v. 调整（justify的过去分词）；证明…正当"
suburb,n. 郊区；边缘
appliance,n. 器具；器械；装置
replace,vt. 取代，代替；替换，更换；归还，偿还；把…放回原处
classic,"n. 名著；经典著作；大艺术家
adj. 经典的；古典的，传统的；最优秀的"
crave,"vi. 渴望；恳求
vt. 渴望；恳求"
yearn,vi. 渴望，向往；思念，想念；怀念；同情，怜悯
behave,"vi. 表现；（机器等）运转；举止端正；（事物）起某种作用
vt. 使守规矩；使表现得…"
reckless,adj. 鲁莽的，不顾后果的；粗心大意的
obsession,n. 痴迷；困扰； 强迫观念
eager,adj. 渴望的；热切的；热心的
remind,vt. 提醒；使想起
deny,"vi. 否认；拒绝
vt. 否定，否认；拒绝给予；拒绝…的要求"
tremendous,adj. 极大的，巨大的；惊人的；极好的
recover,"n. 还原至预备姿势
vt. 恢复；弥补；重新获得
vi. 恢复；胜诉；重新得球"
rescue,"n. 营救；援救；解救
vt. 营救；援救"
obligation,n. 义务；职责；债务
compel,vt. 强迫，迫使；强使发生
cooperate,vi. 合作，配合；协力
compromise,"n. 妥协，和解；折衷
vt. 妥协；危害
vi. 妥协；让步"
engine,n. 引擎，发动机；机车，火车头；工具
anchor,"n. 锚；抛锚停泊；靠山；新闻节目主播
adj. 末棒的；最后一棒的
vt. 抛锚；使固定；主持节目
vi. 抛锚"
economy,n. 经济；节约；理财
accelerated,"v. 加速；促进（accelerate的变形）
adj. 加速的；加快的"
basic,"n. 基础；要素
adj. 基本的；基础的"
system,n. 制度，体制；系统；方法
accommodate,"vi. 适应；调解
vt. 容纳；使适应；供应；调解"
core,
prosperity,n. 繁荣，成功
collapse,"n. 倒塌；失败；衰竭
vt. 使倒塌，使崩溃；使萎陷；折叠
vi. 倒塌；瓦解；暴跌"
decisive,adj. 决定性的；果断的，坚定的
safeguard,"n.  保护；保卫；保护措施
vt.  保护，护卫"
continent,"n. 大陆，洲，陆地
adj. 自制的，克制的"
conceive,"vi. 怀孕；设想；考虑
vt. 怀孕；构思；以为；持有"
dedicate,vt. 致力；献身；题献
proposition,"n.  命题；提议；主题；议题
vt. 向…提议；向…求欢"
state,"n. 国家；州；情形
adj. 国家的；州的；正式的
vt. 规定；声明；陈述"
oasis,n. 绿洲；舒适的地方；令人宽慰的事物
freedom,n. 自由，自主；直率
justice,n. 司法，法律制裁；正义；法官，审判员
challenge,"n. 挑战；怀疑
vt. 向…挑战；对…质疑"
safety,n. 安全；保险；安全设备；保险装置；安打
material,"adj. 重要的；物质的，实质性的；肉体的
n. 材料，原料；物资；布料"
facility,n. 设施；设备；容易；灵巧
revolution,n. 革命；旋转；运行；循环
adjust,"vt. 调整，使…适合；校准
vi. 调整，校准；适应"
reform,"n. 改革，改良；改正
adj. 改革的；改革教会的
vt. 改革，革新；重新组成
vi. 重组；改过"
foster,"vt. 培养；养育，抚育；抱（希望等）
adj. 收养的，养育的"
stable,"n. 马厩；牛棚
adj. 稳定的；牢固的；坚定的
vt. 赶入马房
vi. 被关在马厩"
international,"n. 国际组织；国际体育比赛；外国居留者；国际股票
adj. 国际的；两国（或以上）国家的；超越国界的；国际关系的；世界的"
exchange,"n. 交换；交流；交易所；兑换
vt. 交换；交易；兑换
vi. 交换；交易；兑换"
amicable,adj. 友好的；友善的
accident,n. 事故；意外； 意外事件；机遇
alarm,"n. 闹钟；警报，警告器；惊慌
vt. 警告；使惊恐"
prevent,"vt. 预防，防止；阻止
vi. 妨碍，阻止"
shutter,"n. 快门；百叶窗；关闭物；遮板
vt. 为…装百叶窗；以百叶窗遮闭"
costly,adj. 昂贵的；代价高的
strengthen,"vt. 加强；巩固
vi. 变强；变坚挺"
adversary,n. 对手；敌手
civic,adj. 市的；公民的，市民的
religious,"n. 修道士；尼姑
adj. 宗教的；虔诚的；严谨的；修道的"
message,"n. 消息；差使；启示；预言；广告词
vi. 报信，报告； 报文
vt. 通知"
intolerance,n. （尤指对别人的意见）不宽容；偏狭
million,"n. 百万；无数
adj. 百万的；无数的
num. 百万"
deficit,n. 赤字；不足额
afford,vt. 给予，提供；买得起
invest,"vi. 投资，入股；花钱买
vt. 投资；覆盖；耗费；授予；包围"
differ,"vi. 相异；意见分歧
vt. 使…相异；使…不同"
ample,adj. 丰富的；足够的；宽敞的
wisdom,n. 智慧，才智；明智；学识；至理名言
friction,n. 摩擦， 摩擦力
journalist,n. 新闻工作者；报人；记日志者
kidnap,vt. 绑架；诱拐；拐骗
detain,vt. 拘留；留住；耽搁
reliant,adj. 依赖的；可靠的；信赖的
military,"adj. 军事的；军人的；适于战争的
n. 军队；军人"
vital,adj. 至关重要的；生死攸关的；有活力的
defend,"vi. 保卫；防守
vt. 辩护；防护"
behalf,n. 代表；利益
conventional,adj. 符合习俗的，传统的；常见的；惯例的
emotion,n. 情感；情绪
cynicism,n. 玩世不恭，愤世嫉俗；犬儒主义；冷嘲热讽
compass,"n. 指南针，罗盘；圆规
vt. 包围"
reaffirm,vt. 再肯定，重申；再断言
noble,"adj. 高尚的；贵族的；惰性的；宏伟的
n. 贵族
vt. 抓住；逮捕"
generation,n. 一代；产生；一代人；生殖
deserve,"vi. 应受，应得
vt. 应受，应得"
engaged,"v. 保证；约定；同…订婚（engage的过去分词）
adj. 使用中的，忙碌的"
resolve,"n. 坚决；决定要做的事
vt. 决定；溶解；使…分解；决心要做…
vi. 解决；决心；分解"
improvement,n. 改进，改善；提高
machinery,n. 机械；机器；机构；机械装置
gown,"n. 长袍，长外衣；礼服；睡袍；法衣
vt. 使穿睡衣"
gently,adv. 轻轻地；温柔地，温和地
interpret,"vi. 解释；翻译
vt. 说明；口译"
fundamental,"n. 基本原理；基本原则
adj. 基本的，根本的"
frivolity,n. 轻浮；轻薄；轻率
luxury,"n. 奢侈，奢华；奢侈品；享受
adj. 奢侈的"
implicit,adj. 含蓄的；暗示的；盲从的
pledge,"n. 保证，誓言；抵押；抵押品，典当物
vt. 保证，许诺；用……抵押；举杯祝……健康"
promote,"vi. 成为王后或其他大于卒的子
vt. 促进；提升；推销；发扬"
magnificent,adj. 高尚的；壮丽的；华丽的；宏伟的
promissory,adj. 约定的；允诺的；约定支付的
guarantee,"n. 保证；担保；保证人；保证书；抵押品
vt. 保证；担保"
unalienable,adj. 不可剥夺的（等于inalienable）
liberty,n. 自由；许可；冒失
persistently,adv. 坚持地；固执地
engulf,vt. 吞没；吞食，狼吞虎咽
hostile,"n. 敌对
adj. 敌对的，敌方的；怀敌意的"
insidious,adj. 阴险的；隐伏的；暗中为害的；狡猾的
duration,"n. 持续，持续的时间，期间
音长，音延"
afloat,"adj. 在海上的；飘浮的；浸满水的；在传播的
adv. 在海上；飘浮著；浸满水"
cargo,n. 货物，船货
exceed,"vt. 超过；胜过
vi. 超过其他"
status,n. 地位；状态；情形；重要身份
valid,adj. 有效的；有根据的；合法的；正当的
paralyze,vt. 使麻痹；使瘫痪
tribute,n. 礼物； 贡物；颂词；（尤指对死者的）致敬，悼念，吊唁礼物
undone,"v. 解开；消除（undo的过去分词）
adj. 破灭的；未完成的；解开的"
vain,adj. 徒劳的；自负的；无结果的；无用的
tragic,adj. 悲剧的；悲痛的，不幸的
perish,"vi. 死亡；毁灭；腐烂；枯萎
vt. 使麻木；毁坏"
plea,n. 恳求，请求；辩解，辩护；借口，托辞
agony,n. 苦恼；极大的痛苦；临死的挣扎
famine,n. 饥荒；饥饿，奇缺
gear,"n. 齿轮；装置，工具；传动装置
adj. 好极了
vt. 开动；搭上齿轮；使……适合；使……准备好
vi. 适合；搭上齿轮；开始工作"
lever,"n. 杠杆；控制杆
vt. 用杠杆撬动；把…作为杠杆
vi. 用杠杆撬"
apparatus,n. 装置，设备；仪器；器官
indicate,vt. 表明；指出；预示；象征
harassment,n. 骚扰；烦恼
preacher,n. 牧师；传教士；鼓吹者
statute,n.  法规；法令；条例
fabric,n. 织物；布；组织；构造；建筑物
peril,"n. 危险；冒险
vt. 危及；置…于险境"
John Kennedy,
demonstrate,"vt. 证明；展示；论证
vi. 示威"
fortitude,n. 刚毅；不屈不挠；勇气
reliable,"n. 可靠的人
adj. 可靠的；可信赖的"
permit,"n. 许可证，执照
vt. 许可；允许
vi. 许可；允许"
atomic,adj. 原子的，原子能的；微粒子的
comprehend,vt. 理解；包含；由…组成
significance,n. 意义；重要性；意思
genuine,adj. 真实的，真正的；诚恳的
inherit,"vt. 继承；遗传而得
vi. 成为继承人"
legacy,n. 遗赠，遗产
redirect,"n. 再直接询问
vt. 使改方向；重新寄送
adj. 再直接的"
fountainhead,n. 源；水源；本源
discovery,n. 发现，发觉；被发现的事物
virtually,adv. 事实上，几乎；实质上
substitute,"n. 代用品；代替者
vi. 替代
vt. 代替"
intellectual,"n. 知识分子；凭理智做事者
adj. 智力的；聪明的；理智的"
absent,"adj. 缺席的；缺少的；心不在焉的；茫然的
vt. 使缺席"
manage,"vt. 管理；经营；控制；设法
vi. 处理；应付过去"
disqualify,vt. 取消…的资格
abbreviate,"vt. 缩写，使省略；使简短
vi. 使用缩写词"
ethnic,adj. 种族的；人种的
adverse,adj. 不利的；相反的；敌对的（名词adverseness，副词adversely）
environment,n. 环境，外界
originate,"vt. 引起；创作
vi. 发源；发生；起航"
gathering,"n. 聚集；集会；收款
v. 聚集（gather的ing形式）"
integrate,"n. 一体化；集成体
adj. 整合的；完全的
vi. 求积分；取消隔离；成为一体
vt. 使…完整；使…成整体；求…的积分；表示…的总和"
commerce,n. 贸易；商业；商务
Confucius,n. 孔子（中国哲学家，教育家）
philosophy,n. 哲学；哲理；人生观
code,"n. 代码，密码；编码；法典
vt. 编码；制成法典
vi. 指定遗传密码"
