actual,adj. 真实的，实际的；现行的，目前的
remote,"n. 远程
adj. 遥远的；偏僻的；疏远的"
moist,"adj. 潮湿的；多雨的；含泪的
n. 潮湿"
moisture,n. 水分；湿度；潮湿；降雨量
mouse,"n. 鼠标；老鼠；胆小羞怯的人
vt. 探出
vi. 捕鼠；窥探"
mouth,"n. 口，嘴；河口
vt. 做作地说，装腔作势地说；喃喃地说出
vi. 装腔作势说话"
molecule,n.  分子；微小颗粒，微粒
museum,n. 博物馆
music,n. 音乐，乐曲
musical,"adj. 音乐的；悦耳的
n. 音乐片"
musician,n. 音乐家
muscle,"n. 肌肉；力量
vt. 加强；使劲搬动；使劲挤出
vi. 使劲行进"
muscular,adj. 肌肉的；肌肉发达的；强健的
natural,"adj. 自然的；物质的；天生的；不做作的
n. 自然的事情；白痴；本位音"
nation,n. 国家；民族；国民
national,"adj. 国家的；国民的；民族的；国立的
n. 国民"
nationality,n. 国籍，国家；民族；部落
native,"adj. 本国的；土著的；天然的；与生俱来的；天赋的
n. 本地人；土产；当地居民"
naive,"adj. 天真的,幼稚的"
naked,adj. 裸体的；无装饰的；无证据的；直率的
naughty,adj. 顽皮的，淘气的；不听话的；没规矩的；不适当的；下流的
nap,"n. 小睡，打盹儿；细毛；孤注一掷
vt. 使拉毛
vi. 小睡；疏忽"
napkin,n. 餐巾；餐巾纸；尿布
narrow,"adj. 狭窄的，有限的；勉强的；精密的；度量小的
n. 海峡；狭窄部分，隘路
vt. 使变狭窄
vi. 变窄"
narrative,"n. 叙述；故事；讲述
adj. 叙事的，叙述的；叙事体的"
navy,"n. 海军
深蓝色的"
naval,adj. 海军的；军舰的
navigation,n. 航行；航海
namely,adv. 也就是；即是；换句话说
nickname,"n. 绰号；昵称
vt. 给……取绰号；叫错名字"
ornament,"n. 装饰； 装饰物；教堂用品
vt. 装饰，修饰"
anonymous,adj. 匿名的，无名的；无个性特征的
nominal,"adj. 名义上的；有名无实的； 票面上的
n.  名词性词"
nominate,vt. 推荐；提名；任命；指定
astronomy,n. 天文学
autonomy,n. 自治，自治权
economy,n. 经济；节约；理财
economic,adj. 经济的，经济上的；经济学的
economical,adj. 经济的；节约的；合算的
economics,n. 经济学；国家的经济状况
noun,n. 名词
announce,"vt. 宣布；述说；预示；播报
vi. 宣布参加竞选；当播音员"
denounce,vt. 谴责；告发；公然抨击；通告废除
pronoun,n. 代词
pronounce,"vt. 发音；宣判；断言
vi. 发音；作出判断"
pronunciation,n. 发音；读法
phenomenon,n. 现象；奇迹；杰出的人才
cabinet,"n. 内阁；橱柜；展览艺术品的小陈列室
adj. 内阁的；私下的，秘密的"
internet,n. 因特网
magnet,n. 磁铁； 磁体；磁石
magnetic,adj. 地磁的；有磁性的；有吸引力的
network,n. 网络；广播网；网状物
connect,"vt. 连接；联合；关连
vi. 连接，连结；联合"
connection,n. 连接；关系；人脉；连接件
nest,"n. 巢，窝；安乐窝；温床
vt. 筑巢；嵌套
vi. 筑巢；找鸟巢"
knit,"vi. 编织；结合；皱眉
vt. 编织；结合
n. 编织衣物；编织法"
number,"n. 数；（杂志等的）期；号码；数字；算术
vi. 计入；总数达到
vt. 编号；计入；数…的数目；使为数有限"
numerical,adj. 数值的；数字的；用数字表示的（等于numeric）
numerous,adj. 许多的，很多的
innumerable,adj. 无数的，数不清的
nursery,n. 苗圃；托儿所；温床
nurture,"vt. 养育；鼓励；培植
n. 养育；教养；营养物"
nutrition,n. 营养，营养学；营养品
nut,"n. 螺母，螺帽；坚果；难对付的人，难解的问题
vi. 采坚果"
peanut,n. 花生
nucleus,n. 核，核心；原子核
nuclear,adj. 原子能的； 细胞核的；中心的；原子核的
nourish,vt. 滋养；怀有；使健壮
enough,"n. 很多；充足
adj. 充足的
adv. 足够地，充足地
int. 够了！"
nerve,"n. 神经；勇气； 叶脉
vt. 鼓起勇气"
nervous,adj. 神经的；紧张不安的；强健有力的
energy,n.  能量；精力；活力；精神
energetic,adj. 精力充沛的；积极的；有力的
normal,"adj. 正常的；正规的，标准的
n. 正常；标准；常态"
abnormal,adj. 反常的，不规则的；变态的
normalization,n. 正常化；标准化；正规化；常态化
enormous,adj. 庞大的，巨大的；凶暴的，极恶的
north,
northeast,"adj. 东北的；向东北的；来自东北的
n. 东北
adv. 向东北；来自东北"
northern,"adj. 北部的；北方的
n. 北部方言"
northwest,"adj. 西北的；向西北的；来自西北的
n. 西北
adv. 在西北；向西北；来自西北"
none,"pron. 没有人；一个也没有；没有任何东西
adj. 没有的，一点没有的
adv. 决不，一点也不"
nonetheless,adv. 尽管如此，但是
nonsense,"n. 胡说；废话
adj. 荒谬的
int. 胡说！"
nobody,"pron. 无人，没有人；没有任何人
n. 无名小卒；小人物"
nowhere,"adv. 无处；任何地方都不；毫无结果
n. 无处；任何地方；无名之地
adj. 不存在的；毫无结果的；不知名的"
not,"adv. 表示否定，不
n. “非”（计算机中逻辑运算的一种）"
notwithstanding,"adv. 尽管，仍然
prep. 尽管，虽然
conj. 虽然"
nothing,"neg. 没什么；毫不
n. 无；零；不关紧要之事
adv. 毫不；决不
pron. 无事；无物
int. 什么也没有"
nor,"conj. 也不；也不是
adv. 也不；也没有"
noise,"n.  噪音；响声；杂音
vt. 谣传
vi. 发出声音；大声议论"
noisy,adj. .嘈杂的；喧闹的；聒噪的
annoy,"n. 烦恼（等于annoyance）
vt. 骚扰；惹恼；打搅
vi. 惹恼；令人讨厌；打搅"
nuisance,n. 讨厌的人；损害；麻烦事；讨厌的东西
neglect,"vt. 疏忽，忽视；忽略
n. 疏忽，忽视；怠慢"
negligible,adj. 微不足道的，可以忽略的
negative,"adj.  负的；消极的；否定的；阴性的
n. 否定；负数； 底片
vt. 否定；拒绝"
negotiate,"vt. 谈判，商议；转让；越过
vi. 谈判，交涉"
never,adv. 从未；决不
nevertheless,"adv. 然而，不过；虽然如此
conj. 然而，不过"
neither,"conj. 也不；既不
adv. 两个都不；既不……也不
adj. 两者都不的
pron. 两者都不"
Negro,
ignore,vt. 驳回诉讼；忽视；不理睬
ignorant,adj. 无知的；愚昧的
ignorance,n. 无知，愚昧；不知，不懂
notable,"adj. 值得注意的，显著的；著名的
n. 名人，显要人物"
notebook,n. 笔记本，笔记簿；手册
notice,"n. 通知，布告；注意；公告
vt. 通知；注意到；留心
vi. 引起注意"
noticeable,adj. 显而易见的，显著的；值得注意的
notify,vt. 通告，通知；公布
notion,n. 概念；见解；打算
notorious,adj. 声名狼藉的，臭名昭著的
denote,vt. 表示，指示
knot,"n. （绳等的）结；节瘤，疙瘩；海里/小时（航速单位）
vt. 打结
vi. 打结"
knob,"n. 把手；瘤；球形突出物
vi. 鼓起
vt. 使有球形突出物"
noble,"adj. 高尚的；贵族的；惰性的；宏伟的
n. 贵族
vt. 抓住；逮捕"
nod,"n. 点头；打盹；摆动
vt. 点头；点头表示
vi. 点头；打盹；摆动"
innocent,"n. 天真的人；笨蛋
adj. 无辜的；无罪的；无知的"
nowadays,"adv. 现今；时下
n. 当今"
novel,"adj. 新奇的；异常的
n. 小说"
novelty,n. 新奇；新奇的事物；新颖小巧而廉价的物品
innovation,n. 创新，革新；新方法
renovate,vt. 更新；修复；革新；刷新
new,"adj. 新的，新鲜的；更新的；初见的
adv. 新近"
news,n. 新闻，消息；新闻报导
newspaper,"n. 报纸
报社
旧报纸"
renew,"vt. 使更新；续借；续费；复兴；重申
vi. 更新；重新开始"
orderly,"adj. 有秩序的；整齐的；值班的
n. 勤务兵；传令兵；护理员
adv. 顺序地；依次地"
disorder,"n. 混乱；骚乱
vt. 使失调；扰乱"
ordinary,"adj. 普通的；平凡的；平常的
n. 普通；平常的人（或事）"
extraordinary,adj. 非凡的；特别的；离奇的；临时的；特派的
coordinate,"n. 坐标；同等的人或物
vt. 调整；整合
adj. 并列的；同等的
vi. 协调"
subordinate,"n. 下属，下级；部属，属下
adj. 从属的；次要的
vt. 使……居下位；使……服从"
border,"n. 边境；边界；国界
vt. 接近；与…接壤；在…上镶边
vi. 接界；近似"
lord,"n. 主；上帝
int. 主，天啊
vt. 使成贵族
vi. 作威作福，称王称霸"
landlord,n. 房东，老板；地主
lead,"n. 领导；铅；导线；榜样
vt. 领导；致使；引导；指挥
vi. 领导；导致；用水砣测深
adj. 带头的；最重要的"
leadership,n. 领导能力；领导阶层
leading,"adj. 领导的；主要的
n. 领导；铅板；行距
v. 领导（lead的ing形式）"
word,"n.  单词；话语；消息；诺言；命令
vt. 用言辞表达"
sword,n. 刀，剑；武力，战争
compact,"n. 合同，契约；小粉盒
adj. 紧凑的，紧密的；简洁的
vt. 使简洁；使紧密结合"
impact,"vi. 影响；撞击；冲突；压紧（on，upon，with）
n. 影响；效果；碰撞；冲击力
vt. 挤入，压紧；撞击；对…产生影响"
pace,"n. 一步；步速；步伐；速度
vi. 踱步；缓慢而行
vt. 踱步于；用步测"
space,"n. 空间；太空；距离
vt. 隔开
vi. 留间隔"
spacious,adj. 宽敞的，广阔的；无边无际的
spacecraft,n.  宇宙飞船，航天器
spaceship,n.  宇宙飞船
spade,"n. 铁锹，铲子
vt. 铲；把……弄实抹平
vi. 铲"
pack,"n. 包装；一群；背包；包裹；一副
vt. 包装；压紧；捆扎；挑选；塞满
vi. 挤；包装货物；被包装；群集"
package,"n. 包，包裹；套装软件， 程序包
adj. 一揽子的
vt. 打包；将…包装"
packet,"n. 数据包，信息包；小包，小捆
vt. 包装，打包"
pad,"n. 衬垫；护具；便笺簿；填补
vi. 步行；放轻脚步走
vt. 填补；走"
pedal,"n. 踏板；脚蹬子
vi. 踩踏板；骑车
vt. 骑（自行车）；踩……的踏板
adj. 脚的；脚踏的"
pedestrian,"n. 行人；步行者
adj. 徒步的；缺乏想像力的"
pave,vt. 铺设；安排；作铺设之用
pavement,"n. 人行道
路面"
pebble,"n. 卵石；水晶透镜
vt. 用卵石铺"
peculiar,"n. 特权；特有财产
adj. 特殊的；独特的；奇怪的；罕见的"
peace,n. 和平；平静；和睦；秩序
peaceful,adj. 和平的，爱好和平的；平静的
peak,"n. 山峰；最高点；顶点；帽舌
adj. 最高的；最大值的
vt. 使达到最高点；使竖起
vi. 消瘦；到达最高点；变憔悴"
peach,"n. 桃子；桃树；桃红色；受人喜欢的人（或物）
adj. 桃色的；用桃子制成的
vt. 告发
vi. 告密"
appal,"vt. 使惊骇；惊吓
vi. 减弱；变得苍白；令人发腻"
palace,n. 宫殿；宅邸；豪华住宅
appeal,"n. 呼吁，请求；吸引力，感染力；上诉；诉诸裁判
vt. 将…上诉，对…上诉
vi. 呼吁，恳求；上诉；诉诸，求助；有吸引力，迎合爱好；（体育比赛中）诉诸裁判"
paper,"n. 纸；论文；文件；报纸
adj. 纸做的
vt. 用纸糊；用纸包装
vi. 贴糊墙纸；发交通违章传票"
paperback,"n. 平装本；廉价本
adj. 纸面装订的；纸面平装本书籍的
vt. 以平装本出版"
page,"n. 页；记录；大事件，时期；男侍者
vt. 给…标页码
vi. 翻书页，浏览"
propaganda,n. 宣传；传道总会
paint,"vt. 油漆；绘画；装饰；涂色于；描绘；（用语言，文字等）描写；擦脂粉等
vi. 油漆；描绘；绘画；化妆
n. 油漆；颜料，涂料；绘画作品；胭脂等化妆品；色彩，装饰"
painter,n. 画家；油漆匠
painting,"n. 绘画；油画；着色
v. 绘画（paint的ing形式）；涂色于"
pain,"n. 疼痛；努力
vt. 使…痛苦；使…烦恼
vi. 感到疼痛；引起疼痛"
painful,adj. 痛苦的；疼痛的；令人不快的
palm,"n. 手掌；棕榈树；掌状物
vt. 将…藏于掌中"
pamphlet,n. 小册子
panel,"n. 仪表板；嵌板；座谈小组，全体陪审员
vt. 嵌镶板"
panic,"n. 恐慌，惊慌；大恐慌
adj. 恐慌的；没有理由的
vt. 使恐慌
vi. 十分惊慌"
panorama,n. 全景，全貌；全景画；概论
company,"n. 公司；陪伴，同伴；连队
vt. 陪伴
vi. 交往"
companion,"n. 同伴；朋友；指南；手册
vt. 陪伴"
accompany,"vt. 陪伴，伴随；伴奏
vi. 伴奏，伴唱"
discrepancy,n. 不符；矛盾；相差
expand,"vt. 扩张；使膨胀；详述
vi. 发展；张开，展开"
expansion,n. 膨胀；阐述；扩张物
pant,"n. 气喘；喘息；喷气声
vt. 气喘
vi. 喘息；渴望；气喘吁吁地说出某事"
pants,n. 裤子
panda,n. 熊猫；猫熊
party,"n. 政党，党派；聚会，派对；当事人 
vi. 参加社交聚会 "
partial,adj. 局部的；偏爱的；不公平的
impartial,adj. 公平的，公正的；不偏不倚的
particle,n. 颗粒； 质点；极小量；小品词
particular,"n. 详细说明；个别项目
adj. 特别的；详细的；独有的；挑剔的"
partly,adv. 部分地；在一定程度上
partner,"n. 伙伴；合伙人；配偶
vt. 使合作；与…合伙
vi. 合伙；合股；成为搭档"
participate,"vi. 参与，参加；分享
vt. 分享；分担
"
participant,"n. 参与者；关系者
adj. 参与的；有关系的"
apart,"adj. 分离的；与众不同的
adv. 相距；与众不同地；分离着"
apartment,n. 公寓；房间
compartment,"n.  隔间；区划；卧车上的小客房
vt. 分隔；划分"
depart,"adj. 逝世的
vi. 离开；出发，起程；违反；去世"
department,n. 部；部门；系；科；局
departure,n. 离开；出发；违背
impart,vt. 给予（尤指抽象事物），传授；告知，透露
counterpart,n. 副本；配对物；极相似的人或物
parade,"n. 游行；阅兵；炫耀；行进；阅兵场
vt. 游行；炫耀；列队行进
vi. 游行；炫耀；列队行进"
paradigm,n. 范例；词形变化表
parachute,"n. 降落伞
vi. 跳伞
空投"
paradox,n. 悖论，反论；似非而是的论点；自相矛盾的人或事
parallel,"n. 平行线；对比
adj. 平行的；类似的，相同的
vt. 使…与…平行"
paralyze,vt. 使麻痹；使瘫痪
parameter,n. 参数；系数；参量
parasite,n. 寄生虫；食客
appear,vi. 出现；显得；似乎；出庭；登场
disappear,"vi. 消失；失踪；不复存在
vt. 使…不存在；使…消失"
appearance,n. 外貌，外观；出现，露面
apparatus,n. 装置，设备；仪器；器官
apparent,adj. 显然的；表面上的
compare,"vi. 相比，匹敌；比较，区别；比拟（常与to连用）
vt. 比拟，喻为；构成
n. 比较"
comparable,adj. 可比较的；比得上的
comparative,"n. 比较级；对手
adj. 比较的；相当的"
comparison,n. 比较；对照；比喻；比较关系
parcel,"n. 包裹，小包
vt. 打包；捆扎"
pardon,"n. 原谅；赦免；宽恕
vt. 原谅；赦免；宽恕"
parent,n. 父亲（或母亲）；父母亲；根源
parliament,n. 议会，国会
prepare,"vt. 准备；使适合；装备；起草
vi. 预备；做好思想准备"
preparation,n. 预备；准备
separate,"n. .分开；抽印本
adj. 单独的；分开的；不同的；各自的；
vt. 使分离；使分开；使分居
vi. 分开；隔开；分居"
transparent,adj. 透明的；显然的；坦率的；易懂的
park,"n. 公园； 停车场
vt. 停放；放置；寄存
vi. 停放车辆"
spark,"n. 火花；朝气；闪光
vt. 发动；鼓舞；求婚
vi. 闪烁；发火花；求婚"
sparkle,"n. 闪耀；火花；活力
vt. 使闪耀；使发光
vi. 闪耀；发泡；活跃"
spare,"n. 剩余；备用零件
vt. 节约，吝惜；饶恕；分出，分让
adj. 多余的；瘦的；少量的
vi. 饶恕，宽恕；节约"
repertoire,n. 全部节目；计算机指令系统；（美）某人或机器的全部技能
passage,n. 一段（文章）；走廊；通路
passenger,n. 旅客；乘客；过路人；碍手碍脚的人
passer-by,n. 过路人；经过的人
passion,n. 激情；热情；酷爱；盛怒
passive,"n. 被动语态
adj. 被动的，消极的；被动语态的"
passport,n. 护照，通行证；手段
bypass,"n. 旁路； 支路
vt. 绕开；忽视；设旁路；迂回"
compass,"n. 指南针，罗盘；圆规
vt. 包围"
compassion,n. 同情；怜悯
compatible,adj. 兼容的；能共处的；可并立的
overpass,"vt. 超越；胜过；忽略
n. 天桥；陆桥"
surpass,vt. 超越；胜过，优于；非…所能办到或理解
past,"n. 过去；往事
prep. 越过；晚于
adj. 过去的；结束的
adv. 过；经过"
pastime,n. 娱乐，消遣
pasture,"n. 草地；牧场；牧草
vt. 放牧；吃草"
paste,"n. 面团，膏；糊状物， 浆糊
vt. 张贴，裱糊；用浆糊粘"
path,n. 道路；小路；轨道
pathetic,adj. 可怜的，悲哀的；感伤的；乏味的
patient,"n. 病人；患者
adj. 有耐心的，能容忍的"
patience,n. 耐性，耐心；忍耐，容忍
patriotic,adj. 爱国的
patrol,"n. 巡逻；巡逻队；侦察队
vt. 巡逻；巡查
vi. 巡逻；巡查"
patch,"n. 眼罩；斑点；碎片；小块土地
vi. 打补丁
vt. 修补；解决；掩饰"
patent,"n. 专利权；执照；专利品
adj. 专利的；新奇的；显然的
vt. 授予专利；取得…的专利权"
patron,n. 赞助人；保护人；主顾
pattern,"n. 模式；图案；样品
vt. 模仿；以图案装饰
vi. 形成图案"
paw,"n. 爪子；手
vt. 抓，扒；亲昵地抚摸
vi. 用爪子抓；翻找"
pay,"n. 工资，薪水；付款；报答
vt. 支付，付；偿还，补偿；给予
vi. 付款；偿还
adj. 收费的；需付费的"
payment,n. 付款，支付；报酬，报答；偿还；惩罚，报应
repay,"vt. 回报；报复；付还
vi. 偿还；报答；报复"
penalty,n. 罚款，罚金；处罚
pencil,"n. 铅笔；笔状物
vt. 用铅笔写；用眉笔涂
vi. 成铅笔状"
pendulum,n. 钟摆；摇锤；摇摆不定的事态
penetrate,"vi. 渗透；刺入；看透
vt. 渗透；穿透；洞察"
appendix,n. 附录；阑尾；附加物
carpenter,"n. 木匠，木工
vt. 制作
vi. 当木匠，做木匠工作"
depend,vi. 依赖，依靠；取决于；相信，信赖
dependent,"n. 依赖他人者；受赡养者
adj. 依靠的；从属的；取决于…的"
independent,"n. 独立自主者；无党派者
adj. 独立的；单独的；无党派的；不受约束的"
independence,n. 独立性，自立性；自主
expend,vt. 花费；消耗；用光；耗尽
expenditure,n. 支出，花费；经费，消费额
open,"adj. 公开的；敞开的；空旷的；坦率的；营业着的
vi. 开始；展现
vt. 公开；打开
n. 公开；空旷；户外"
opening,"n. 开始；机会；通路；空缺的职位
adj. 开始的
v. 开放（open的ing形式）；打开；公开"
suspend,"vt. 延缓，推迟；使暂停；使悬浮
vi. 悬浮；禁赛"
pension,"n. 退休金，抚恤金；津贴；膳宿费
vt. 发给养老金或抚恤金"
compensate,"vt. 补偿，赔偿；付报酬
vi. 补偿，赔偿；抵消"
compensation,n. 补偿；报酬；赔偿金
expense,"n. 损失，代价；消费；开支
vt. 向…收取费用
vi. 被花掉"
expensive,adj. 昂贵的；花钱的
indispensable,"n. 不可缺少之物；必不可少的人
adj. 不可缺少的；绝对必要的；责无旁贷的"
spend,"n. 预算
vt. 度过，消磨（时光）；花费；浪费；用尽
vi. 花钱；用尽，耗尽"
appetite,n. 食欲；嗜好
carpet,"n. 地毯；地毯状覆盖物
vt. 在…上铺地毯，把地毯铺在…上；斥责"
compete,vi. 竞争；比赛；对抗
competent,adj. 胜任的；有能力的；能干的；足够的
competition,n. 竞争；比赛，竞赛
competitive,adj. 竞争的；比赛的；求胜心切的
impetus,n. 动力；促进；冲力
perpetual,adj. 永久的；不断的；四季开花的；无期限的
petition,"n. 请愿；请愿书；祈求； 诉状
vt. 请愿；请求；恳求
vi. 请愿；请求"
repetition,n. 重复；背诵；副本
petty,adj. 琐碎的；小气的；小规模的
puppet,n. 木偶；傀儡；受他人操纵的人
trumpet,"n. 喇叭；喇叭声
vt. 吹喇叭；吹嘘
vi. 吹喇叭；发出喇叭般的声音"
repeat,"n. 重复；副本
vi. 重做；重复发生
vt. 重复；复制；背诵"
repeatedly,adv. 反复地；再三地；屡次地
petrol,n. （英）汽油
petroleum,n. 石油
pretty,"n. 有吸引力的事物（尤指饰品）；漂亮的人
adj. 漂亮的；可爱的；优美的
adv. 相当地；颇"
foot,"n. 脚；英尺；步调；末尾
vt. 支付；给……换底
vi. 步行；跳舞；总计"
football,"n. 足球，橄榄球
vi. 踢足球；打橄榄球"
footstep,n. 脚步；脚步声；足迹
boot,"n. 靴子；踢；汽车行李箱
vt. 引导；踢；解雇；使穿靴"
booth,n. 货摊；公用电话亭
displace,vt. 取代；置换；转移；把…免职；排水
fireplace,n. 壁炉
replace,vt. 取代，代替；替换，更换；归还，偿还；把…放回原处
replacement,n. 更换；复位；代替者；补充兵员
explanation,n. 说明，解释；辩解
plane,"n. 飞机；平面；程度，水平
adj. 平的；平面的
vt. 刨平；用刨子刨；掠过水面
vi. 刨；乘飞机旅行；翱翔"
aeroplane,n. 飞机（等于airplane）
planet,n. 行星
plant,"n. 工厂，车间；植物；设备；庄稼
vt. 种植；培养；栽培；安置
vi. 种植"
plantation,"n. 栽植；殖民；大农场
adj. 适用于种植园或热带、亚热带国家的"
transplant,"n. 移植；移植器官；被移植物；移居者
vt. 移植；迁移；使移居
vi. 移植；迁移；移居"
plain,"n. 平原；无格式；朴实无华的东西
adj. 平的；简单的；朴素的；清晰的
adv. 清楚地；平易地"
explain,v. 说明；解释
complain,"vi. 投诉；发牢骚；诉说
vt. 抱怨；控诉"
complaint,n. 抱怨；诉苦；疾病；委屈
plausible,adj. 貌似可信的，花言巧语的；貌似真实的，貌似有理的
applaud,"vt. 赞同；称赞；向…喝彩
vi. 喝彩；鼓掌欢迎"
applause,n. 欢呼，喝采；鼓掌欢迎
plaster,"n. 石膏；灰泥；膏药
vt. 减轻；粘贴；涂以灰泥；敷以膏药；使平服"
plastic,"n. 塑料制品；整形；可塑体
adj. 塑料的；（外科）造型的；可塑的"
plate,"n. 碟；金属板；金属牌；感光底片
vt. 电镀；给…装甲"
plateau,"n. 高原
n.   普拉托
n. （活动或进程中的）稳定阶段，停滞时期
adj. 高原印第安人的"
platform,n. 平台；月台，站台；坛；讲台
plot,"n. 情节；图；阴谋
vt. 密谋；绘图；划分；标绘
vi. 密谋；策划；绘制"
plead,"vt. 借口；为...辩护；托称
vi. 恳求；辩护"
please,"int. 请（礼貌用语）
vt. 使喜欢；使高兴，使满意
vi. 讨人喜欢；令人高兴"
pleasant,adj. 令人愉快的，舒适的；讨人喜欢的，和蔼可亲的
pleasure,"n. 快乐；希望；娱乐；令人高兴的事
vt. 使高兴；使满意
vi. 高兴；寻欢作乐"
aloud,adv. 大声地；出声地
loudspeaker,n. 喇叭，扬声器；扩音器
diploma,"n. 毕业证书，学位证书；公文，文书；奖状
vt. 发给…毕业文凭"
explode,"vi. 爆炸，爆发；激增
vt. 使爆炸；爆炸；推翻"
exploit,"n. 勋绩；功绩
vt. 开发，开拓；剥削；开采"
explore,"vi. 探索；探测；探险
vt. 探索；探测；探险"
explosion,n. 爆炸；爆发；激增
explosive,"n. 炸药；爆炸物
adj. 爆炸的；爆炸性的；爆发性的"
employ,"n. 使用；雇用
vt. 使用，采用；雇用；使忙于，使从事于"
employee,n. 雇员；从业员工
employer,n. 雇主，老板
employment,n. 使用；职业；雇用
unemployment,n. 失业；失业率；失业人数
playground,n. 运动场，操场；游乐场
display,"n. 显示；炫耀
vt. 显示；表现；陈列
adj. 展览的；陈列用的
vi.  作炫耀行为"
apply,"vi. 申请；涂，敷；适用；请求
vt. 申请；涂，敷；应用"
appliance,n. 器具；器械；装置
applicable,adj. 可适用的；可应用的；合适的
application,n. 应用；申请；应用程序；敷用
comply,vi. 遵守；顺从，遵从；答应
compliment,"n. 恭维；称赞；问候；致意；道贺
vt. 恭维；称赞"
complex,"n. 复合体；综合设施
adj. 复杂的；合成的"
complicate,vt. 使复杂化；使恶化；使卷入
complicated,adj. 难懂的，复杂的
complication,n. 并发症；复杂；复杂化；混乱
complete,"adj. 完整的；完全的；彻底的
vt. 完成"
complement,"n. 补语；余角；补足物
vt. 补足，补助"
accomplish,vt. 完成；实现；达到
imply,vt. 意味；暗示；隐含
implication,n. 含义；暗示；牵连，卷入；可能的结果，影响
implicit,adj. 含蓄的；暗示的；盲从的
implement,"n. 工具，器具；手段
vt. 实施，执行；实现，使生效"
reply,"n. 回答； 答辩
vt. 回答；答复
vi. 回答； 答辩；回击"
supply,"n. 供给，补给；供应品
vt. 供给，提供；补充
vi. 供给；替代"
supplement,"vt. 增补，补充
n. 增补，补充；补充物；增刊，副刊"
amplify,"vt. 放大，扩大；增强；详述
vi. 详述"
amplifier,n.  放大器，扩大器；扩音器
example,"n. 例子；榜样
vt. 作为…的例子；为…做出榜样
vi. 举例"
exemplify,vt. 例证；例示
duplicate,"n. 副本；复制品
adj. 复制的；二重的
vt. 复制；使加倍
vi. 复制；重复"
explicit,adj. 明确的；清楚的；直率的；详述的
plenty,"n. 丰富，大量；充足
adj. 足够的，很多的
adv. 足够"
plentiful,adj. 丰富的；许多的；丰饶的；众多的
perplex,vt. 使困惑，使为难；使复杂化
policy,n. 政策，方针；保险单
police,"n. 警察，警方；治安
adj. 警察的；有关警察的
vt. 监督；管辖；维持治安；为…配备警察"
policeman,n. 警察，警员； 淀帚（橡皮头玻璃搅棒）
polite,adj. 有礼貌的，客气的；文雅的；上流的；优雅的
political,adj. 政治的；党派的
politician,n. 政治家，政客
politics,n. 政治，政治学；政治活动；政纲
apology,n. 道歉；谢罪；辩护；勉强的替代物
apologise,vi. 道歉（等于apologize）
metropolis,n. 大都市；首府；重要中心
metropolitan,"adj. 大都市的；大主教辖区的；宗主国的
n. 大城市人；大主教；宗主国的公民"
portable,"n. 手提式打字机
adj. 手提的，便携式的；轻便的"
porter,n. 门房；服务员；行李搬运工；守门人
portion,"n. 部分；一份；命运
vt. 分配；给…嫁妆"
proportion,"n. 比例，占比；部分；面积；均衡
vt. 使成比例；使均衡；分摊"
portray,vt. 描绘；扮演
portrait,n. 肖像；描写；半身雕塑像
airport,n. 机场；航空站
export,"n. 输出，出口；出口商品
vt. 输出，出口
vi. 输出物资"
import,"n. 进口，进口货；输入；意思，含义；重要性
vt. 输入，进口；含…的意思
vi. 输入，进口"
important,adj. 重要的，重大的；有地位的；有权力的
importance,n. 价值；重要；重大；傲慢
opportunity,n. 时机，机会
report,"n. 报告；报道；成绩单
vt. 报告；报导；使报到
vi. 报告；报到；写报导"
reporter,n. 记者
support,"n. 支持，维持；支援，供养；支持者，支撑物
vt. 支持，支撑，支援；扶持，帮助；赡养，供养"
transport,"n. 运输；运输机；狂喜；流放犯
vt. 运输；流放；使狂喜"
corporation,n. 公司；法人（团体）；社团；大腹便便；市政当局
incorporate,"vt. 包含，吸收；体现；把……合并
adj. 合并的；一体化的；组成公司的
vi. 合并；混合；组成公司"
porcelain,"n. 瓷；瓷器
adj. 瓷制的；精美的"
porch,n. 门廊；走廊
sport,"n. 运动；游戏；娱乐；运动会；玩笑
adj. 运动的
vt. 游戏；参加体育运动；夸耀
vi. 游戏"
sportsman,n. 运动员；运动家；冒险家
vapour,n. 蒸气（等于vapor）；水蒸气
evaporate,"vt. 使……蒸发；使……脱水；使……消失
vi. 蒸发，挥发；消失，失踪"
position,"n. 位置，方位；职位，工作；姿态；站位
vt. 安置；把……放在适当位置"
positive,"n. 正数； 正片
adj. 积极的； 正的， 阳性的；确定的，肯定的；实际的，真实的；绝对的"
preposition,n. 介词；前置词
compose,"vt. 构成；写作；使平静；排…的版
vi. 组成；作曲；排字"
composite,"n. 复合材料；合成物；菊科
adj. 复合的；合成的；菊科的
vt. 使合成；使混合"
composition,n. 作文，作曲，作品； 构成；合成物；成分
deposit,"n. 存款；押金；订金；保证金；沉淀物
vt. 使沉积；存放
vi. 沉淀"
dispose,"n. 处置；性情
vi. 处理；安排；（能够）决定
vt. 处理；处置；安排"
disposal,n. 处理；支配；清理；安排
disposition,n. 处置； 性情； 部署；倾向
expose,vt. 揭露，揭发；使曝光；显示
exposure,n. 暴露；曝光；揭露；陈列
impose,"vt. 强加；征税；以…欺骗
vi. 利用；欺骗；施加影响"
oppose,"vt. 反对；对抗，抗争
vi. 反对"
