looter,n. 抢劫者
concurrently,adv. 兼；同时发生地
self-worth,n. 自我价值；自尊；自负
wistfully,adv. 渴望地；希望地；不满足地
lichen,"n. 地衣；青苔
vt. 使长满地衣"
sultry,adj. 闷热的；狂暴的；淫荡的
nugget,n. 天然金块，矿块；珍闻，珍品
stereotyping,"n. 刻板印象；浇版
v. 把…浇铸成铅版；使成为陈规（stereotype的现在分词）"
ever-present,adj. 经常存在的；始终存在的
headstone,n. 基石；墓石
testimonial,"n. 证明书；推荐书
adj. 证明的；褒奖的；表扬的"
speckled,"adj. 有斑点的；如斑点般散布的
v. 点缀（speckle的过去式和过去分词）"
cordless,"n. 不用电线的
adj. 无线的（副词cordlessly）"
herald,"n. 预兆，征兆；先驱；传令官；报信者
vt. 通报；预示…的来临"
stamped,"v. 贴上邮票（stamp的过去式）；顿足
adj. 铭刻的；盖上邮戳的；顿足的"
reggae,n. 瑞格舞（西印度群岛的一种舞蹈及舞曲）
practicing,"adj. 在工作的，开业的
v. 练习（practice的ing形式）"
motorized,"adj. 摩托化的；机动化的
v. 使…机械化（motorize的过去分词）"
disordered,adj. 混乱的；害了病的；发狂的；失调的
leeway,n. 余地；风压差；偏航；落后
hairline,"n. 发际线；极细的线；细缝
adj. 极细的；差别极小的"
grille,"n. 格子；格子窗；（银行，邮局柜台上的）铁栅
vt. 给…装格栅"
reasoned,"v. 说服；推断（reason的过去分词）
adj. 详尽论述的；理由充分的；合乎逻辑的"
Enquirer,
fickle,adj. 浮躁的；易变的；变幻无常的
widower,n. 鳏夫
bluff,"n. 吓唬；绝壁；断崖
vi. 吓唬
adj. 直率的；陡峭的
vt. 吓唬；愚弄"
computer-generated,计算机产生的
globular,adj. 球状的；由小球形成的；闻名世界的
foreshadow,"vt. 预示；成为…的前兆
n. 预兆"
collecting,"聚集
收集（collect的现在分词）"
stacked,"v. 堆放（stack的过去分词）
adj. 妖艳的；（女人）身材丰满匀称的"
riff,n. 反复乐节；即兴重复段
mosaic,"adj. 摩西的；拼成的；嵌花式的
n. 马赛克；镶嵌；镶嵌细工"
contiguous,adj. 连续的；邻近的；接触的
attitudinal,adj. 态度的
illuminated,"adj. 被照明的
v. 照明；启发；兴奋（illuminate的过去分词）"
dissection,n. 解剖，切开；解剖体；详细查究
boundless,adj. 无限的；无边无际的
redesign,"n. 重新设计；新设计
vt. 重新设计"
tolerable,adj. 可以的；可容忍的
amenable,adj. 有责任的：顺从的，服从的；有义务的；经得起检验的
warp,"n. 弯曲，歪曲；偏见；乖戾
vt. 使变形；使有偏见；曲解
vi. 变歪，变弯；曲解"
decompose,"vi. 分解；腐烂
vt. 分解；使腐烂"
sapling,n. 树苗；年轻人
bushy,adj. 浓密的；灌木茂密的；多毛的
broker,"n. 经纪人，掮客
vt. 以中间人等身分安排...
vi. 作为权力经纪人进行谈判"
milk,"n. 牛奶；乳状物
vt. 榨取；挤…的奶
vi. 挤奶"
creeping,"n. 爬行
v. 爬行；慢慢地移动（creep的现在分词）
adj. 爬行的；迟缓的；毛骨悚然的；奉承的"
cheesy,adj. 干酪质的；下等的；漂亮的
fleece,"n. 羊毛，绒头织物；羊毛制的覆盖物
vt. 剪下羊毛；欺诈，剥削"
labor-intensive,adj. 劳动密集型的
triumphantly,adv. 成功地；耀武扬威地
commemorative,adj. 纪念的
buzzing,"n. 嗡嗡声；嘈杂声
adj. 嗡嗡响的；嘈杂的
v. 发出嗡嗡声；东奔西忙；暗中散布（buzz的ing形式）"
purist,n. 纯化论者，力求纯化的人
great-grandfather,n. 曾祖父
maxim,
uneducated,"adj. 无知的；未受教育的
v. 未受教育（uneducate的过去分词）"
wholeheartedly,adv. 全心全意地，全神贯注地
grimace,"n. 鬼脸；怪相；痛苦的表情
vi. 扮鬼脸；作怪相；作苦相"
triplet,n. 三个一组；三连音符；三元组中的一个；三胞胎之一
ire,"n. 忿怒
vt. 使发怒"
weakened,变弱
genesis,n. 发生；起源
dogwood,"n. 山茱萸
adj. 山茱萸科植物的；淡黄褐色的"
amorphous,adj. 无定形的；无组织的； 非晶形的
five-minute, 五分
undisputed,adj. 无可争辩的；无异议的；毫无疑问的
troublemaker,n. 捣乱者，闹事者；惹麻烦的人
quickness,n. 急速，迅速；尖锐化
canine,"n. 犬； 犬齿
adj. 犬的；犬齿的；犬科的；似犬的"
jigsaw,"n. 拼图玩具；线锯；镂花锯
vt. 用线锯锯"
well-trained,adj. 训练有素的；良好训练
horrified,"adj. 惊骇的；带有恐怖感的
v. 惊骇（horrify的过去式和过去分词）；使…战悚"
die-hard,"n. 死硬派
adj. 死硬的，顽固的"
clearing,"n. 结算；空地；清扫
v. 澄清；放晴（clear的ing形式）"
co-director,n. 主任
private-sector,私营部门；私营成分
repulsive,adj. 排斥的；令人厌恶的；击退的；冷淡的
default,"n. 违约；缺席；缺乏；系统默认值
vt. 不履行；不参加（比赛等）；对…处以缺席裁判
vi. 拖欠；不履行；不到场"
invoice,"n. 账单，发货单，收款请求
vt. 开发票；记清单"
inflationary,adj. 通货膨胀的；通货膨胀倾向的；通货膨胀引起的
preponderance,n. 优势；多数；占优势
pantheon,n. 万神殿；名流群
nine-year-old,
saber,"n. 军刀；佩剑；骑兵
vt. 用马刀砍或杀"
deceit,n. 欺骗；谎言；欺诈手段
Balkan,adj. 巴尔干半岛的
issuing,"n. 发行物；争论点；期刊号
v. 发行（issue的ing形式）；分配；流出"
repatriation,n. 遣送回国；调回本国
creaking,"n. 嘎吱嘎吱声
vi. 发出咯吱咯吱声；勉强运转
vt. 使咯吱咯吱响"
ebb,"n. 衰退；退潮；衰落
vi. 衰退；减少；衰落；潮退"
epitome,n. 缩影；摘要；象征
woefully,adv. 悲伤地；不幸地；使人痛苦地
revulsion,n. 剧变；厌恶；强烈反感；抽回
energy-efficient,adj. 节能的，节约能源的；高能效的
slime,"n. 黏液；烂泥
vt. 涂泥
vi. 变粘滑"
streetcar,n. 有轨电车
amiable,adj. 和蔼可亲的，亲切的
toy,"n. 玩具；小装饰品；不值钱的东西
adj. 作为玩具的；玩物似的
vi. 玩弄；调情；随随便便地对待"
Tamil,"n. 泰米尔语；泰米尔人
adj. 坦米尔语的；泰米尔人的"
wan,abbr. 广域网（Wide Area Network）
adage,n. 格言，谚语；箴言
mm,"abbr. 毫米（millimeter）
n. 缅甸的域名"
snag,"n. 障碍；意外障碍；突出物
vt. 抓住机会；造成阻碍；清除障碍物
vi. 被绊住；形成障碍"
shelve,"vt. 将（书等）放置在架子上；搁置，将某事放到一旁不予考虑；将…搁在一边；装搁架于；罢免
vi. （陆地）逐渐倾斜"
sampler,n.  采样器；取样器；样品检查员
psychoanalytic,adj. 精神分析的；心理分析的
Protestantism,n. 新教；新教教义；新教徒
top-notch,adj. 一流的；拔尖的
hurtful,adj. 造成损害的
packaged,"adj. 包装过的
v. 包装；把…装袋（package的过去式和过去分词）"
trapper,n. 设陷阱捕兽者；捕捉器； 矿井风门开关管理员
sabbatical,"n. 休假（美国某些大学给大学教师每七年一次的）
adj. 安息日的"
airfare,n. 飞机票价
law-abiding,adj. 守法的
darling,n. 心爱的人；亲爱的
circumference,n. 圆周；周长；胸围
paltry,adj. 不足取的；无价值的；琐碎的；卑鄙的
binary,adj.  二进制的；二元的，二态的
cross-sectional,"adj. 截面的，断面的，剖面的
adj. 涉及一个断面的；具有代表性的，典型性的"
frond,n. （蕨类等的）叶，复叶；叶状体
black,"n. 黑色；黑人；黑颜料
adj. 黑色的；黑人的；邪恶的
vt. 使变黑；把鞋油等涂在…上；把（眼眶）打成青肿
vi. 变黑"
mournful,adj. 悲哀的；令人惋惜的
demonic,adj. 有魔力的，恶魔的
lithium,n. 锂（符号Li）
steeply,adv. 陡峭地；险峻地
housework,n. 家务事
organic,adj.  有机的；组织的；器官的；根本的
sh,int. 嘘；安静
pruning,"n. 修剪；剪枝
v. 修剪（prune的ing形式）
adj. 修剪用的"
pretzel,n. （美）法国号；一种脆饼干
permanence,n. 持久；永久
swirling,"n. 漩涡； 涡流
adj. 打旋的
v. 打旋；眩晕；使成漩涡（swirl的现在分词形式）"
riveting,"n.  铆接
adj. 吸引人的
v. 用铆钉固定；集中于…（rivet的ing形式）"
poise,"n. 平衡；姿势；镇静
vi. 平衡；准备好；悬着
vt. 使平衡；保持...姿势"
gash,"n. 很深的裂缝；砍得很深的伤口
vt. 划开；砍入很深；（使）负深伤"
annihilation,n. 灭绝；消灭
premier,"n. 总理，首相
adj. 第一的；最初的"
berate,vt. 严责；申斥
testicle,n.  睾丸
hatchery,n. 孵卵处
Israeli-Palestinian,
arbitrarily,adv. 武断地；反复无常地；专横地
unending,adj. 不断的，无止境的；经常被重复的
misread,vt. 误解；看错；读错
relapse,"n. 复发，再发；故态复萌；回复原状
vi. 故态复萌；旧病复发；再度堕落；再陷邪道"
aria,n. 咏叹调，独唱曲
baboon,n.  狒狒
authoritarianism,n. 独裁主义；权力主义
succinctly,adv. 简洁地；简便地
dismay,"n. 沮丧，灰心；惊慌
vt. 使沮丧；使惊慌"
bough,n. 大树枝
reassemble,"vt. 重新装配；重新召集
vi. 重新集合"
alright,"adj. 没问题的
adv. 好吧（等于all right）"
giving,"n. 给予；礼物；给予物
v. 给；赠送（give的ing形式）；付出；产生"
hustle,"n. 推；奔忙；拥挤喧嚷
vt. 催促；猛推；强夺
vi. 赶紧；硬挤过去；骗取财富"
slosh,"n. 泥泞；溅泼声
vt. 搅动，晃动；把……泼溅出
vi. 溅，泼；在泥中荡"
springboard,"n. 跳板；出发点
vi. 利用跳板跃进"
ref,abbr. 参考（等于reference）；裁判（等于referee）
ideologue,n. 思想家，理论家，空想家
structurally,adv. 在结构上
self-consciousness,n. 自觉意识
unannounced,adj. 突然的；未经宣布的；未通知的
choke,"n. 窒息；噎； 阻气门
vi. 窒息；阻塞；说不出话来
vt. 呛；使窒息；阻塞；抑制；扑灭"
puny,adj. 弱小的；微不足道的；微小的
encampment,n. 营地；露营
cable,"n. 缆绳；电缆；海底电报
vt. 打电报
vi. 打海底电报"
unchallenged,adj. 不成问题的；未引起争论的； 不回避的
recline,"vt. 使躺下；使斜倚
vi. 靠；依赖；斜倚"
zenith,"n. 顶峰；顶点；最高点
n. 真力时（瑞士名表）"
reheat,"n. 再热（炉）
vt. 再热；将…重新加热"
unassuming,adj. 谦逊的；不装腔作势的；不出风头的
faceless,adj. 匿名的，不知名的；无个性的；无脸面的
deconstruct,vt. 解构；拆析
drool,"n. 口水；梦话，胡说
vt. 从嘴淌下；散漫地说
vi. 流口水；胡说"
motor,"n. 发动机，马达；汽车
adj. 汽车的；机动的
vi. 乘汽车
vt. 以汽车载运"
handicap,"n. 障碍；不利条件，不利的因素
vt. 妨碍，阻碍；使不利"
self-destructive,adj. 自毁的；表现自杀欲望的
treated,"v. 治疗（treat的过去分词）；对待；招待
adj. 治疗的；已处理过的"
projectile,"adj. 抛射的；抛掷的；供抛射用的；（触角等）能伸出的
n. 射弹；抛射体；自动推进武器"
domesticated,"adj. 家养的；驯服的；喜欢家庭生活的
v. 驯养（domesticate的过去分词）；使习惯于家庭生活"
soundly,adv. 健全地；完全地；稳健地；彻底地；牢固地
insurmountable,adj. 不能克服的；不能超越的；难以对付的
unbiased,adj. 公正的；无偏见的
catheter,n.  导管；导尿管；尿液管
seedy,adj. 多种子的；结籽的；破烂的；没精打采的；下流的
shambles,"n. 混乱；废墟；屠宰场（shamble的复数）
v. 蹒跚而行（shamble的第三人称单数形式）"
outdo,vt. 超过；胜过
pulley,"n. 滑轮；皮带轮；滑车
vt. 用滑轮升起"
panacea,n. 灵丹妙药；万能药
encapsulate,"vt. 压缩；将…装入胶囊；将…封进内部；概述
vi. 形成胶囊"
finality,n. 定局；终结；结尾；最后的事物；最后的言行
acuity,n. 敏锐；尖锐；剧烈
machete,n. 弯刀；大砍刀；马谢特琴
oral,"n. 口试
adj. 口头的，口述的"
chariot,"n. 二轮战车
vt. 驾驭（过去式charioted，过去分词charioted，现在分词charioting，第三人称单数chariots）
vi. 乘战车；驾驭战车"
sacrificial,adj. 牺牲的；献祭的
chewing,"n. 嚼
v. 咀嚼（chew的ing形式）"
fragility,n. 脆弱； 易碎性；虚弱
powered,"n. 促进（power的过去分词）；给…提供动力
adj. 有动力装置的；以…为动力的"
nightstand,n. （美）床头几（等于night table）
defector,n. 背叛者；逃兵；叛离者
impressed,adj. 印象深刻的；外加的；受感动的；了不起的
payday,n. 发薪日；交割日
orgy,n. 狂欢；放荡
inconsequential,adj. 不重要的；不合理的；不合逻辑的
brood,"n. 一窝；一伙
vt. 孵；沉思"
wrongful,adj. 不正当的；不讲道理的；不合法的
disprove,vt. 反驳，证明…是虚假的
silt,"n. 淤泥，泥沙；煤粉；残渣
vt. 使淤塞；充塞
vi. 淤塞，充塞；为淤泥堵塞"
evaluator,n. 评估员； 鉴别器；求值程序
jumpsuit,n. 跳伞装；连身衣裤
tumble,"n. 跌倒；翻筋斗；跌跤
vt. 使摔倒；使滚翻；弄乱
vi. 摔倒；倒塌；滚动；打滚；仓惶地行动
"
well-dressed,adj. 穿着考究的；穿着入时的
health-related, 健康相关；健康相关的；爲健康体能
secularism,n. 世俗主义；现世主义；宗教与教育分离论
realignment,n. 重新排列；重新组合；改组
ruefully,adv. 可怜地；悲伤地
feral,adj. 野生的；凶猛的；阴郁的
genteel,adj. 有教养的，文雅的；上流社会的
t-test,t检验
syndicate,"n. 辛迪加；企业联合；财团
vt. 把…联合成辛迪加；在多家报刊上同时发表
vi. 联合成辛迪加；组成企业联合组织"
chafe,"n. 擦伤；气恼
vt. 擦破；擦热；擦痛；激怒
vi. 擦伤；磨擦；激怒"
overseer,n. 监督；工头
sidekick,n. 伙伴，老朋友；插袋
assail,vt. 攻击；质问；着手解决
starry,adj. 布满星星的；闪闪发光的；星光照耀的；星形的
reconstitute,vt. 重新设立；重新组成
sterilization, 杀菌；使不孕；无用状态
dill,n.  莳萝；莳萝的种子
liquidity,n. 流动性；流动资产； 偿债能力
tenderloin,n. 腰部嫩肉
punctuation,n. 标点；标点符号
admiring,adj. 赞赏的，羡慕的
feisty,adj. 活跃的；好争吵的；烦躁不安的；坚决而据理力争的
endearing,adj. 可爱的；讨人喜欢的；引起爱情的
cloak,"n. 斗蓬；宽大外衣；托词
vt. 遮掩；隐匿"
biz,n. 商业（等于business）
degenerate,"n. 堕落的人
adj. 退化的；堕落的
vi. 退化；堕落
vt. 使退化；恶化"
co-write,共同写作
Somali,"n. 索马里人；索马里语
adj. 索马里的"
tantalize,"vt. 逗弄；使干着急
vi. 逗弄人；令人干着急"
falcon,n.  猎鹰； 隼
restaurateur,n. 饭店主人；餐馆老板
mirage,n. 海市蜃楼；幻想，妄想
masquerade,"vi. 化装；伪装
n. 伪装；化妆舞会
vt. 化装；乔装"
tepid,adj. 微温的，温热的；不太热烈的；不热情的
forebear,n. 祖先；祖宗
surcharge,"n. 超载；额外费
vt. 追加罚款；使…装载过多；使…负担过重"
defenseless,adj. 无防备的
dispenser,n. 药剂师；施与者；分配者；自动售货机
unfettered,"adj. 无拘无束的；被除去脚镣的
v. 使自由（unfetter的过去分词）；解开脚链；释放"
belittle,vt. 轻视；贬低；使相形见小
margarita,n. 玛格丽塔（Margaret的异体，女子名）；玛格丽塔（一种鸡尾酒名）
fatten,"vt. 养肥；使肥沃；使充实
vi. 养肥；（靠…）发财"
alleyway,n. 胡同；小巷；窄街；走廊
ail,"n. 病痛，苦恼
vi. 生病
vt. 使苦恼，使烦恼"
schoolgirl,n. 女学生
char,"vt. 把…烧成炭
n. 炭；家庭杂务
vi. 烧焦；打杂"
constrict,vt. 压缩；束紧
coursework,n. 作业，修习；指定功课，职业培训
smudge,"n. 污点，污迹；烟熏火堆
vt. 弄脏，涂污；用浓烟熏
vi. 被弄脏；形成污迹"
refrigeration,n. 制冷；冷藏； 冷却
top-down,adj.  自顶向下；组织管理严密的
lifeboat,n.  救生艇，救生船
uprooted,"vt. 根除，连根拔起；迫使某人离开出生地或定居处
vi. 迁离；改变生活方式"
zealous,adj. 热心的，热情的，积极的
hiding,n. 隐匿；躲藏处；殴打
Kuwaiti,"adj. 科威特的；科威特人的
n. 科威特；科威特人"
irritated,"v. 激怒；使…无效；使…兴奋（irritate的过去分词）
adj. 恼怒的，生气的"
concise,adj. 简明的，简洁的
boisterous,adj. 喧闹的；狂暴的；猛烈的
environmentalism,n. 环境保护论
passively,adv. 被动地；顺从地；消极地
deceptively,adv. 迷惑地，骗人地；虚伪地
bile,n. 胆汁；愤怒
burrito,n. 玉米煎饼
oriented,"adj. 导向的；定向的；以…为方向的
v. 调整；使朝向（orient的过去分词）；确定…的方位"
ominously,adv. 恶兆地；不吉利地
anchovy,n. 凤尾鱼；鳀鱼
demeaning,"adj. 降低身份的；有损人格的
v. 有损…的人格（demean的ing形式）"
plunder,"n. 抢夺；战利品；掠夺品
vt. 掠夺；抢劫；侵吞
vi. 掠夺；盗窃"
router,n.  路由器；刳刨者
eccentricity,n. 古怪；怪癖； 离心率
boast,"n. 自夸；值得夸耀的事物，引以为荣的事物
vi. 自吹自擂
vt. 夸口说，自吹自擂说；以有…而自豪"
refuse,"n. 垃圾；废物
vi. 拒绝
vt. 拒绝；不愿；抵制"
coolness,n. 冷；凉爽；冷静
dammit,int. 该死，真他妈的
noodle,n. 面条；笨蛋
hangout,"n. 巢穴，（流氓）住所
vt. 故意泄露"
time-honored,adj. 历史悠久的；因古老而受到尊重的
kennel,"n. 狗屋；养狗场； 阴沟；一群狗
vt. 把…关进狗舍；宿于狗舍
vi. 待在狗舍里"
underly, 潜在的；标的资产
weeping,"n. 哭泣
adj. 哭泣的，滴水的；垂枝的
v. 哭泣；悲痛；哀悼（weep的ing形式）"
sizzle,"n. 嘶嘶声
vt. 把…烧得发嘶嘶声
vi. 发嘶嘶声"
sketchy,adj. 写生风格的；写生的；概略的
masquerade,"vi. 化装；伪装
n. 伪装；化妆舞会
vt. 化装；乔装"
studied,"v. 学习（study的过去式）
adj. 有计划的；故意的"
roil,"n. 小股汹涌的急流
vt. 搅浑；惹怒
vi. 动荡；喧闹"
toll,"vt. 征收；敲钟
n. 通行费；代价；钟声；伤亡人数
vi. 鸣钟；征税"
Panamanian,"n. 巴拿马人
adj. 巴拿马的"
responder,n. 响应器；回答者
pernicious,adj. 有害的；恶性的；致命的；险恶的
trespass,"n. 罪过；非法侵入；过失；擅自进入
vi. 侵入；犯罪；打扰；冒犯"
commercialization,n. 商品化，商业化
profusion,n. 丰富，充沛；慷慨
waterfowl,n.  水禽； 水鸟
Mayan,"n. 玛雅人；玛雅语
adj. 玛雅人的；玛雅语的"
incongruous,adj. 不协调的；不一致的；不和谐的
unambiguous,adj. 不含糊的；清楚的；明白的
indigent,adj. 贫困的；贫穷的（副词indigently）
epidemiological,adj. 流行病学的
capital,"n. 首都，省会；资金；大写字母；资本家
adj. 首都的；重要的；大写的"
stand-alone,"n. 独立；单机
adj. 独立的；独立操作的"
tutorial,"n. 个别指导
adj. 辅导的；家庭教师的，个别指导的"
throwback,（俚）复古队服
mellow,"adj. 圆润的，柔和的；成熟的；芳醇的
vt. 使成熟；使柔和
vi. 成熟；变柔和"
misplaced,"adj. 错位的；寄托错的
v. 错放（misplace的过去式）"
invert,"n. 颠倒的事物；倒置物；倒悬者
adj. 转化的
vt. 使…转化；使…颠倒；使…反转；使…前后倒置"
nanotechnology,n. 纳米技术
antagonist,n. 敌手； 对抗肌； 拮抗物；反协同试剂
fetish,n. 恋物（等于fetich）；迷信；偶像
cut,"n. 伤口；切口；削减；（服装等的）式样；削球；切入
adj. 割下的；雕过的；缩减的
vt.  切割；削减；缩短；刺痛
vi.  切割；相交；切牌；停拍；不出席"
mismatch,"vt. 使配错
n. 错配；不协调"
sick,"adj. 厌恶的；病态的；不舒服；渴望的；恶心的 ；生病的
n. 病人
vt. 使狗去咬；呕吐；追击"
Ramadan,n. 斋月（伊斯兰教历的九月，等于Ramazan）
purge,"n. 净化；泻药
vt. 净化；清洗；通便
vi. 净化；通便"
two-year-old,adj. 2岁的
dispersion,n. 散布； 离差；驱散
consternation,n. 惊愕；惊惶失措；恐怖
ferocity,n. 凶猛；残忍；暴行
belligerent,"n. 交战国；参加斗殴的人或集团
adj. 交战的；好战的；交战国的"
plod,"vt. 沉重缓慢地走
vi. 辛勤工作；沉重地走
n. 辛勤工作；沉重的步伐"
purported,"adj. 传说的
v. 声称（purport的过去分词）；意图"
scorn,"n. 轻蔑；嘲笑；藐视的对象
vt. 轻蔑；藐视；不屑做
vi. 表示轻蔑；表示鄙视"
lifeguard,"n. 救生员；警卫
vt. 护卫，保护
vi. 当救生员"
downpour,n. 倾盆大雨；注下
enshrine,vt. 铭记，珍藏；把…置于神龛内；把…奉为神圣
pseudonym,n. 笔名；假名
caterer,n. 备办食物者；承办酒席的人；筹备人
cross-section,n. 横截面；横断面
nave,n. （教堂的）中殿；（铁路车站等建筑的）中央广场；车轮的中心部
homey,adj. 舒适的；家庭似的；自在的
sundown,"n. 日落；阔缘的女帽
vi. 产生夜间幻觉"
e-commerce,n. 电子商务
smartly,adv. 刺痛地；漂亮地；潇洒地；火辣辣地
depose,"vt. 免职；作证；废黜
vi. 宣誓作证"
mastermind,"vt. 策划
n. 优秀策划者；才子"
inset,"n. 插图，插页；插入物
vt. 嵌入；插入"
flak,n. 高射炮；抨击；谴责
assumed,adj. 假定的；假装的
scab,"n. 痂；疤；疥癣；恶棍
vi. 结痂；生疙瘩；破坏罢工
vt. 把…称为工贼"
cutting,"n.  切断；剪辑；开凿
v. 削减（cut的ing形式）；采伐；切开
adj. 锋利的；严寒的；尖酸刻薄的"
promenade,"n. 散步；舞会；骑马
adj. 散步的
vt. 散步，漫步；骑马
vi. 散步"
disillusionment,n. 幻灭；醒悟
manor,n. 庄园；领地；采邑，采地
lynching,"n. 处以私刑；处私刑杀害
v. 以私刑处死（lynch的ing形式）"
recuperate,"vi. 恢复，复原；挽回损失
vt. 恢复，使恢复健康"
pretentious,adj. 自命不凡的；炫耀的；做作的
overhang,"vi. 悬垂；逼近
vt. 悬于…之上；（危险、邪恶等）逼近
n. （船首或船尾）突出部分；悬垂部分"
gynecologist,n. 妇科医生
aural,adj. 听觉的；耳的；气味的；先兆的
lexicon,n. 词典，辞典
gauntlet,n. 长手套；（古时士兵戴的）金属护手；夹道鞭笞的刑罚；交叉射击；严酷考验
ever-increasing,adj. 不断增长的
second-class,"adj. 第二流的；次劣的
adv. 坐二等车；作为第二类邮件"
conqueror,n. 征服者；胜利者
feathered,adj. 有羽毛的；羽状的；飞速的；薄边的
functioning,"n. 运行，运作； 功能；机能；起酌（function的动名词）
v. 运行，起作用（function的现在分词形式）"
autocratic,adj. 专制的；独裁的，专横的
nautical,adj. 航海的，海上的；船员的
subsystem,n. 子系统；次要系统
handiwork,n. 手工艺； 手工制品；行为后果
flashing,"n. 闪光；防水板；遮雨板
adj. 闪烁的；闪光的"
untrained,adj. 未经训练的
hand-painted,"手工涂的
手绘的"
first-degree,adj. 最轻度的；最低级的；第一度的
abundantly,adv. 丰富地；大量地
placate,vt. 抚慰；怀柔；使和解
tiring,"adj. 累人的；麻烦的；无聊的；引起疲劳的
v. 厌倦；使劳累（tire的ing形式）；感到疲倦"
al-Qaeda,
lenient,adj. 宽大的；仁慈的
confirmed,"v. 确证；使坚定（confirm的过去分词）；批准
adj. 确认的；保兑的；坚定的；惯常的"
commonwealth,n. 联邦；共和国；国民整体
crashing,"v. 打碎（crash的ing形式）
adj. 彻底的；最好的；猛撞的"
unsolicited,adj. 未经请求的；主动提供的
whirlpool,n. 漩涡，涡流；混乱，纷乱
class-action,n. 集体诉讼
layman,n. 外行；门外汉；俗人；一般信徒
engross,vt. 使全神贯注；用大字体书写；正式写成（决议等）；独占；吸引
bankrupt,"n.  破产者
adj. 破产的
vt. 使破产"
embattled,"adj. 严阵以待的；被敌人围困的；心烦意乱的；边缘呈雉形的
v. 列阵；筑垒于（embattle的过去式和过去分词）"
snarl,"vt. 搞乱；咆哮着说；使…缠结
vi. 咆哮；怒骂；缠结
n. 咆哮；怒骂；混乱"
stipulation,n. 规定；约定；条款；契约
sassy,adj. 无礼的；时髦的；活泼的；厚脸皮的
unstoppable,adj. 无法阻碍的；无法停止的（副词unstoppably）
psycho,"n. 心理分析，精神分析；精神病患者
adj. 精神病的；精神病学的"
jogger,n. 慢跑者； 撞纸机
insurrection,n. 暴动；叛乱
bassist,n. 低音歌手
divine,"n. 牧师；神学家
adj. 神圣的；非凡的；天赐的；极好的
vt. 占卜；预言；用占卜勘探
vi. 占卜；预言；使用占卜勘探矿"
matter-of-factly,adv. 实事求是地
twinge,"n. 阵痛；悔恨
vt. 使刺痛；使感到剧痛
vi. 刺痛；感到剧痛"
windowless,adj. 没有窗的
hostel,n. 旅社，招待所（尤指青年旅社）
subtext,n. 潜台词；潜在的意思；潜在的性格
semi-automatic,adj. 半自动的
lumber,"vi. 伐木；喧闹地向前走；笨重地行动，缓慢地移动
vt. 砍伐木材；乱堆
n. 木材；废物，无用的杂物；隆隆声"
extradition,n. 引渡；亡命者送还本国
bourgeoisie,n. 资产阶级；中产阶级
feast,"n. 筵席，宴会；节日
vt. 享受；款待，宴请
vi. 享受；参加宴会"
dank,adj. 潮湿的；阴湿的；透水的
hitherto,adv. 迄今；至今
dryly,adv. 干燥地；冷淡地；枯燥无味地
protectionism,n. 保护主义，贸易保护主义；贸易保护制度
disrespectful,adj. 无礼的；失礼的；不尊敬的
jasmine,n. 茉莉；淡黄色
persistently,adv. 坚持地；固执地
comfy,adj. 舒服的；轻松的（等于comfortable）
Passover,n. （圣经）逾越节；（圣经）逾越节祭神的羔羊
assent,"n. 同意；赞成
vi. 同意；赞成"
knocking,"n. 爆震音；卡答卡答的故障声音
v. 敲（knock的ing形式）"
bottom,"n. 底部；末端；臀部；尽头
adj. 底部的
vt. 装底；测量深浅；查明真相
vi. 到达底部；建立基础"
mitt,n. 手；棒球手套；连指手套；女用露指长手套
blogger,n. 写博客的人；博客使用者
crease,"n. 折痕；折缝
vt. 弄皱；使起折痕
vi. 起皱"
functionally,adv. 功能地；函数地；职务上地
incoherent,adj. 语无伦次的；不连贯的；不合逻辑的
extrinsic,adj. 外在的；外来的；非固有的
jettison,"n. 投弃；投弃货物
vt. 投弃（船舶遇难时投弃货物以为减轻负载）"
poetics,n. 诗学；诗论；诗情
rant,"n. 咆哮；激昂的演说
vt. 咆哮；痛骂
vi. 咆哮；痛骂；大声责骂"
rigidly,adv. 严格地；坚硬地；严厉地；牢牢地
surgically,adv. 如外科手术般地
digitally,adv. 数位
dent,"n. 凹痕；削弱；减少；齿
vt. 削弱；使产生凹痕
vi. 产生凹陷；凹进去；削减"
junta,n. 团体，派别
foreclose,"vt. 阻止；排除；取消抵押品赎回权
vi. 取消抵押品赎回权"
passivity,n. 被动性；被动结构；无抵抗
antioxidant,n.  抗氧化剂；硬化防止剂； 防老化剂
snare,"n. 陷阱；圈套； 勒除器
vt. 捕捉；诱惑"
positive,"n. 正数； 正片
adj. 积极的； 正的， 阳性的；确定的，肯定的；实际的，真实的；绝对的"
breakfast,"n. 早餐；早饭
vt. 为…供应早餐
vi. 吃早餐"
chagrin,"n. 懊恼；委屈；气愤
vt. 使…懊恼"
aft,"n. 自动存款取款
adv.  在船尾；近船尾"
unanticipated,adj. 意料之外的；不曾预料到的；未预料到的
balloon,"n. 气球
adj. 像气球般鼓起的
vt. 使像气球般鼓起；使激增
vi. 激增；膨胀如气球"
off-road,"adj. 越野的
adv. 越野地"
incandescent,adj. 辉耀的；炽热的；发白热光的
observant,adj. 善于观察的；机警的；严格遵守的
re-enact,vt. 重新制定；再扮演
nothingness,n. 虚无，不存在；空白；不存在的状态
