quality,"n. 质量， 品质；特性；才能
adj. 优质的；高品质的；<英俚>棒极了"
foot,"n. 脚；英尺；步调；末尾
vt. 支付；给……换底
vi. 步行；跳舞；总计"
football,"n. 足球，橄榄球
vi. 踢足球；打橄榄球"
footballer,n. 足球运动员；橄榄球运动员
forbid,vt. 禁止；不准；不允许；严禁
forbidden,adj. 被禁止的；严禁的，禁用的
force,"n. 力量；武力；军队；魄力
vt. 促使，推动；强迫；强加"
forceful,adj. 强有力的；有说服力的；坚强的
forecast,"n. 预测，预报；预想
vt. 预报，预测；预示
vi. 进行预报，作预测"
forecaster,n. 预报员
foreign,adj. 外国的；外交的；异质的；不相关的
foreigner,n. 外地人，外国人
forest,"n. 森林
vt. 植树于，使成为森林"
forever,adv. 永远；不断地；常常
forget,"vi. 忘记
vt. 忘记；忽略"
forgettable,adj. 可忘记的；容易被忘的
forgive,"vt. 原谅；免除（债务、义务等）
vi. 表示原谅"
form,"n. 形式，形状；形态，外形；方式；表格
vt. 构成，组成；排列，组织；产生，塑造
vi. 形成，构成；排列"
formal,"n. 正式的社交活动；夜礼服
adj. 正式的；拘谨的；有条理的"
former,"n. 模型，样板；起形成作用的人
adj. 从前的，前者的；前任的"
fortnight,n. 两星期
fortunately,adv. 幸运地
fountain,n. 喷泉，泉水；源泉
frame,"n. 框架；结构； 画面
adj. 有木架的；有构架的
vt. 设计；建造；陷害；使…适合
vi. 有成功希望"
France,n. 法国；法郎士（姓氏）
French,"n. 法国人；法语
adj. 法国的；法语的；法国人的"
free,"adj. 免费的；自由的，不受约束的； 游离的
vt. 使自由，解放；释放
adv. 自由地；免费"
freedom,n. 自由，自主；直率
freeze,"n. 冻结；凝固
vt. 使…冻住；使…结冰
vi. 冻结；冷冻；僵硬"
frozen,"v. 结冰（freeze的过去分词）；凝固；变得刻板
adj. 冻结的；冷酷的"
freezer,n. 冰箱；冷冻库；制冷工
freezing,adj. 冰冻的；严寒的；冷冻用的
frequently,adv. 频繁地，经常地；时常，屡次
fresh,"n. 开始；新生；泛滥
adj. 新鲜的；清新的；淡水的；无经验的
adv. 刚刚，才；最新地"
freshen,"vt. 使清新；使新鲜；使精神焕发
vi. 显得新鲜；减少咸味；精神饱满"
fridge,n. 电冰箱
freezer,n. 冰箱；冷冻库；制冷工
friendly,"adj. 友好的；亲切的；支持的；融洽的，和睦的
adv. 友善地；温和地"
unfriendly,"adj. 不友好的；不利的
adv. 不友善地"
frighten,"vt. 使惊吓；吓唬…
vi. 害怕，惊恐"
scare,"n. 恐慌；惊吓；惊恐
vt. 惊吓；把…吓跑
adj. （美）骇人的
vi. 受惊"
frightening,adj. 令人恐惧的；引起突然惊恐的
frightened,"v. 害怕；使吃惊；吓走（frighten的过去分词）
adj. 害怕的；受惊的；受恐吓的"
frog,"n. 青蛙； 辙叉；饰扣
vi. 捕蛙"
frontier,"n. 前沿；边界；国境
adj. 边界的；开拓的"
border,"n. 边境；边界；国界
vt. 接近；与…接壤；在…上镶边
vi. 接界；近似"
frost,"n. 霜；冰冻，严寒；冷淡
vi. 结霜；受冻
vt. 结霜于；冻坏"
frosty,adj. 结霜的，严寒的；冷淡的；灰白的
fry,"n. 鱼苗；油炸食物
vt. 油炸；油煎
vi. 油炸；油煎"
fuel,"n. 燃料；刺激因素
vt. 供以燃料，加燃料
vi. 得到燃料"
full,"n. 全部；完整
adj. 完全的，完整的；满的，充满的；丰富的；完美的；丰满的；详尽的
vt. 把衣服缝得宽大
adv. 十分，非常；完全地；整整"
fully,adv. 充分地；完全地；彻底地
full-time,adj. 专职的；全日制的；全部时间的
funny,"n. 滑稽人物；笑话，有趣的故事；滑稽连环漫画栏；（英）（比赛用）单人双桨小艇
adj. 有趣的，好笑的，滑稽的；（口）稀奇的，古怪的，奇异的；有病的，不舒服的；狡猾的，欺骗（性）的，可疑的，不光明"
furniture,n. 家具；设备；储藏物
further,"adj. 更远的；深一层的
vt. 促进，助长；增进
adv. 进一步地；而且；更远地"
future,"n. 未来；前途；期货；将来时
adj. 将来的，未来的"
gain,"n. 增加；利润；收获
vi. 增加；获利
vt. 获得；增加；赚到"
gainful,adj. 唯利是图的；有利益的；赚钱的
gale,n.  大风，狂风；（突发的）一阵
gallery,"n. 画廊；走廊；旁听席；地道
vt. 在…修建走廊；在…挖地道
vi. 挖地道"
game,"n. 游戏；比赛
adj. 勇敢的
vi. 赌博"
garage,"n. 车库；汽车修理厂；飞机库
vt. 把……送入车库；把（汽车）开进车库"
gas,"n. 气体； 瓦斯；汽油；毒气
vt. 加油；毒（死）
vi. 加油；放出气体；空谈"
general,"n. 一般；将军，上将；常规
adj. 一般的，普通的；综合的；大体的"
generally,adv. 通常；普遍地，一般地
generalisation,n. 一般化;  普通化;  归纳;  概论
generally,adv. 通常；普遍地，一般地
generation,n. 一代；产生；一代人；生殖
generational,adj. 一代的；生育的
generous,adj. 慷慨的，大方的；宽宏大量的；有雅量的
mean,"adj. 平均的；卑鄙的；低劣的；吝啬的
vt. 意味；想要；意欲
n. 平均值
vi. 用意"
generosity,n. 慷慨，大方；宽宏大量
generously,adv. 慷慨地；宽大地；丰盛地
gentle,"n. 蛆，饵
adj. 温和的；文雅的
vt. 使温和，使驯服"
gently,adv. 轻轻地；温柔地，温和地
geography,n. 地理；地形
German,"n. 德语；德国人
adj. 德国的；德语的，德国人的"
Germany,n. 德国
get,"n. 生殖；幼兽
vi. 成为；变得；到达
vt. 使得；获得；受到；变成"
gift,"n. 礼物；天赋；赠品
vt. 赋予；向…赠送"
gifted,"adj. 有天赋的；有才华的
v. 给予（gift的过去分词）"
give,"n. 弹性；弯曲；伸展性
vi. 捐赠；面向；有弹性；气候转暖
vt. 给；产生；让步；举办；授予"
glance,"n. 一瞥；一滑；闪光
vt. 扫视；瞥见；擦过
vi. 扫视，匆匆一看；反光；瞥闪，瞥见"
glass,"n. 玻璃；玻璃制品；镜子
vt. 反映；给某物加玻璃
vi. 成玻璃状"
glassful,n. 一杯的容量
glassy,adj. 像玻璃的；光亮透明的；呆滞的
glove,"n. 手套
vt. 给…戴手套"
gloved,"adj. 带有手套的
v. 给…戴手套；给…当手套用（glove的过去分词）"
glow,"n. 灼热；色彩鲜艳；兴高采烈
vi. 发热；洋溢；绚丽夺目"
go,"n. 去；进行；尝试
vi. 走；达到；运转；趋于
vt. 忍受；出产；以…打赌
"
goal,"n. 目标；球门，得分数；终点
vi. 攻门，射门得分"
gold,"n. 金，黄金；金色；金币
adj. 金的，金制的；金色的"
golden,adj. 金色的，黄金般的；珍贵的；金制的
golf,"n. 高尔夫球；高尔夫球运动
vi. 打高尔夫球"
good,"n. 好处；善行；慷慨的行为
adj. 好的；优良的；愉快的；虔诚的
adv. 好"
goodbye,"int. 再见
放弃
告别"
govern,"vt. 管理；支配；统治；控制
vi. 居支配地位；进行统治"
government,n. 政府；政体；管辖
governing,"v. 统治（govern的ing形式）；支配
adj. 有统治、控制或治理权力的"
grab,"n. 攫取；霸占；夺取之物
vt. 攫取；霸占；将…深深吸引
vi. 攫取；夺取"
gram,n. 克；鹰嘴豆（用作饲料）
grammar,n. 语法；语法书
grant,"n. 拨款； 授予物
vt. 授予；允许；承认
vi. 同意"
great,"n. 大师；大人物；伟人们
adj. 伟大的，重大的；极好的，好的；主要的"
grateful,adj. 感谢的；令人愉快的，宜人的
Greece,希腊（欧洲南部国家）
green,"n. 绿色；青春
adj. 绿色的；青春的
vt. 使…变绿色
vi. 变绿色"
greet,vt. 欢迎，迎接；致敬，致意；映入眼帘
greeting,"n. 问候，招呼；祝贺
v. 致敬，欢迎（greet的现在分词）"
grill,"n. 烤架，铁格子；烤肉
vi. 拷问，严加盘问
vt. 烧，烤；"
grilled,"adj. 烤的；有格子的
v. 炙烤（grill的过去式和过去分词）"
grocer,n. 杂货店；食品商
grocery,"n. 食品杂货店
食品杂货"
ground,"n. 地面；土地；范围；战场;根据
v. 研磨（grind的过去分词）；压迫
adj. 土地的；地面上的；磨碎的；磨过的
vt. 使接触地面；打基础；使搁浅
vi. 着陆；搁浅"
groundless,adj. 无理由的
grow,"vi. 发展；生长；渐渐变得…
vt. 使生长；种植；扩展"
growth,n. 增长；发展；生长；种植
guess,"n. 猜测；推测
vi. 猜；推测；猜中
vt. 猜测；认为；推测；猜中
n. 盖尔斯（美国服装品牌）"
guest,"n. 客人，宾客；顾客
adj. 客人的；特邀的，客座的
vt. 款待，招待
vi. 作客，寄宿"
guide,"n. 指南；向导；入门书
vt. 引导；带领；操纵
vi. 担任向导"
guided,"v. 指导（guide的过去分词）
adj. 有指导的；有向导的"
guilty,adj. 有罪的；内疚的
guitar,"n. 吉他，六弦琴
vi. 弹吉他"
gum,"n. 口香糖；树胶；橡皮
vt. 用胶粘，涂以树胶；使…有粘性"
gym,n. 健身房；体育；体育馆
gymnast,n. 体操运动员
gymnastics,n. 体操；体育；体操运动
hairdresser,n. 美发师
half,"n. 一半；半场；半学年
adj. 一半的；不完全的；半途的
adv. 一半地；部分地"
half-price,"adv. 半价
半价的"
hall,n. 过道，门厅，走廊；会堂；食堂；学生宿舍；大厅，前厅；娱乐中心，会所
hand,"n. 手，手艺；帮助；指针；插手
vt. 传递，交给；支持；搀扶"
hand-held,adj. 手提式的，便携式的
handbag,n. 手提包
handkerchief,n. 手帕；头巾，围巾
handle,"n.  把手；柄；手感；口实
vt. 处理；操作；运用；买卖；触摸
vi. 搬运；易于操纵"
handsome,adj. （男子）英俊的；可观的；大方的，慷慨的；健美而端庄的
hang,"n. 悬挂；暂停，中止
vt. 悬挂，垂下；装饰；绞死；使悬而未决
vi. 悬着，垂下；被绞死；悬而不决"
happen,vi. 发生；碰巧；偶然遇到
happy,adj. 幸福的；高兴的；巧妙的
happily,adv. 快乐地；幸福地；幸运地；恰当地
happiness,n. 幸福
harbour,"n. 海港（等于harbor）；避难所
vt. 庇护；藏匿；入港停泊
vi. 藏匿；入港停泊；庇护"
hard,"adj. 努力的；硬的；困难的；辛苦的；确实的；严厉的；猛烈的；冷酷无情的
adv. 努力地；困难地；辛苦地；接近地；猛烈地；牢固地"
hard-working,adj. 勤勉的；勤奋的；勤劳的
hardly,adv. 几乎不，简直不；刚刚
hate,"n. 憎恨；反感
vt. 憎恨；厌恶；遗憾
vi. 仇恨"
have,"aux. 已经
vt. 有；让；拿；从事；允许"
head,"n. 头；头痛；上端；最前的部分；理解力
adj. 头的；主要的；在顶端的
vt. 前进；用头顶；作为…的首领；站在…的前头；给…加标题
vi. 出发；成头状物；船驶往"
headache,n. 头痛；麻烦；令人头痛之事
headline,"n. 大标题；内容提要；栏外标题；头版头条新闻
vt. 给…加标题；使成为注意中心；大力宣传"
headmaster,n. 校长
health,n. 健康；卫生；保健；兴旺
healthy,adj. 健康的，健全的；有益于健康的
healthful,adj. 健康的；有益健康的；卫生的
hear,"vi. 听；听见
vt. 听到，听；听说；审理"
heart,"n. 心脏；感情；勇气；心形；要点
vt. 鼓励；铭记
vi. 结心"
hearten,"vt. 激励；鼓励；使振作
vi. 振作"
heat,"n. 高温；压力；热度；热烈
vt. 使激动；把…加热"
heater,n. 加热器；加热工
heating,"n.  加热； 供暖；暖气设备
v.  加热（heat的现在分词）
adj. 加热的；供热的"
heavy,"n. 重物；严肃角色
adj. 沉重的；繁重的，巨大的；拥挤的；阴沉的
adv. 大量地；笨重地"
hedge,"v. 用树篱笆围住；避免作正面答复
n. 对冲，套期保值；树篱；障碍"
heel,"n. 脚后跟；踵
vt. 倾侧
vi. 倾侧"
helicopter,"n.  直升飞机
vt. 由直升机运送
vi.  乘直升飞机"
hello,"n. 表示问候， 惊奇或唤起注意时的用语
int. 喂；哈罗"
helmet,n. 钢盔，头盔
helmeted,"adj. 佩戴头盔的
v. 给…戴上（helmet的过去式）"
her,pron. 她（she的宾格）；她的（she的所有格）；她（指某个国家；一艘船）
hers,pron. 她的（所有格）
herself,pron. 她自己（she的反身代词）；她亲自
hero,n. 英雄；男主角，男主人公
heroine,n. 女主角；女英雄；女杰出人物
hide,"n. 躲藏；兽皮；躲藏处
vt. 隐藏；隐瞒；鞭打
vi. 隐藏"
hidden,"adj. 隐藏的
v. 隐藏，躲藏（hide的过去分词）"
high,"n. 高水平；天空；由麻醉品引起的快感；高压地带
adj. 高的；高级的；崇高的；高音调的
adv. 高；奢侈地"
height,n. 高地；高度；身高；顶点
high-speed,adj. 高速的
him,pron. 他（宾格）
himself,pron. 他自己；他亲自，他本人
his,pron. 他的
hire,"n. 雇用，租用；租金，工钱
vt. 雇用；出租
vi. 雇用，租用；受雇"
historic,adj. 有历史意义的；历史上著名的
history,n. 历史，历史学；历史记录；来历
historical,adj. 历史的；史学的；基于史实的
historically,adv. 历史上地；从历史观点上说
hit,"n. 打；打击；（演出等）成功；讽刺
vt. 打击；袭击；碰撞；偶然发现；伤…的感情
vi. 打；打击；碰撞；偶然碰上"
hitchhiker,n. 搭便车的旅行者；顺便插入的广告
hobby,n. 嗜好；业余爱好
hockey,n. 曲棍球；冰球
hold,"n. 控制；保留
vi. 支持；有效；持续
vt. 持有；拥有；保存；拘留；约束或控制
又作“Hold住”使用，中英混用词汇，表示轻松掌控全局。
"
hole,"n. 洞，孔；洞穴，穴；突破口
vt. 凿洞
vi. 凿洞，穿孔；（高尔夫球等）进洞"
holiday,"n. 假日；节日；休息日
vi. 外出度假"
home,"n. 家，住宅；产地；家乡；避难所
adj. 国内的，家庭的；有效的
vt. 归巢，回家
adv. 在家，回家；深入地"
homework,n. 家庭作业，课外作业
honest,adj. 诚实的，实在的；可靠的；坦率的
honestly,adv. 真诚地；公正地
hop,"vt. 搭乘
v. 单足跳跃
vi. 双足或齐足跳行
n. 蹦跳,跳跃；跳舞；一次飞行的距离"
hope,"n. 希望；期望；信心
vi. 希望；期待；信赖
vt. 希望；期望"
hopeless,adj. 绝望的；不可救药的
hopeful,"n. 有希望成功的人
adj. 有希望的；有前途的"
hopefully,adv. 有希望地，有前途地
horror,n. 惊骇；惨状；极端厌恶；令人恐怖的事物
horrible,adj. 可怕的；极讨厌的
host,"n.  主机；主人；主持人；许多
vt. 主持；当主人招待
vi. 群集；做主人"
hostel,n. 旅社，招待所（尤指青年旅社）
hot,"adj. 热的；辣的；热情的；激动的；紧迫的
vt. 增加；给…加温
adv. 热；紧迫地
vi. 变热"
hotel,"n. 旅馆，饭店；客栈
vt. 使…在饭店下榻
vi. 进行旅馆式办公"
housewife,n. 家庭主妇
housework,n. 家务事
hovercraft,n. 气垫船
how,"adv. 如何；多少；多么
n. 方法；方式
conj. 如何"
however,"conj. 无论以何种方式; 不管怎样
adv. 无论如何；不管怎样（接副词或形容词）；然而；可是"
hug,"n. 拥抱；紧抱；固执
vi. 拥抱；紧抱在一起；挤在一起
vt. 拥抱；紧抱；抱有，坚持"
huge,adj. 巨大的；庞大的；无限的
enormous,adj. 庞大的，巨大的；凶暴的，极恶的
hugely,adv. 巨大地；非常地
human,"n. 人；人类
adj. 人的；人类的"
humane,adj. 仁慈的，人道的；高尚的
humanity,n. 人类；人道；仁慈；人文学科
hungry,adj. 饥饿的；渴望的；荒年的；不毛的
hunt,"n. 狩猎；搜寻
vt. 打猎；搜索
vi. 打猎；搜寻"
hunter,n. 猎人；猎犬；搜寻者
hurry,"n. 匆忙，急忙
v. 仓促（做某事）；催促；（朝某方向）迅速移动；迅速处理"
hurt,"n. 痛苦；危害；痛苦的原因
vt. 使受伤；损害；使疼痛；使痛心
adj. 受伤的；痛苦的；受损的
vi. 感到疼痛；有坏处；带来痛苦"
icy,adj. 冰冷的；冷淡的；结满冰的
freezing,adj. 冰冻的；严寒的；冷冻用的
ID,
idea,n. 想法；主意；概念
identify,vt. 确定；鉴定；识别，辨认出；使参与；把…看成一样 vi. 确定；认同；一致
identity,n. 身份；同一性，一致；特性；恒等式
identification,n. 鉴定，识别；认同；身份证明
ignore,vt. 驳回诉讼；忽视；不理睬
illness,n. 病；疾病
image,"n. 影像；想象；肖像；偶像
vt. 想象；反映；象征；作…的像"
imagery,n. 像；意象；比喻；形象化
imagine,"vi. 想像；猜想；想像起来
vt. 想像；猜想；臆断"
imagination,n.  想象力；空想；幻想物
imaginable,adj. 可能的；可想像的
imaginative,adj. 富于想象的；有创造力的
immediate,adj. 立即的；直接的；最接近的
instant,"n. 瞬间；立即；片刻
adj. 立即的；紧急的；紧迫的"
immediately,"conj. 一…就
adv. 立即，立刻；直接地"
immigration,n. 外来移民；移居
impatient,adj. 焦躁的；不耐心的
import,"n. 进口，进口货；输入；意思，含义；重要性
vt. 输入，进口；含…的意思
vi. 输入，进口"
important,adj. 重要的，重大的；有地位的；有权力的
unimportant,adj. 不重要的；琐碎的
importance,n. 价值；重要；重大；傲慢
impossible,"n. 不可能；不可能的事
adj. 不可能的；不可能存在的；难以忍受的；不真实的"
possible,"n. 可能性；合适的人；可能的事物
adj. 可能的；合理的；合适的"
impressed,adj. 印象深刻的；外加的；受感动的；了不起的
improve,"vt. 改善，增进；提高…的价值
vi. 增加；变得更好"
improvement,n. 改进，改善；提高
inactive,adj. 不活跃的；不活动的；怠惰的；闲置的
active,"n. 主动语态；积极分子
adj. 积极的；活跃的；主动的；有效的；现役的"
inch,"n. 英寸；身高；少许
vt. 使缓慢地移动
vi. 慢慢前进"
include,vt. 包含，包括
contain,"vi. 含有；自制
vt. 包含；控制；容纳；牵制（敌军）"
including,prep. 包含，包括
income,n. 收入，收益；所得
inconvenient,adj. 不便的；打扰的
convenient,adj. 方便的；适当的；近便的；实用的
increase,"n. 增加，增长；提高
vt. 增加，加大
vi. 增加，增大；繁殖"
decrease,"n. 减少，减小；减少量
vt. 减少，减小
vi. 减少，减小"
incredibly,adv. 难以置信地；非常地
indeed,"adv. 的确；实在；真正地；甚至
int. 真的（表示惊讶、怀疑、讽刺等）"
independent,"n. 独立自主者；无党派者
adj. 独立的；单独的；无党派的；不受约束的"
India,n. 印度（南亚国家）
Indian,"n. 印度人；印第安人；印第安语
adj. 印度的；印第安人的；印第安语的"
individual,"n. 个人，个体
adj. 个人的；个别的；独特的"
indoor,adj. 室内的，户内的
indoors,adv. 在室内，在户内
industrial,"n. 工业股票；工业工人
adj. 工业的，产业的；从事工业的；供工业用的；来自勤劳的"
influence,"n. 影响；势力；感化；有影响的人或事
vt. 影响；改变"
inform,"vi. 告发；告密
vt. 通知；告诉；报告"
information,n. 信息，资料；知识；情报；通知
ingredient,"n. 原料；要素；组成部分
adj. 构成组成部分的"
inhabitant,n. 居民；居住者
initial,"n. 词首大写字母
adj. 最初的；字首的
vt. 用姓名的首字母签名"
initially,adv. 最初，首先；开头
initialise,  初始化，赋初值，预置
injure,vt. 伤害，损害
injury,n. 伤害，损害；受伤处
injured,adj. 受伤的；受损害的
ink,"n. 墨水，墨汁；油墨
vt. 签署；涂墨水于"
inquiry,n. 探究；调查；质询
insect,n. 昆虫；卑鄙的人
inside,"prep. 少于；在…之内
n. 里面；内部；内情；内脏
adj. 里面的；内部的；秘密的
adv. 在里面"
outside,"adj. 外面的，外部的；外来的
n. 外部；外观
adv. 在外面，向外面；在室外
prep. 在…范围之外"
insist,"vi. 坚持，强调
vt. 坚持，强调"
inspire,vt. 激发；鼓舞；启示；产生；使生灵感
install,vt. 安装；任命；安顿
instance,"n. 实例；情况；建议
vt. 举...为例"
instead,adv. 代替；反而；相反
instruction,n. 指令，命令；指示；教导；用法说明
instructor,n. 指导书；教员；指导者
instrument,n. 仪器；工具；乐器；手段；器械
instrumental,"n. 器乐曲；工具字，工具格
adj. 乐器的；有帮助的；仪器的，器械的"
instrumentalist,"n. 工具主义者；乐器演奏家
adj. 工具主义的"
insurance,n. 保险；保险费；保险契约；赔偿金
intelligent,adj. 智能的；聪明的；理解力强的
intelligence,n. 智力；情报工作；情报机关；理解力；才智，智慧；天分
intend,"vi. 有打算
vt. 打算；想要；意指"
interest,"n. 兴趣，爱好；利息；趣味；同行
vt. 使……感兴趣；引起……的关心；使……参与"
interested,"v. 使…感兴趣（interest的过去分词）
adj. 感兴趣的；有权益的；有成见的"
uninterested,adj. 不感兴趣的；无利害关系的
interesting,adj. 有趣的；引起兴趣的，令人关注的
uninteresting,adj. 无趣味的，乏味的；令人厌倦的
interlocutor,n. 对话者；谈话者
intermediate,"n.  中间物；媒介
adj. 中间的，中级的
vi. 起媒介作用"
international,"n. 国际组织；国际体育比赛；外国居留者；国际股票
adj. 国际的；两国（或以上）国家的；超越国界的；国际关系的；世界的"
Internet,
interpret,"vi. 解释；翻译
vt. 说明；口译"
interpreter,n. 解释者；口译者；注释器
interrupt,"n. 中断
vt. 中断；打断；插嘴；妨碍
vi. 打断；打扰"
interruption,n. 中断；干扰；中断之事
interval,n. 间隔；间距；幕间休息
interview,"n. 接见，采访；面试，面谈
vt. 采访；接见；对…进行面谈；对某人进行面试"
interviewer,n. 采访者；会见者；面谈者；进行面试者
introduce,vt. 介绍；引进；提出；采用
introduction,n. 介绍；引进；采用；入门；传入
invade,"vt. 侵略；侵袭；侵扰；涌入
vi. 侵略；侵入；侵袭；侵犯"
invasion,n. 入侵，侵略；侵袭；侵犯
invader,n. 侵略者；侵入物
invent,vt. 发明；创造；虚构
invention,n. 发明；发明物；虚构；发明才能
inventor,n. 发明家； 发明人；创造者
invite,"n. 邀请
vt. 邀请，招待；招致"
invitation,n. 邀请；引诱；请帖；邀请函
involve,vt. 包含；牵涉；使陷于；潜心于
iron,"n. 熨斗；烙铁；坚强
adj. 铁的；残酷的；刚强的
vt. 熨；用铁铸成
vi. 熨衣；烫平"
ironing,n. 熨烫；熨衣服；熨平衣服
island,"n. 岛；岛屿；安全岛；岛状物
adj. 岛的
vt. 孤立；使成岛状"
issue,"n. 问题；流出；期号；发行物
vt. 发行，发布；发给；放出，排出
vi. 发行；流出；造成…结果；传下"
it,"abbr. 信息技术information technology
abbr. 意大利Italy；意大利的Italian"
itself,pron. 它自己；它本身
Italy,n. 意大利（欧洲南部国家）
Italian,"n. 意大利人；意大利语
adj. 意大利的；意大利文化的；意大利语的"
item,"n. 条款，项目；一则；一件商品（或物品）
adj. 又，同上
v. 记下；逐条列出"
jacket,"n. 羽绒滑雪衫；西装短外套；短上衣，夹克；土豆皮；书籍的护封；文件套，公文夹
vt. 给…穿夹克；给…装护套；给…包上护封；打"
jail,"n. 监狱；监牢；拘留所
vt. 监禁；下狱"
jam,"n. 果酱；拥挤；困境；扣篮
vt. 使堵塞；挤进，使塞满；混杂；压碎
vi. 堵塞；轧住"
Japan,n. 日本（东亚国家名）
Japanese,"n. 日本人；日语
adj. 日本（人）的；日语的"
jealous,adj. 妒忌的；猜疑的；唯恐失去的；戒备的
jet engine,"n. 喷气式发动机
 喷气发动机；喷射引擎；喷射发动机"
jewellery,n. 珠宝（等于jewelry）
job,"n. 工作；职业
vt. 承包；代客买卖
vi. 做零工"
work,"n. 工作； 功；产品；操作；职业；行为；事业；工厂；著作；文学、音乐或艺术作品
vt. 使工作；操作；经营；使缓慢前进
vi. 工作；运作；起作用"
jogging,"n. 慢跑
v. 慢跑（jog的ing形式）；轻推；唤起"
join,"vt. 参加；结合；连接
vi. 加入；参加；结合
n. 结合；连接；接合点"
joke,"n. 玩笑，笑话；笑柄
vt. 开…的玩笑
vi. 开玩笑"
journalism,n. 新闻业，新闻工作；报章杂志
journalist,n. 新闻工作者；报人；记日志者
journey,"n. 旅行；行程
vi. 旅行"
judge,"vt. 判断；审判
n. 法官；裁判员
vi. 审判；判决"
judgement,n. 意见；判断力； 审判；评价
jug,"n.  水壶；监牢
vt. 关押；放入壶中
vi. 模仿夜莺叫"
jugful,n. 一壶的份量
juice,n. （水果）汁，液；果汁
juicer,n. 榨汁器；照明技师；酒鬼（俚语）
jump,"n. 跳跃；暴涨；惊跳
vt. 跳跃；使跳跃；跳过；突升
vi. 跳跃；暴涨；猛增"
jumper,n. 跳高运动员；跳跃者；工作服；妇女穿的套头外衣
jungle,"n. 丛林，密林；危险地带
adj. 丛林的；蛮荒的"
just,"adv. 只是，仅仅；刚才，刚刚；正好，恰好；实在；刚要
adj. 公正的，合理的；正直的，正义的；正确的；公平的；应得的"
keen,"adj. 敏锐的，敏捷的；渴望的；强烈的；热心的；锐利的
n. 痛哭，挽歌"
keep,"vt. 保持；经营；遵守；饲养
vi. 保持；继续不断
n. 保持；生计；生活费"
keeper,n. 监护人；饲养员；看守人；管理人
Kenya,n. 肯尼亚（东非国家）
kettle,n. 壶； 釜；罐；鼓
key,"n. （打字机等的）键；关键；钥匙
vt. 键入；锁上；调节…的音调；提供线索
vi. 使用钥匙
adj. 关键的"
keyboard,"n. 键盘
vt. 键入；用键盘式排字机排字
vi. 用键盘进行操作；作键盘式排字机排字"
kick,"vt. 踢；反冲，朝后座
n. 踢；反冲，后座力
vi. 踢；反冲"
kid,"n. 小孩；小山羊
vt. 欺骗；取笑；戏弄
vi. 欺骗；取笑；戏弄
adj. 小山羊皮制的；较年幼的"
kill,"vt. 杀死；扼杀；使终止；抵消
vi. 杀死
n. 杀戮；屠杀
adj. 致命的；致死的"
kilogramme,n. 公斤; 千克
kilometre,n.  公里； 千米
kind,"n. 种类；性质
adj. 和蔼的；宽容的；令人感激的"
unkind,adj. 无情的；不仁慈的，不厚道的
king,"n. 国王；最有势力者；王棋
vi. 统治；做国王
vt. 立…为王
adj. 主要的，最重要的，最大的"
kiss,"vt. 吻；（风等）轻拂
vi. 接吻；（风等）轻触
n. 吻；轻拂"
kit,"n. 工具箱；成套工具
vt. 装备
vi. 装备"
kitten,"n. 小猫；小动物
vi. 产小猫"
knee,"n. 膝盖，膝
vt. 用膝盖碰"
kneel,vi. 跪下，跪
knit,"vi. 编织；结合；皱眉
vt. 编织；结合
n. 编织衣物；编织法"
knitted,"adj.  针织的；编织的
v. 编织；使紧密结合（knit的过去分词）"
knock,"vi. 敲；打；敲击
vt. 敲；打；敲击；批评
n. 敲；敲打；爆震声"
know,"vt. 知道；认识；懂得
vi. 了解；熟悉；确信"
unknown,"n. 未知数；未知的事物，默默无闻的人
adj. 未知的；陌生的，默默无闻的"
knowledge,n. 知识，学问；知道，认识；学科
knowledgeable,adj. 知识渊博的，有知识的；有见识的；聪明的
label,"vt. 标注；贴标签于
n. 标签；商标；签条"
laboratory,n. 实验室，研究室
labour,n. （英国）工党
labourer,n. 劳动者；劳工
lack,"vt. 缺乏；不足；没有；需要
vi. 缺乏；不足；没有
n. 缺乏；不足"
ladder,"n. 阶梯；途径；梯状物
vi. 成名；发迹
vt. 在……上装设梯子"
lady,n. 女士，夫人；小姐；妻子
lake,"n. 湖；深红色颜料；胭脂红
vt. （使）血球溶解
vi. （使）血球溶解"
lamb,"n. 羔羊，小羊；羔羊肉
vt. 生小羊，产羔羊
vi. 生小羊，产羔羊"
lamp,"n. 灯；照射器
vt. 照亮
vi. 发亮"
landline,n. 陆上运输；地上通讯线；输送路线
landscape,"n. 风景；风景画；景色；山水画；乡村风景画；地形；（文件的）横向打印格式
vt. 对…做景观美化，给…做园林美化；从事庭园设计
vi. 美化（环境等），使景色宜人；从事景观美化工作，做庭园设计师"
language,n. 语言；语言文字；表达能力
laptop,n. 膝上型轻便电脑，笔记本电脑
large,"adj. 大的；多数的；广博的
adv. 大大地；夸大地
n. 大"
last,"n. 末尾，最后；上个；鞋楦（做鞋的模型）
adj. 最后的；最近的，最新的；仅剩的；最不可能…的
vi. 持续；维持，够用；持久
vt. 度过，拖过；使维持
adv. 最后地；上次，最近；最后一点"
late,"adj. 晚的；迟的；已故的；最近的
adv. 晚；迟；最近；在晚期"
lately,adv. 近来，不久前
later,"adv. 后来；稍后；随后
adj. 更迟的；更后的"
latest,"adv. 最迟地；最后地
n. 最新的事物
adj. 最新的，最近的；最迟的，最后的"
laugh,"n. 笑；引人发笑的事或人
vi. 笑
vt. 以笑表示；使…笑得"
