aha,int. 啊哈（表示喜悦、轻蔑、惊讶等）
bleachers,n. （美）露天看台； 漂白剂（bleacher的复数形式）
competitor,n. 竞争者，对手
concentrated,"v. 集中（concentrate的过去分词）
adj. 集中的；浓缩的；全神贯注的"
condo,n. 分户出售公寓大厦（等于condominium）
dental,"n. 齿音
adj. 牙科的；牙齿的，牙的"
dribble,"n. n. 点滴；运球
vt. 连击；使滴下；运球
vi. 滴下；流口水"
exertion,n. 发挥；运用；努力
exhaustion,n. 枯竭；耗尽；精疲力竭
expressionless,adj. 无表情的；呆板的
femininity,n. 温柔；柔弱性；女子本性
frilly,adj. 镶褶边的；多饰边的
hairdo,n. 发型；发式
honey,"n. 蜂蜜；宝贝；甜蜜
adj. 甘美的；蜂蜜似的
vt. 对…说甜言蜜语；加蜜使甜
vi. 奉承；说甜言蜜语"
hoop,"n. 箍；铁环；呼呼声
vt. 加箍于；包围
vi. 发呼呼声"
horror,n. 惊骇；惨状；极端厌恶；令人恐怖的事物
imply,vt. 意味；暗示；隐含
indication,n. 指示，指出；迹象；象征
indifference,n. 漠不关心；冷淡；不重视；中立
insulting,"v. 侮辱；损害（insult的ing形式）
adj. 侮辱的，无礼的；污蔑的；损害人体的"
lawyerlike,adj. 如律师的，适合于律师的
lurk,"vi. 潜伏；潜藏；埋伏
n. 潜伏；埋伏"
mascara,"n. 染眉毛油；染睫毛膏
vt. 在…上涂染眉毛膏"
morality,n. 道德；品行，美德
muddy,"adj. 泥泞的；模糊的；混乱的
vt. 使污浊；使沾上泥；把…弄糊涂
vi. 变得泥泞；沾满烂泥"
ponytail,n. 马尾辫
prom,n. 毕业舞会（为中学生举办的正式舞会或聚会，通常在高中学年即将结束时举行）
quest,"n. 追求；寻找
vt. 探索
vi. 追求；寻找"
rainy,adj. 下雨的；多雨的
revive,"vt. 使复兴；使苏醒；回想起；重演，重播
vi. 复兴；复活；苏醒；恢复精神"
ribbon,"n. 带；缎带；（勋章等的）绶带；带状物；勋表
vt. 把…撕成条带；用缎带装饰
vi. 形成带状"
soccer,n. 英式足球，足球
softball,n. 垒球；垒球运动
subsequently,adv. 随后，其后；后来
sweatband,n. 防汗带
teammate,n. 队友，同队队员
tryout,n. 试验；选拔赛；预赛
varsity,"n. 大学；大学运动代表队
adj. 大学代表队的"
yearbook,n. 年鉴；年刊
be bound up with,"na. 与…有密切联系；与…结合在一起；和…有密切关系
 与...有密切联系；与…有密切关系；相关"
be up against,"na. 遇到(经济上的)巨大困难
 面临；面对；对抗"
come in for criticism, 挨批评
come in for blame,
go for,"na. 去喊；拥护；被认为；袭击
 适用于；为……去；支持"
in shape,"un. 完全不；情况；模样
 处于良好状态；在外形上；在形状上"
dawn on, （白昼）来临于（某处）; 给（某处）以光明; 逐渐（被人）知晓; 明白
dawn on someone, 恍然大悟
go well with,"v. 与…相配
 协调；与……相配；和…很相配"
sign up,"na. 同“sign”
 注册；报名；签约"
strike someone as,使某人产生…的感觉；给某人以…的印象
accordingly,adv. 因此，于是；相应地；照著
armored,adj. 装甲的
armoured,adj. 装甲的；铠装的；蛇皮管的
assess,vt. 评定；估价；对…征税
definitive,"n. 限定词
adj. 决定性的；最后的；限定的"
denominator,n.  分母；命名者；共同特征或共同性质；平均水平或标准
disaster,n. 灾难，灾祸；不幸
exposure,n. 暴露；曝光；揭露；陈列
fraction,n. 分数；部分；小部分；稍微
hypochondria,n. 忧郁症；臆想病（hypochondrium的复数）
hypochondriac,n. 疑病患者
inconvenience,"n. 不便；麻烦
vt. 麻烦；打扰"
inflate,"vt. 使充气；使通货膨胀
vi. 膨胀；充气"
inform,"vi. 告发；告密
vt. 通知；告诉；报告"
injury,n. 伤害，损害；受伤处
miner,n. 矿工；开矿机
multiply,"vt. 乘；使增加；使繁殖；使相乘
vi. 乘；繁殖；增加
adv. 多样地；复合地
adj. 多层的；多样的"
neurotic,"adj. 神经过敏的；神经病的
n. 神经病患者；神经过敏者"
numerator,n. 分子；计算者；计算器
partial,adj. 局部的；偏爱的；不公平的
physician,n.  医师；内科医师
probability,n. 可能性；机率； 或然率
ratio,n. 比率，比例
risky,adj. 危险的；冒险的；（作品等）有伤风化的
riskiness,n. 冒险的事；危险
rob,"vt. 抢劫；使…丧失；非法剥夺
vi. 抢劫；掠夺"
roughly,adv. 粗糙地；概略地
symptom,n.  症状；征兆
versus,prep. 对；与...相对；对抗
all manner of,"na. 各色各样的(人,东西等等)
 各种各样的；形形色色的；各式各样的"
end up,"na. 结束；完事；死；直立着
 告终；竖着；最终成为"
feed on,"na. 同“feed off ”；“live on”的变体
 以……为食；以…为食物；以…为主食"
in question,"adj. 在谈论中
 正在谈论的；正在考虑；正被谈论的"
may well,"na. 也有好处
 很可能；保不住；充分理由"
on the strength of,"na. 依赖
 凭借；基于；根据"
reduce ... to, 下降至；减少到；使处于，使成为
AIDS,abbr. 获得性免疫缺乏综合征；爱滋病（Acquired Immune Deficiency Syndrome）
catastrophic,adj. 灾难的；悲惨的；灾难性的，毁灭性的
costly,adj. 昂贵的；代价高的
deficit,n. 赤字；不足额
disproportionately,adv. 不成比例地
enormously,adv. 巨大地，庞大地；非常地，在极大程度上
funding,"n. 提供资金；用发行长期债券的方法来收回短期债券
v. 提供资金；积存（fund的ing形式）"
hence,adv. 因此；今后
immediacy,n. 直接；目前
incidence,n. 发生率；影响； 入射；影响范围
incubation,n. 孵化； 潜伏；抱蛋
indifferent,adj. 漠不关心的；无关紧要的；中性的，中立的
insignificant,adj. 无关紧要的
killer,n. 杀手；致死；止痛药；宰杀的器具；断路器
lag,"n. 落后；迟延；防护套；囚犯；桶板
vt. 落后于；押往监狱；加上外套
vi. 滞后；缓缓而行；蹒跚
adj. 最后的"
lesser,"adj. 较少的；次要的；更小的
adv. 较少地；更小地；不及"
loom,"n. 织布机；若隐若现的景象
vi. 可怕地出现；朦胧地出现；隐约可见
vt. 在织布机上织"
nonetheless,adv. 尽管如此，但是
notable,"adj. 值得注意的，显著的；著名的
n. 名人，显要人物"
payable,adj. 应付的；到期的；可付的；可获利的
permanent,"n. 烫发（等于permanent wave）
adj. 永久的，永恒的；不变的"
piper,n. 吹笛者；风笛手；管道工；绿鳍鱼；气喘的马
poll,"n. 投票；民意测验；投票数；投票所
adj. 无角的；剪过毛的；修过枝的
vt. 投票；剪短；对…进行民意测验；获得选票
vi. 投票"
preoccupation,n. 全神贯注，入神；当务之急；关注的事物；抢先占据；成见
principally,adv. 主要地；大部分
radiation,n. 辐射；发光；放射物
reassessment,n. 重新评估； 重新估价；重新考虑
repeatedly,adv. 反复地；再三地；屡次地
seriousness,n. 严重性；严肃；认真
short-sighted,adj. 目光短浅的；近视的
specifically,adv. 特别地；明确地
terror,n. 恐怖；恐怖行动；恐怖时期；可怕的人
understandable,adj. 可以理解的；可以了解的
strike terror into someone's heart,使某人胆战心惊；使某人胆战心惊 
strike fear into someone's heart,
bring something under control,vt.  置于 ... 控制之下； 把 ... 控制住
bear in mind,"na. 记住；铭记不忘；注意
 牢记在心；记在心里；考虑到"
make sense,"na. (话等)有意义；合理；有道理；讲得通
 言之有理；使…有意义；好理解"
in this light, 这样说来；从这一角度看；考虑到此
by virtue of,"na. 靠
 由于；凭借；因"
adventurous,adj. 爱冒险的；大胆的；充满危险的
alpine,adj. 阿尔卑斯山的，高山的
ambition,"n. 野心，雄心；抱负，志向
vt. 追求；有…野心"
ankle,n. 踝关节，踝
bungee,n. 蹦极；橡皮筋；松紧绳
buzz,"n. 嗡嗡声
vt. 使嗡嗡叫；暗中散布
vi. 作嗡嗡声；东奔西忙
n. 网络口碑（消费者或网民对于品牌、产品等广告主在乎的事情在网上发出的各种声音）"
capitalize,"vi. 利用；积累资本
vt. 使资本化；以大写字母写；估计…的价值"
chord,n. 弦；和弦；香水的基调
client,n.  客户；顾客；委托人
cord,"n. 绳索；束缚
vt. 用绳子捆绑"
elastic,"n. 松紧带；橡皮圈
adj. 有弹性的；灵活的；易伸缩的"
exponent,"n.  指数；典型；说明者，说明物
n. 倡导者，鼓吹者，代表者，拥护者
adj. 说明的"
fatality,n. 死亡；宿命；致命性；不幸；灾祸
glacier,n. 冰河，冰川
gorge,"n. 峡谷；胃；暴食；咽喉；障碍物
vt. 使吃饱；吞下；使扩张
vi. 拚命吃；狼吞虎咽"
lawsuit,n. 诉讼（尤指非刑事案件）；诉讼案件
maximum,"n.  极大，最大限度；最大量
adj. 最高的；最多的；最大极限的"
mountaineer,"n. 登山家，登山运动员；山地人
vi. 登山"
mundane,adj. 世俗的，平凡的；世界的，宇宙的
parachute,"n. 降落伞
vi. 跳伞
空投"
pioneer,"n. 先锋；拓荒者
vt. 开辟；倡导；提倡
vi. 作先驱"
qualified,"v. 限制（qualify的过去分词）；描述；授权予
adj. 合格的；有资格的"
quote,"n. 引用
vi. 报价；引用；引证
vt. 报价；引述；举证"
radical,"n. 基础；激进分子； 原子团； 根数
adj. 激进的；根本的；彻底的"
sanitize,vt. 使…无害；给…消毒；对…采取卫生措施
seeker,n. 探求者；搜查人
ski,"n. 滑雪橇
vi. 滑雪
adj. 滑雪（用）的"
statistics,n. 统计；统计学； 统计资料
suburbia,n. 郊区；郊区居民
sue,"vt. 控告；请求
vi. 控告；提出请求"
surf,"vi. 作冲浪运动
vt. 在…冲浪
n. 海浪，拍岸浪"
swing,"n. 摇摆；摆动；秋千；音律；涨落
adj. 旋转的；悬挂的；强节奏爵士音乐的
vt. 使旋转；挥舞；悬挂
vi. 摇摆；转向；悬挂；大摇大摆地行走"
toll,"vt. 征收；敲钟
n. 通行费；代价；钟声；伤亡人数
vi. 鸣钟；征税"
typically,adv. 代表性地；作为特色地
urban,adj. 城市的；住在都市的
wrist,"n. 手腕；腕关节
vt. 用腕力移动"
capitalize on,"v. 利用
 投机倒把；从中利用；获利"
range from something to something,
line up,"na. 整顿(机械等)；排成一列；使(兵士)排齐；整顿阵容
 排队；整队；排成一行"
short cut,"n. 捷径；近路；（做某事的）快捷办法
 快捷方式；金黄色的回忆；缩短球路"
strike a chord, 引起共鸣；引起回忆或感情的共鸣；触动心弦
adequate,adj. 充足的；适当的；胜任的
commencement,n. 开始，发端；毕业典礼
crucial,adj. 重要的；决定性的；定局的；决断的
deadline,n. 截止期限，最后期限
erase,"vt. 抹去；擦除
vi. 被擦去，被抹掉"
faculty,n. 科，系；能力；全体教员
fantasy,"n. 幻想；白日梦；幻觉
adj. 虚幻的
vt. 空想；想像
vi. 耽于幻想；奏幻想曲（等于phantasy）"
final,"n. 决赛；期末考试；当日报纸的末版
adj. 最终的；决定性的；不可更改的"
forgiving,"adj. 宽恕的；宽容的；宽大的
v. 原谅；豁免（forgive的ing形式）"
formulate,vt. 规划；用公式表示；明确地表达
garrulous,adj. 唠叨的；喋喋不休的；多嘴的
informed,"v. 通知；使了解；提供资料（inform的过去分词）
adj. 消息灵通的；见多识广的"
mediocre,adj. 普通的；平凡的；中等的
midterm,"adj. 期中的；中间的
n. 期中考试"
painless,adj. 无痛的；不痛的
parlous,"adj. 危险的；狡猾的；不易对付的
adv. 非常地；极度地"
preparatory,"n. 预科；预备学校
adj. 预备的"
presentation,n. 展示；描述，陈述；介绍；赠送
pretense,n. 借口；虚假；炫耀；自吹（等于pretence）
quitter,n. 轻易放弃的人；懒人
slipshod,adj. 潦草的；穿著不整洁的；穿著踏跟鞋的
supposedly,adv. 可能；按照推测；恐怕
tolerant,adj. 宽容的；容忍的；有耐药力的
triple,"n. 三倍数；三个一组
adj. 三倍的；三方的
vt. 使成三倍
vi. 增至三倍"
unchallenging, 不寻常的
unimaginative,adj. 缺乏想象力的；无趣的
unlearn,vt. 忘却；抛掉以前的想法；去掉…的弊习
act out,"v. 演出
 表演；表演出来；把……表演出来"
be rid of,"v. 免于
 摆脱；除去；去掉"
by no means,"na. 决不；并没有
 一点也不；绝不；无论如何决不"
get down to,"v. 认真对待
 开始；着手；着手做"
look back on,"v. 回顾
 回忆；回顾过去；回首"
take a close look,"v. 仔细看过
 仔细看一看；仔细地看；你可以再近一点看"
take a close look at,"v. 仔细观察
 关注；细看；近距离地观看"
administrator,n. 管理人；行政官
arcane,adj. 神秘的；晦涩难解的；秘传的
bizarre,adj. 奇异的（指态度，容貌，款式等）
chilling,"n. 冷却；寒冷
adj. 寒冷的；冷漠的；使人恐惧的；令人寒心的；呱呱叫的（等于chillin）
v. 冷却（chill的ing形式）"
contented,"v. 使…满足；使…安心（content的过去式和过去分词）
adj. 满足的；心安的"
curse,"n. 诅咒；咒骂
vt. 诅咒；咒骂
vi. 诅咒；咒骂"
demented,"adj. 发狂的，疯狂的；精神错乱的
v. 精神错乱；变得痴呆（dement的过去分词）"
desperation,n. 绝望的境地；不顾一切拼命
downhill,"n. 下坡；滑降
adj. 下坡的；容易的
adv. 下坡；向下；每况愈下"
exhilarating,"adj. 使人愉快的；令人喜欢的；爽快的
v. 使高兴，使兴奋（exhilarate的现在分词形式）"
frigid,adj. 寒冷的，严寒的；冷淡的
glaze,"n. 釉；光滑面
vt. 装以玻璃；上釉于
vi. 变呆滞；变得光滑"
glide,"vi. 滑翔；滑行；悄悄地走；消逝
vt. 使滑行；使滑动
n. 滑翔；滑行；滑移；滑音"
kneel,vi. 跪下，跪
leisurely,"adj. 悠闲的；从容的
adv. 悠闲地；从容不迫地"
moan,"vi. 抱怨，悲叹；呻吟
n. 呻吟声；悲叹
vt. 抱怨；呻吟着说"
mutter,"vi. 咕哝；喃喃自语
vt. 咕哝；抱怨地说；低声含糊地说
n. 咕哝；喃喃低语"
obscure,"adj. 昏暗的，朦胧的；晦涩的，不清楚的；隐蔽的；不著名的，无名的
vt. 使…模糊不清，掩盖；隐藏；使难理解
n. 某种模糊的或不清楚的东西"
pathetic,adj. 可怜的，悲哀的；感伤的；乏味的
precursor,n. 先驱，前导
realization,n. 实现；领悟
regurgitate,"vt. 使回流；使回涌；使反刍
vi. 回流；回涌；反胃；反刍"
rotten,"adj. 腐烂的；堕落的；恶臭的；虚弱的；极坏的
adv. 非常"
scrunch,"n. 嘎吱嘎吱的响声；碾压
vt. 碾碎；缩紧；使弯曲
vi. 蜷缩；嘎吱嘎吱地作响"
sidewalk,n. 人行道
stagger,"n. 蹒跚；交错安排
vt. 蹒跚；使交错；使犹豫
adj. 交错的；错开的
vi. 蹒跚；犹豫"
weep,"n. 哭泣；眼泪；滴下
vt. 哭泣；流泪；悲叹；流出或渗出液体
vi. 哭泣；流泪；哀悼；滴落；渗出液体"
against all odds, 再看我一眼；危情；冲破禁忌
cough up,"na. “cough out”的变体；同“cough”
 咳出；勉强说出；吐出"
do something from memory,
glaze over, 变呆滞；呆滞无神；茫然
in session, 在开庭；在开会；在会议中
lock up,"na. 上锁；监禁；收藏(文件等)；固定(资本)
 破茧威龙；锁上；锁住"
sit around, 无所事事；坐着没事干；闲坐
sure enough,"na. 果然；果真
 确实；毫无疑问；果然不出所料"
attain,"n. 成就
vt. 达到，实现；获得；到达
vi. 达到；获得；到达"
avoidable,adj. 可避免的；可作为无效的；可回避的
beneficial,adj. 有益的，有利的；可享利益的
brag,"n. 吹牛，自夸
vi. 吹牛，自夸
vt. 吹牛，吹嘘"
breezy,adj. 有微风的；轻松愉快的；通风好的；活泼的
calculus,n.  结石；微积分学
cloudy,adj. 多云的；阴天的；愁容满面的
contemplate,"vt. 沉思；注视；思忖；预期
vi. 冥思苦想；深思熟虑"
definite,adj. 一定的；确切的
dismal,"n. 低落的情绪
adj. 凄凉的，忧郁的；阴沉的，沉闷的"
disposition,n. 处置； 性情； 部署；倾向
downfall,n. 垮台；衰败；落下；大雨
elude,vt. 逃避，躲避
enrage,vt. 激怒；使暴怒
halfway,"adj. 中途的；不彻底的
adv. 到一半；在中途"
hound,"n. 猎犬；卑劣的人
vt. 追猎；烦扰；激励"
impunity,n. 不受惩罚；无患； 免罚
inhabit,"vt. 栖息；居住于；占据
vi. （古）居住；栖息"
lousy,adj. 讨厌的；多虱的；污秽的；极坏的
merciless,adj. 残忍的；无慈悲心的
motivated,"adj. 有动机的；有积极性的
v. 使产生动机；激发…的积极性（motivate的过去式和过去分词）"
nag,"n. 唠叨；老马；竞赛马
vt. 使烦恼；不断地唠叨
vi. 不断地唠叨"
nicety,n. 精密；美好；细节；拘泥细节
patch,"n. 眼罩；斑点；碎片；小块土地
vi. 打补丁
vt. 修补；解决；掩饰"
premature,"n. 早产儿；过早发生的事物
adj. 早产的；不成熟的；比预期早的"
residence,n. 住宅，住处；居住
shelter,"n. 庇护；避难所；遮盖物
vt. 保护；使掩蔽
vi. 躲避，避难"
sin,"n. 罪恶；罪孽；过失
vt. 犯罪
vi. 犯罪；犯过失"
stocking,n. 长袜
sufficient,adj. 足够的；充分的
tongue-lash,vt. 严厉责备，大骂
transgression,n.  海侵；犯罪；违反；逸出
unaccustomed,adj. 不习惯的；奇怪的
unearned,adj. 不劳而获的；非劳动所得的；不相称的
be unaccustomed to, 不适应；不习惯
cast out,"na. 扔出；赶出；吐出；吵闹
 驱逐；逐出；赶走"
chase away,"na. 赶走
 驱逐；追逐；赶开"
draw closer, 临近；走近；更靠近
draw nearer,
intrude upon, 打扰；侵入；闯进
intrude on, 侵犯；间接地侵犯；干涉
intrude into, 侵入；进犯；打扰
prey on,"v. 捕食；掠夺
 杀害；掠夺折磨；折磨，损害"
antique,"n. 古董，古玩；古风，古希腊和古罗马艺术风格
adj. 古老的，年代久远的；过时的，古董的；古风的，古式的
vi. 觅购古玩"
biochemical,adj. 生物化学的
brink,n. （峭壁的）边缘
chronobiology,n. 时间生物学，生物钟学
cult,n. 祭仪（尤其指宗教上的）；礼拜；狂热信徒
desynchronise,v. 失去共时性
external,"n. 外部；外观；外面
adj. 外部的；表面的； 外用的；外国的；外面的"
Hispanic,adj. 西班牙的
humankind,n. 人类（总称）
humidity,n.  湿度；湿气
inborn,adj. 天生的；先天的
industrialise,vt. 使工业化（等于industrialize）
internal,"n. 内脏；本质
adj. 内部的；里面的；体内的；（机构）内部的"
mob,"n. 暴民，暴徒；民众；乌合之众
vt. 大举包围，围攻；蜂拥进入
vi. 聚众生事，聚众滋事"
outgoing,"adj. 对人友好的，开朗的；出发的，外出的；即将离职的；乐于助人的
n. 外出；流出；开支
v. 超过；优于（outgo的ing形式）"
perceptual,adj. 知觉的；感知的；有知觉的
reshape,vt. 改造；再成形
resynchronise,v. 重新同步; 重新共时
robot,n. 机器人；遥控设备，自动机械；机械般工作的人
stove,"n. 火炉；窑；温室
vt. 用火炉烤"
synchronise,"vt. 使同步；使同时发生（等于synchronize）
vi. 同步；同时发生"
synchroniser,同步器
synchronisation,n. 同步；同一时刻；同时发生
thereby,adv. 从而，因此；在那附近；在那方面
timepiece,n. 钟等各种计时器
tyranny,n. 暴政；专横；严酷；残暴的行为（需用复数）
unclock,
unison,n. 和谐；齐唱；同度； 同音
wristwatch,n. 手表
adjust to,"v. 适应
 调整；调节；调整以适应"
insist on,"v. 坚持；强调
 坚决要求；坚持要；坚持认为"
summon up,"na. 鼓起(勇气等) (to do； for)
 唤起；振作；奋起"
think of ... as ...,
attribute,"n. 属性；特质
vt. 归属；把…归于"
briefly,adv. 短暂地；简略地；暂时地
conception,n. 怀孕；概念；设想；开始
consistently,adv. 一贯地；一致地；坚实地
drummer,n. 鼓手；旅行推销员；跑街
inaccurate,adj. 错误的
informal,adj. 非正式的；不拘礼节的；随便的；通俗的；日常使用的
latecomer,n. 迟到者；新来者
oversimplify,"vt. 使…过分地单纯化
vi. 过分地单纯化"
stereotype,"n. 陈腔滥调，老套；铅版
vt. 使用铅版；套用老套，使一成不变"
stumble,"n. 绊倒；蹒跚而行
vi. 踌躇，蹒跚；失足；犯错
vt. 使…困惑；使…绊倒"
superb,adj. 极好的；华丽的；宏伟的
terribly,adv. 非常；可怕地；极度地
undergraduate,"n. 大学生；大学肄业生
adj. 大学生的"
vagueness,n. 模糊；含糊；暧昧；茫然
attribute to,"na. 认为(成功)是(努力)的结果
 归因于；把…归因于；归咎于"
break for,
in all honesty, 老实说；毫无隐瞒
keep pace with,"na. 赶上；保持同步；随着…而增长
 跟…齐步前进；跟上；跟上…的最新发展"
absurd,"n. 荒诞；荒诞作品
adj. 荒谬的；可笑的"
agriculturist,n. 农业家； 农场工作者
consciously,adv. 自觉地；有意识地
context,n. 环境；上下文；来龙去脉
counterpart,n. 副本；配对物；极相似的人或物
distortion,n. 变形； 失真；扭曲；曲解
embassy,n. 大使馆；大使馆全体人员
explicit,adj. 明确的；清楚的；直率的；详述的
heel,"n. 脚后跟；踵
vt. 倾侧
vi. 倾侧"
interval,n. 间隔；间距；幕间休息
relay,"n.  继电器；接替，接替人员；驿马
vt. 转播；使接替；分程传递
vi. 转播；接替"
reluctantly,adv. 不情愿地；嫌恶地
stir,"n. 搅拌；轰动
vi. 搅动；传播；走动
vt. 搅拌；激起；惹起"
unreasonable,adj. 不合理的；过度的；不切实际的；非理智的
urgency,n. 紧急；催促；紧急的事
utmost,"n. 极限；最大可能
adj. 极度的；最远的"
be subject to,"un. 给；降伏；受…支配；受…影响
 受支配；服从；应受"
call on,"na. 号召；指名要(某人)去干(某事)；请求；访问
 拜访；呼吁；拜访某人"
cool one's heels,"na. 等得不耐烦；久等
 坐冷板凳；空等；让脚跟凉下来"
in effect,"na. 实际上；总之；有效
 事实上；生效；正在实行"
in question,"adj. 在谈论中
 正在谈论的；正在考虑；正被谈论的"
loud and clear, 响亮；声音清晰响亮；声音很大，听得很清楚
sick and tired of,"un. 使…怅惘；讨厌
 对…十分厌倦；厌倦的；厌烦了做"
to the effect, 大意是；其大意是；带有那个意思
adaptable,adj. 适合的；能适应的；可修改的
assimilate,"vt. 吸收；使同化；把…比作；使相似
vi. 吸收；同化"
atomic,adj. 原子的，原子能的；微粒子的
batch,"n. 一批；一炉；一次所制之量
vt. 分批处理"
blacksmith,n. 铁匠；锻工
bloom,"n. 花；青春；旺盛
vt. 使开花；使茂盛
vi. 开花；茂盛"
contradict,"vt. 反驳；否定；与…矛盾；与…抵触
vi. 反驳；否认；发生矛盾"
convert,"n. 皈依者；改变宗教信仰者
vt. 使转变；转换…；使…改变信仰
vi. 转变，变换；皈依；改变信仰"
disastrous,adj. 灾难性的；损失惨重的；悲伤的
emotionally,adv. 感情上；情绪上；令人激动地；情绪冲动地
ethic,"n. 伦理；道德规范
adj. 伦理的；道德的（等于ethical）"
evolution,n. 演变；进化论；进展
experimentation,n. 实验；试验；实验法；实验过程
geometrically,adv. 用几何学；几何学上地；按几何级数地
icebox,n. 冰箱；冷藏库
innovation,n. 创新，革新；新方法
objectivity,n. 客观；客观性
obsolete,"adj. 废弃的；老式的
n. 废词；陈腐的人
vt. 淘汰；废弃"
prosperity,n. 繁荣，成功
revolutionise,vt. 使彻底变革
scholar,n. 学者；奖学金获得者
segment,"n. 段；部分
vt. 分割
vi. 分割"
catch one's breath,"na. 忍住呼吸；休息一下；紧张起来
 歇口气；喘气；屏息"
have something in mind, 有些主意；有一些想法；心里有什么想法
have somebody in mind,
out of the ordinary, 不平常的，非凡的，例外的; 逾常; 非比寻常; 与众不同
to be exact,"na. 精确地说
 准确地说；确切地说；确切的说"
alphabetical,adj. 字母的； 依字母顺序的
centimeter,n.  厘米； 公分
correlation,n.  相关，关联；相互关系
delicately,adv. 微妙地；精致地；优美地
evaluator,n. 评估员； 鉴别器；求值程序
experimental,adj. 实验的；根据实验的；试验性的
holograph,"n. 亲笔文件
adj. 亲笔的"
intimate,"n. 知己；至交
adj. 亲密的；私人的；精通的；有性关系的
vt. 暗示；通知；宣布"
manipulation,n. 操纵；操作；处理；篡改
measurement,n. 测量； 度量；尺寸；量度制
molecular,adj.  分子的；由分子组成的
programmer,n.  程序设计员
requirement,n. 要求；必要条件；必需品
resonance,n.  共振；共鸣；反响
resonate,"vt. 共鸣；共振
vi. 共鸣；共振"
tab,"n. 标签；制表；帐单
vt. 给…贴标签"
temperamental,adj. 喜怒无常的；性情的；易兴奋的
valve,"n. 阀； 瓣膜；真空管；活门
vt. 装阀于；以活门调节"
a touch of,"det. 少许；一点儿
 有一点；一点点；有少许"
a touch of something,
get in the way,"na. 妨碍
 挡道；碍事；挡路"
keep tabs on,"na. 看守
 监视；密切注意；监督"
keep something to oneself,"vt.保守秘密,不表示出来"
on grounds of,"以...为理由, 以...为借口, 根据..."
on the grounds of,"na. 根据
 以…为理由；由于；想抓住"
pick out,"na. 挑选；掘出；闻出；领会
 挑出；选出；选出，挑出，拣出"
anti-freeze,adj. 防冻
apprehensively,adv. 担心地
badge,"n. 徽章；证章；标记
vt. 授给…徽章"
brochure,n. 手册，小册子
calamity,n. 灾难；不幸事件
Celsius,
cremate,vt. 火葬；烧成灰
cryonics,n. 人体冷冻法
cryonicist, 胆小鬼
deterioration,n. 恶化；退化；堕落
disconcerting,adj. 令人不安的；打扰人的
dispose,"n. 处置；性情
vi. 处理；安排；（能够）决定
vt. 处理；处置；安排"
embryo,"n.  胚胎；胚芽；初期
adj. 胚胎的；初期的"
equate,"vt. 使相等；视为平等
vi. 等同"
extension,n. 延长；延期；扩大；伸展；电话分机
facilitation,n. 简易化； 助长；容易
flask,n.  烧瓶；长颈瓶，细颈瓶；酒瓶，携带瓶
glycerin,n. 甘油
irreparable,adj. 不能挽回的；不能修补的
liken,vt. 比拟；把…比作
liquid,"adj. 液体的；清澈的；明亮的；易变的
n. 液体，流体；流音"
lovingly,adv. 亲切地；钟爱地
nitrogen,n.  氮
outline,"n. 轮廓；大纲；概要；略图
vt. 概述；略述；描画…轮廓"
parcel,"n. 包裹，小包
vt. 打包；捆扎"
rationality,n. 合理性；合理的行动
reanimate,vt. 鼓舞；使复活；使恢复生气
reconstitute,vt. 重新设立；重新组成
resuscitation,n. 复苏；复兴；复活
rocker,n. 摇杆；摇的人；镰刀弯；套钩；摇轴
rupture,"n. 破裂；决裂；疝气
vt. 使破裂；断绝；发生疝
vi. 破裂；发疝气"
scenario,n. 方案；情节；剧本；设想
shorten,"vt. 缩短；减少；变短
vi. 缩短；变短"
skeptical,adj. 怀疑的；怀疑论的，不可知论的
sperm,n. 精子；精液；鲸蜡油
storage,n. 存储；仓库；贮藏所
substitute,"n. 代用品；代替者
vi. 替代
vt. 代替"
suspension,n. 悬浮；暂停；停职
tissue,"n. 组织；纸巾；薄纱；一套
vt. 饰以薄纱；用化妆纸揩去"
be off one's rocker,
be short of, 缺少；缺乏；短缺
dispose of,"na. 安排；解决；办妥；杀掉
 处理；除掉；处置"
equate ... with ...,
hold somebody in high regard,
hold something in high regard,
in ... condition,
bald,"adj. 秃顶的；光秃的；单调的；无装饰的
vi. 变秃"
bard,n. 吟游诗人
breathlessly,adv. 气喘地；屏息地
brogue,n. 粗革皮鞋；拷花皮鞋；土腔（指爱尔兰口音的英语）
bug,"n. 臭虫，小虫；故障；窃听器
vt. 烦扰，打扰；装窃听器
vi. 装置窃听器；打扰"
clout,"n. 破布；敲打；影响力；势力
vt. 给…打补钉；猛击"
commentary,n. 评论；注释；评注；说明
flunk,"n. 不及格；失败
vt. 使…不及格
vi. 失败；放弃；考试不及格"
fumble,"n. 摸索；笨拙的处理；漏球
vi. 摸索；笨拙地行动；漏球
vt. 摸索；笨拙地做；漏接"
gravely,adv. 严重地；严肃地；严峻地；沉重地
hardware,n. 计算机硬件；五金器具
idiom,n. 成语，习语；土话
illustrious,adj. 著名的，杰出的；辉煌的
indignantly,adv. 愤怒地；愤慨地
instructor,n. 指导书；教员；指导者
memento,n. 纪念品，引起回忆的东西
mercy,n. 仁慈，宽容；怜悯；幸运；善行
mumble,"vt. 含糊地说；抿着嘴嚼
vi. 含糊地说话
n. 含糊的话；咕噜"
mustache,n. 胡子，髭
pasteboard,"n. 纸板；纸牌；厚纸
adj. 纸板做的"
physicist,n. 物理学家；唯物论者
