enable,vt. 使能够，使成为可能；授予权利或方法
deal with,"na. 办理；对待；与…交涉；与…交易
 处理；对付；应付"
better than, 好于；不比；优于
abandon,"n. 放任；狂热
vt. 遗弃；放弃"
give up,"na. 放弃；断绝；投降；自首
 停止；抛弃；认输"
quit,"n. 离开； 退出
vt. 离开；放弃；停止；使…解除
adj. 摆脱了…的；已经了结的
vi. 离开；辞职；停止"
accelerate,"vt. 使……加快；使……增速
vi. 加速；促进；增加"
speed up,"na. 加快(机器等的)速度；使加紧做
 加速；加快速度；增加速度"
step up,"v. 加紧；走上前；登上；增加
 舞出我人生；提高；舞出真我"
pick up,"v. 拾起；探出；重新开始
 捡起；拿起；学会"
account for,"na. 证明；由于；说明(银钱等的)用途；打死
 解释；占；说明…的原因"
explain,v. 说明；解释
accumulate,"vt. 积攒
vi. 累积；积聚"
collect,"vt. 收集；募捐
adj. 由收件人付款的
vi. 收集；聚集；募捐
adv. 由收件人付款地"
gather,"n. 聚集；衣褶；收获量
vt. 收集；收割；使…聚集；使…皱起
vi. 聚集；化脓；皱起"
adhere to,"v. 坚持；依附
 遵守；附着；粘着"
follow,"n. 跟随；追随
vi. 跟随；接着
vt. 跟随；遵循；追求；密切注意，注视；注意；倾听"
admit,"vi. 承认；容许
vt. 承认；准许进入；可容纳"
acknowledge,vt. 承认；答谢；报偿；告知已收到
advocate,"n. 提倡者；支持者；律师
vt. 提倡，主张，拥护"
support,"n. 支持，维持；支援，供养；支持者，支撑物
vt. 支持，支撑，支援；扶持，帮助；赡养，供养"
alleviate,vt. 减轻，缓和
ease,"n. 轻松，舒适；安逸，悠闲
vt. 减轻，缓和；使安心
vi. 减轻，缓和；放松；灵活地移动"
relieve,vt. 解除，减轻；使不单调乏味；换…的班；解围；使放心
lessen,"vt. 使…变小；使…减轻；使…变少
vi. 减少；减轻；变小"
allocate,"vt. 分配；拨出；使坐落于
vi. 分配；指定"
give,"n. 弹性；弯曲；伸展性
vi. 捐赠；面向；有弹性；气候转暖
vt. 给；产生；让步；举办；授予"
assign,"vt. 分配；指派； 赋值
vi. 将财产过户（尤指过户给债权人）"
distribute,vt. 分配；散布；分开；把…分类
allow,"vi. 容许；考虑
vt. 允许；给予；认可"
permit,"n. 许可证，执照
vt. 许可；允许
vi. 许可；允许"
alter,"vt. 改变，更改
vi. 改变；修改"
vary,"vi. 变化；变异；违反
vt. 改变；使多样化；变奏"
change,"n. 变化；找回的零钱
vt. 改变；交换
vi. 改变；兑换"
annoy,"n. 烦恼（等于annoyance）
vt. 骚扰；惹恼；打搅
vi. 惹恼；令人讨厌；打搅"
irritate,"vt. 刺激，使兴奋；激怒
vi. 引起恼怒，引起不愉快"
appeal to,"v. 求助于；引起N
 呼吁；吸引；上诉"
tempt,vt. 诱惑；引起；冒…的风险；使感兴趣
attract,"vt. 吸引；引起
vi. 吸引；有吸引力"
fascinate,"vt. 使着迷，使神魂颠倒
vi. 入迷"
assume,"vt. 僭取；篡夺；夺取；擅用；侵占
vi. 假定；设想；承担；采取"
suppose,"conj. 假使…结果会怎样
vt. 假设；认为；让（虚拟语气）；推想
vi. 猜想；料想"
guess,"n. 猜测；推测
vi. 猜；推测；猜中
vt. 猜测；认为；推测；猜中
n. 盖尔斯（美国服装品牌）"
believe,"vi. 信任；料想；笃信宗教
vt. 相信；认为；信任"
think,"n. 想；想法
adj. 思想的
vi. 想；认为
vt. 想；认为；想起；想像；打算"
die out,"na. 死绝
 灭绝；消失；逐渐消失"
call for,"na. 呼吁；主张；需要；接(某人)
 要求；提倡；号召"
ask,"vt. 问，询问；要求；需要；邀请；讨价
vi. 问，询问；要求"
require,vt. 需要；要求；命令
request,"n. 请求；需要
vt. 要求，请求"
demand,"n.  需求；要求；需要
vt. 要求；需要；查询
vi. 需要；请求；查问"
insist on,"v. 坚持；强调
 坚决要求；坚持要；坚持认为"
call off,"na. 命令停止；丢手；取消(婚约)；点(名)
 放弃；叫走，叫开；转移开"
cancel,"vi. 取消，撤销
vt. 取消；删去
vi. 取消；相互抵消
n. 取消，撤销"
call sb. up,"na. 传；动员；打电话给；呼唤
 召集；使想起；召唤"
cater for,"un. 备办食物:；凑合
 迎合；投合；满足"
meet,"vt. 满足；遇见；对付
vi. 相遇；接触
n. 集会
adj. 合适的；适宜的"
satisfy,"vi. 令人满意；令人满足
vt. 满足；说服，使相信；使满意，使高兴"
circulate,"vt. 使循环；使流通；使传播
vi. 传播，流传；循环；流通"
spread,"n. 传播；伸展
adj. 伸展的
vt. 传播，散布；展开；伸展；铺开
vi. 传播；伸展"
collaborate,vi. 合作；勾结，通敌
cooperate,vi. 合作，配合；协力
come across,"na. 尽(义务)；发现；碰见；(穿过…)来到
 遇见；偶然遇见；碰到"
run into,"na. 冲进；(河)注入(海)；撞上；到达
 偶遇；跑进；陷入"
compel,vt. 强迫，迫使；强使发生
force,"n. 力量；武力；军队；魄力
vt. 促使，推动；强迫；强加"
complete,"adj. 完整的；完全的；彻底的
vt. 完成"
finish,"n. 结束；完美；回味（葡萄酒）
vt. 完成；结束；用完
vi. 结束，终止；终结"
accomplish,vt. 完成；实现；达到
fulfill,vt. 履行；实现；满足；使结束（等于fulfil）
comply with,"v. 遵守
 遵从；依从；服从"
abide by,"na. 坚持；服从
 遵守；信守；遵循"
observe,"vt. 庆祝
vt. 观察；遵守；说；注意到；评论
vi. 观察；说；注意到；评论"
stick to,"na. 忠于
 坚持；粘住；遵守"
consolidate,"vt. 巩固，使固定；联合
vi. 巩固，加强"
strengthen,"vt. 加强；巩固
vi. 变强；变坚挺"
contaminate,vt. 污染，弄脏
pollute,vt. 污染；玷污；败坏
stain,"n. 污点；瑕疵；着色剂
vt. 沾污；败坏；给…着色
vi. 污染；被沾污；被染污"
contend,"vi. 竞争；奋斗；斗争；争论
vt. 主张；为...斗争"
compete,vi. 竞争；比赛；对抗
convert,"n. 皈依者；改变宗教信仰者
vt. 使转变；转换…；使…改变信仰
vi. 转变，变换；皈依；改变信仰"
cope with,"v. 对付；应付
 处理；应对；解决"
handle,"n.  把手；柄；手感；口实
vt. 处理；操作；运用；买卖；触摸
vi. 搬运；易于操纵"
deal with,"na. 办理；对待；与…交涉；与…交易
 处理；对付；应付"
criticize,"vi. 批评；评论；苛求
vt. 批评；评论；非难"
blame,"n. 责备；责任；过失
vt. 责备；归咎于"
deceive,v. 欺骗；行骗
cheat,"n. 欺骗，作弊；骗子
vt. 欺骗；骗取
vi. 欺骗；作弊"
decide,"vi. 决定，下决心
vt. 决定；解决；判决"
determine,"v. （使）下决心，（使）做出决定
vt. 决定，确定；判定，判决；限定
vi. 确定；决定；判决，终止；了结，终止，结束"
make up one's mind,"na. 决心 (to do)
 下决心；下定决心；决定"
decrease,"n. 减少，减小；减少量
vt. 减少，减小
vi. 减少，减小"
reduce,"vi. 减少；缩小；归纳为
vt. 减少；降低；使处于；把…分解"
cut down on,"un. 削减；节省；减轻
 减少；继续，保持；振作"
defer,"vt. 使推迟；使延期
vi. 推迟；延期；服从"
postpone,"vt. 使…延期；把…放在次要地位；把…放在后面
vi. 延缓，延迟；延缓发作"
put off,"na. 延期；辩解
 推迟；拖延；推延"
delay,"n. 延期；耽搁；被耽搁或推迟的时间
vt. 延期；耽搁
vi. 延期；耽搁"
depict,vt. 描述；描画
describe,vt. 描述，形容；描绘
destroy,vt. 破坏；消灭；毁坏
ruin,"n. 废墟；毁坏；灭亡
vt. 毁灭；使破产
vi. 破产；堕落；被毁灭"
discriminate,"vi. 区别；辨别
vt. 歧视；区别；辨别"
distinguish,"vi. 区别，区分；辨别
vt. 区分；辨别；使杰出，使表现突出"
discuss,vt. 讨论；论述，辩论
debate,"n. 辩论；辩论会
vt. 辩论，争论，讨论
vi. 辩论，争论，讨论"
talk,"n. 谈话；演讲；空谈
vi. 谈话；说闲话
vt. 说；谈话；讨论"
duplicate,"n. 副本；复制品
adj. 复制的；二重的
vt. 复制；使加倍
vi. 复制；重复"
copy,"n. 副本；一册；摹仿
vt. 复制；复印；抄袭
vi. 复制；复印；抄袭"
reproduce,"vt. 复制；再生；生殖；使…在脑海中重现
vi. 复制；繁殖"
dwell,vi. 居住；存在于；细想某事
live,"adj. 活的；生动的；实况转播的；精力充沛的
vt. 经历；度过
vi. 活；居住；生存"
elevate,vt. 提升；举起；振奋情绪等；提升…的职位
lift,"vt. 举起；提升；鼓舞；空运；抄袭
vi. 消散；升起；耸立
n. 电梯；举起；起重机；搭车"
endeavor,"n. 努力；尽力（等于endeavour）
vi. 努力；尽力（等于endeavour）
vt. 努力；尽力（等于endeavour）"
try,"n. 尝试；努力；试验
vt. 试图，努力；试验；审判；考验
vi. 尝试；努力；试验"
attempt,"n. 企图，试图；攻击
vt. 企图，试图；尝试"
endorse,vt. 背书；认可；签署；赞同；在背面签名
approve,"vi. 批准；赞成；满意
vt. 批准；赞成；为…提供证据"
evoke,vt. 引起，唤起；博得
call forth,"na. 唤起
 引起；振作起，鼓起；激发"
exhibit,"n. 展览品；证据；展示会
vt. 展览；显示；提出（证据等）
vi. 展出；开展览会"
show,"n. 显示；表演；炫耀
vt. 显示；说明；演出；展出
vi. 显示；说明；指示"
display,"n. 显示；炫耀
vt. 显示；表现；陈列
adj. 展览的；陈列用的
vi.  作炫耀行为"
expire,"vi. 期满；终止；死亡；呼气
vt. 呼出（空气）"
end,"n. 结束；目标；尽头；末端；死亡
vi. 结束，终止；终结
vt. 结束，终止；终结"
facilitate,vt. 促进；帮助；使容易
help,"n. 帮助；补救办法；帮忙者；有益的东西
vt. 帮助；促进；治疗；补救
vi. 帮助；有用；招待"
assist,"n. 帮助；助攻
vi. 参加；出席
vt. 帮助；促进"
fire,"n. 火；火灾；炮火；炉火；热情；激情；磨难
vt. 点燃；解雇；开除；使发光；烧制；激动；放枪
vi. 着火；射击；开枪；激动；烧火"
dismiss,"vt. 解散；解雇；开除；让...离开；不予理会、不予考虑
vi. 解散"
send away,"na. 撵走；开除；解雇；把…送到远处
 赶走；送走；打发走"
foster,"vt. 培养；养育，抚育；抱（希望等）
adj. 收养的，养育的"
cultivate,vt. 培养；陶冶；耕作
furnish,vt. 提供；供应；装备
render,"n. 打底；交纳；粉刷
vt. 致使；提出；实施；着色；以…回报
vi. 给予补偿"
supply,"n. 供给，补给；供应品
vt. 供给，提供；补充
vi. 供给；替代"
gaze at,"v. 凝视；注视
 盯着；盯住；审视"
look at,"na. 看；考虑
 看着；注视；瞧"
stare at,"na. 瞪着看
 凝视；盯着；盯着看"
grasp,"n. 抓住；理解；控制
vi. 抓
vt. 抓住；领会"
catch hold of,"na. 抓住；乘机抓住(对方的失言)；掌握
 捉住；紧紧抓住"
horrify,vt. 使恐惧；惊骇；使极度厌恶
terrify,vt. 恐吓；使恐怖；使害怕
scare,"n. 恐慌；惊吓；惊恐
vt. 惊吓；把…吓跑
adj. （美）骇人的
vi. 受惊"
indicate,vt. 表明；指出；预示；象征
imply,vt. 意味；暗示；隐含
induce,vt. 诱导；引起；引诱；感应
instruct,vt. 指导；通知；命令；教授
teach,"vt. 教；教授；教导
vi. 教授；讲授；当老师"
investigate,v. 调查；研究
explore,"vi. 探索；探测；探险
vt. 探索；探测；探险"
involve,vt. 包含；牵涉；使陷于；潜心于
include,vt. 包含，包括
link,"n.  链环，环节；联系，关系
vt. 连接，连结；联合，结合
vi. 连接起来；联系在一起；将人或物连接或联系起来"
connect,"vt. 连接；联合；关连
vi. 连接，连结；联合"
look after,"na. 照看；照顾；看管；对…负责
 照料；照管；目送"
take care of,"na. 照看；处理；清除
 照顾；照料；爱护"
care for,"v. 照顾；关心；喜欢
 照料；关怀；照管"
look forward to,"na. 盼望
 期待；期望；期盼"
expect,"vi. 期待；预期
vt. 期望；指望；认为；预料"
look up to,"v. 尊敬；另眼看待；向…一举一动看齐
 敬仰；仰望；尊重"
respect,"n. 尊敬，尊重；方面；敬意
vt. 尊敬，尊重；遵守"
manifest,"vt. 证明，表明；显示
vi. 显示，出现
n. 载货单，货单；旅客名单
adj. 显然的，明显的；明白的"
appear,vi. 出现；显得；似乎；出庭；登场
manufacture,"n. 制造；产品；制造业
vt. 制造；加工；捏造
vi. 制造"
make,"vt. 使得；进行；布置，准备，整理；制造；认为；获得；形成；安排；引起；构成
vi. 开始；前进；增大；被制造
n. 制造；构造；性情"
produce,"n. 农产品，产品
vt. 生产；引起；创作；生育，繁殖
vi. 生产，创作"
turn out,v. （以某种方式）发生；最后是；结果是 （尤指天气突然）变得（晴好） 原来是；结果发现 出席;参加;前去观看关掉，熄灭（电灯、煤气等） 出席;参加;前去观看生产；制造 （尤指把某人从其长期居住处）撵走，赶出，逐出 翻出；倒出 出席；参加；前去观看
merge,"vt. 合并；使合并；吞没
vi. 合并；融合"
unite,"vi. 团结；联合；混合
vt. 使…混合；使…联合；使…团结"
combine,"n. 联合收割机；联合企业
vt. 使化合；使联合，使结合
vi. 联合，结合；化合"
join,"vt. 参加；结合；连接
vi. 加入；参加；结合
n. 结合；连接；接合点"
mock,"n. 英国模拟考试（mocks）
vt. 愚弄，嘲弄
adj. 仿制的，模拟的，虚假的，不诚实的
vt. 不尊重，蔑视"
laugh at,"na. 嘲笑；付之一笑；因…而发笑
 因……而发笑；取笑；因…而笑"
modify,"vt. 修改，修饰；更改
vi. 修改"
obtain,"vi. 获得；流行
vt. 获得"
get,"n. 生殖；幼兽
vi. 成为；变得；到达
vt. 使得；获得；受到；变成"
gain,"n. 增加；利润；收获
vi. 增加；获利
vt. 获得；增加；赚到"
overtake,"vt. 赶上；压倒；突然来袭
vi. 超车"
catch up with,"v. 赶上
 追上；赶上某人；跟上"
participate in,"v. 参加；分享
 参与；参加某事；参加例句"
take part in,"na. 参加；贡献
 参与；参加活动；参与…活动"
be involved in,"na. 被包入；被卷入漩涡
 参与；涉及；介入"
persevere,vi. 坚持；不屈不挠；固执己见（在辩论中）
persist,"vi. 存留，坚持；持续，固执
vt. 坚持说，反复说"
probe,"n. 探针；调查
vi. 调查；探测
vt. 探查；用探针探测"
prohibit,vt. 阻止，禁止
forbid,vt. 禁止；不准；不允许；严禁
ban,"n. 禁令，禁忌
vt. 禁止，取缔"
propose,"vi. 建议；求婚；打算
vt. 建议；打算，计划；求婚"
suggest,vt. 提议，建议；启发；使人想起；显示；暗示
advise,"vt. 建议；劝告，忠告；通知；警告
vi. 建议；与…商量"
recommend,"vt. 推荐，介绍；劝告；使受欢迎；托付
vi. 推荐；建议"
protect,vt. 保护，防卫；警戒
preserve,"n. 保护区；禁猎地；加工成的食品
vt. 保存；保护；维持；腌；禁猎"
raise,"n. 高地；上升；加薪
vt. 提高；筹集；养育；升起
vi. 上升"
increase,"n. 增加，增长；提高
vt. 增加，加大
vi. 增加，增大；繁殖"
realize,vt. 实现；认识到；了解；将某物卖得，把(证券等)变成现钱；变卖
know,"vt. 知道；认识；懂得
vi. 了解；熟悉；确信"
be aware of,"na. 知道
 意识到；觉察；了解"
be conscious of,"na. 意识到
 察觉；知道；觉察"
reject,"n. 被弃之物或人；次品
vt. 拒绝；排斥；抵制；丢弃"
refuse,"n. 垃圾；废物
vi. 拒绝
vt. 拒绝；不愿；抵制"
decline,"n. 下降；衰退；斜面
vt. 谢绝；婉拒
vi. 下降；衰落；谢绝"
turn down,"na. 翻下(衣领等)；扭小(灯火等)拒绝考虑；拒绝(某人)
 关小；调低；驳回"
remedy,"n. 补救；治疗；赔偿
vt. 补救；治疗；纠正"
cure,"n. 治疗；治愈； 疗法
vt. 治疗；治愈；使硫化；加工处理
vi. 治病；痊愈；受治疗；被硫化；被加工处理"
treat,"n. 请客；款待
vi. 探讨；请客；协商
vt. 治疗；对待；探讨；视为"
remember,"vi. 记得，记起
vt. 记得；牢记；纪念；代…问好"
memorize,vt. 记住，背熟；记忆
result in,"na. 终于(失败)
 导致；结果是；造成"
cause,"n. 原因；事业；目标
vt. 引起；使遭受"
bring about,"na. 造成；带来；(使船)回转
 引起；导致；产生"
lead to,"na. 通向
 导致；引起；通往"
seek for,"na. 求；寻求；探究
 寻找；追求；企求"
look for,"v. 寻找；探索；渴望；盼望
 期待；找寻；查找"
settle,"n. 有背长椅
vi. 解决；定居；沉淀；下陷
vt. 解决；安排；使…定居"
solve,"vt. 解决；解答；溶解
vi. 作解答"
sketch,"n. 素描；略图；梗概
vt. 画素描或速写
vi. 画素描或速写"
outline,"n. 轮廓；大纲；概要；略图
vt. 概述；略述；描画…轮廓"
span,"n. 跨度，跨距；范围
vt. 跨越；持续；以手指测量"
last,"n. 末尾，最后；上个；鞋楦（做鞋的模型）
adj. 最后的；最近的，最新的；仅剩的；最不可能…的
vi. 持续；维持，够用；持久
vt. 度过，拖过；使维持
adv. 最后地；上次，最近；最后一点"
spur,"n. 鼓舞，刺激；马刺；山坡
vt. 激励，鞭策；给…装踢马刺
vi. 骑马疾驰；给予刺激"
inspire,vt. 激发；鼓舞；启示；产生；使生灵感
encourage,vt. 鼓励，怂恿；激励；支持
push,"n. 推，决心；大规模攻势；矢志的追求
vi. 推进；增加；努力争取
vt. 推动，增加；对…施加压力，逼迫；按；说服"
state,"n. 国家；州；情形
adj. 国家的；州的；正式的
vt. 规定；声明；陈述"
declare,"vt. 宣布，声明；断言，宣称
vi. 声明，宣布"
announce,"vt. 宣布；述说；预示；播报
vi. 宣布参加竞选；当播音员"
sympathize,vi. 同情，怜悯；支持
take into account,"na. 考虑
 把…考虑进去；考虑到；顾及"
take into consideration,"v. 顾及
 考虑到；把……考虑进去；予以考虑"
tease,"vt. 取笑；戏弄；梳理；欺负；强求；使起毛
n. 戏弄；爱纠缠的小孩；挑逗者；卖弄风骚的女孩
vi. 取笑"
make fun of,"na. 嘲弄
 取笑；嘲笑；开玩笑"
tolerate,vt. 忍受；默许；宽恕
bear,"n. 熊
vt. 结果实，开花（正式）
vt. 忍受；承受；具有；支撑"
stand,"n. 站立；立场；看台；停止
vi. 站立；位于；停滞
vt. 使站立；忍受；抵抗"
put up with,"na. 忍住
 忍受；容忍；忍耐"
endure,"vt. 忍耐；容忍
vi. 忍耐；持续"
update,"n. 更新；现代化
vt. 更新；校正，修正；使现代化"
modernize,"vt. 使…现代化
vi. 现代化"
urge,"n. 强烈的欲望，迫切要求；推动力
vi. 强烈要求
vt. 力劝，催促；驱策，推进"
vanish,"n. 弱化音
vi. 消失；突然不见；成为零
vt. 使不见，使消失"
disappear,"vi. 消失；失踪；不复存在
vt. 使…不存在；使…消失"
wreck,"n. 破坏；失事；残骸；失去健康的人
vt. 破坏；使失事；拆毁
vi. 失事；营救失事船只"
damage,"vi. 损害；损毁
vt. 损害，毁坏
n. 损害；损毁；赔偿金"
write down,"na. 记下来；贬低；减低账面价值；把…拨作公积金
 写下；写下来；减记"
put down,"na. 平定；贬低(的话)；(飞机的)降落
 放下；镇压；记下"
absurd,"n. 荒诞；荒诞作品
adj. 荒谬的；可笑的"
stupid,"n. 傻瓜，笨蛋
adj. 愚蠢的；麻木的；乏味的"
ridiculous,adj. 可笑的；荒谬的
foolish,adj. 愚蠢的；傻的
acute,adj. 严重的， 急性的；敏锐的；激烈的；尖声的
severe,adj. 严峻的；严厉的；剧烈的；苛刻的
sharp,"n. 尖头；骗子；内行
adj. 急剧的；锋利的；强烈的；敏捷的；刺耳的
vt. 磨快；把音调升高
adv. 急剧地；锐利地；突然地
vi. 打扮；升音演奏"
adverse,adj. 不利的；相反的；敌对的（名词adverseness，副词adversely）
unfavorable,adj. 不宜的；令人不快的；不顺利的
annoying,"v. 骚扰（annoy的ing形式）
adj. 讨厌的；恼人的"
irritating,"adj. 刺激的；气人的；使愤怒的
v. 刺激（irritate的ing形式）；激怒"
appealing,"v. 恳求（appeal的ing形式）；将…上诉
adj. 吸引人的；动人的；引起兴趣的；恳求似的"
attractive,adj. 吸引人的；有魅力的；引人注目的
fascinating,"adj. 迷人的；吸引人的；使人神魂颠倒的
v. 使…着迷；使…陶醉（fascinate的ing形式）"
be characteristic of,"na. …所独有的特征
 有……的特色；是…的特征；为…所特有"
be typical of,"v. 代表；象征
 是…的特点；典型的；有代表性的"
boring,"n. 钻孔
adj. 无聊的；令人厌烦的
v. 钻孔；使厌烦；挖空（bore的ing形式）"
dull,"adj. 钝的；迟钝的；无趣的；呆滞的；阴暗的
vt. 使迟钝；使阴暗；缓和
vi. 减少；变迟钝"
uninteresting,adj. 无趣味的，乏味的；令人厌倦的
childish,adj. 幼稚的，孩子气的
immature,adj. 不成熟的；未成熟的；粗糙的
competent,adj. 胜任的；有能力的；能干的；足够的
capable,adj. 能干的，能胜任的；有才华的
complicated,adj. 难懂的，复杂的
complex,"n. 复合体；综合设施
adj. 复杂的；合成的"
intricate,adj. 复杂的；错综的，缠结的
comprehend,vt. 理解；包含；由…组成
understand,"vi. 理解；懂得；熟悉
vt. 理解；懂；获悉；推断；省略"
concise,adj. 简明的，简洁的
brief,"n. 摘要，简报；概要，诉书
adj. 简短的，简洁的；短暂的，草率的
vt. 简报，摘要；作…的提要"
short,"n. 短；缺乏；短路；短裤
adj. 短的；不足的；矮的，低的
adv. 不足；突然；唐突地"
confidential,adj. 机密的；表示信任的；获信任的
secret,"n. 秘密；秘诀；机密
adj. 秘密的；机密的"
contented,"v. 使…满足；使…安心（content的过去式和过去分词）
adj. 满足的；心安的"
satisfied,"v. 使满意（satisfy的过去式）
adj. 感到满意的"
convincing,"v. 使相信；使明白（convince的现在分词）
adj. 令人信服的；有说服力的"
believable,adj. 可信的
credible,adj. 可靠的，可信的
courteous,adj. 有礼貌的；谦恭的
polite,adj. 有礼貌的，客气的；文雅的；上流的；优雅的
respectful,adj. 恭敬的；有礼貌的
crucial,adj. 重要的；决定性的；定局的；决断的
important,adj. 重要的，重大的；有地位的；有权力的
essential,"n. 本质；要素；要点；必需品
adj. 基本的；必要的；本质的；精华的"
deficient,adj. 不足的；有缺陷的；不充分的
inadequate,adj. 不充分的，不适当的
delighted,"adj. 高兴的；欣喜的
v. 使…兴高采烈；感到快乐（delight的过去分词）"
joyful,adj. 欢喜的；令人高兴的
happy,adj. 幸福的；高兴的；巧妙的
glad,"adj. 高兴的；乐意的；令人高兴的；灿烂美丽的
vt. 使高兴"
pleased,"adj. 高兴的；喜欢的；乐意做某事
v. 满意；愿意（please的过去分词形式）"
diligent,adj. 勤勉的；用功的，费尽心血的
hardworking,"adj. 努力工作的；不辞辛劳的，苦干的
v. 努力工作（hardwork的ing形式）"
industrious,adj. 勤勉的
eligible,"n. 合格者；适任者；有资格者
adj. 合格的，合适的；符合条件的；有资格当选的"
entitled,"v. 给…权利；给…定书名；授…以荣誉（entitle的过去分词）
adj. 有资格的；给与名称的"
qualified,"v. 限制（qualify的过去分词）；描述；授权予
adj. 合格的；有资格的"
eternal,adj. 永恒的；不朽的
everlasting,adj. 永恒的；接连不断的
exceptional,"n. 超常的学生
adj. 异常的，例外的"
extraordinary,adj. 非凡的；特别的；离奇的；临时的；特派的
special,"n. 特使，特派人员；特刊；特色菜；专车；特价商品
adj. 特别的；专门的，专用的"
unusual,adj. 不寻常的；与众不同的；不平常的
exhausted,"v. 耗尽；用尽；使…精疲力尽（exhaust的过去式）
adj. 疲惫的；耗尽的"
weary,"adj. 疲倦的；厌烦的；令人厌烦的
vt. 使疲倦；使厌烦
vi. 疲倦；厌烦"
tired,"v. 疲倦；对…腻烦（tire的过去分词形式）
adj. 疲倦的；厌倦的，厌烦的"
worn out,"adj. 破烂不堪的；废旧的；疲惫不堪；精疲力竭
 破旧不堪的；破旧的；磨损"
exotic,adj. 异国的；外来的；异国情调的
fundamental,"n. 基本原理；基本原则
adj. 基本的，根本的"
elementary,adj. 基本的；初级的； 元素的
basic,"n. 基础；要素
adj. 基本的；基础的"
primary,"n. 原色；最主要者
adj. 主要的；初级的；基本的"
graceful,adj. 优雅的；优美的
immense,adj. 巨大的，广大的；无边无际的；非常好的
enormous,adj. 庞大的，巨大的；凶暴的，极恶的
great,"n. 大师；大人物；伟人们
adj. 伟大的，重大的；极好的，好的；主要的"
indispensable,"n. 不可缺少之物；必不可少的人
adj. 不可缺少的；绝对必要的；责无旁贷的"
necessary,"adj. 必要的；必需的；必然的
n. 必需品"
insane,adj. 疯狂的；精神病的；极愚蠢的
crazy,adj. 疯狂的；狂热的，着迷的
mad,"adj. 疯狂的；发疯的；愚蠢的；着迷的
n. 狂怒"
intelligent,adj. 智能的；聪明的；理解力强的
clever,"adj. 聪明的；机灵的；熟练的
"
wise,"adj. 明智的；聪明的；博学的
vt. 使知道；教导
vi. 了解"
bright,"n. 车头灯光
adj. 明亮的，鲜明的；聪明的；愉快的
adv. 明亮地；光明地；欢快地"
intimate,"n. 知己；至交
adj. 亲密的；私人的；精通的；有性关系的
vt. 暗示；通知；宣布"
close,"n. 结束
adj. 紧密的；亲密的；亲近的
vt. 关；结束；使靠近
vi. 关；结束；关闭
adv. 紧密地"
friendly,"adj. 友好的；亲切的；支持的；融洽的，和睦的
adv. 友善地；温和地"
legal,adj. 法律的；合法的；法定的；依照法律的
lawful,adj. 合法的；法定的；法律许可的
massive,adj. 大量的；巨大的，厚重的；魁伟的
extensive,adj. 广泛的；大量的；广阔的
plentiful,adj. 丰富的；许多的；丰饶的；众多的
numerous,adj. 许多的，很多的
a number of,"na. 若干；=numbers of 许多的
 一些；大量的；很多"
abundant,adj. 丰富的；充裕的；盛产
obscure,"adj. 昏暗的，朦胧的；晦涩的，不清楚的；隐蔽的；不著名的，无名的
vt. 使…模糊不清，掩盖；隐藏；使难理解
n. 某种模糊的或不清楚的东西"
vague,adj. 模糊的；含糊的；不明确的；暧昧的
dim,"n. 笨蛋，傻子
adj. 暗淡的，昏暗的；模糊的，看不清的；悲观的，怀疑的
vt. 使暗淡，使失去光泽；使变模糊
vi. 变模糊，变暗淡"
faint,"n.  昏厥，昏倒
adj. 模糊的；头晕的；虚弱的； 衰弱的
vi. 昏倒；变得微弱；变得没气力"
original,"n. 原件；原作；原物；原型
adj. 原始的；最初的；独创的；新颖的"
creative,adj. 创造性的
orthodox,"adj. 正统的；传统的；惯常的；东正教的
n. 正统的人；正统的事物"
conventional,adj. 符合习俗的，传统的；常见的；惯例的
perpetual,adj. 永久的；不断的；四季开花的；无期限的
endless,adj. 无止境的；连续的；环状的；漫无目的的
pleasing,"v. 取悦（please的现在分词）
adj. 令人愉快的；讨人喜欢的；合意的"
satisfactory,adj. 满意的；符合要求的；赎罪的
precise,adj. 精确的；明确的；严格的
accurate,adj. 精确的
exact,"adj. 准确的，精密的；精确的
vt. 要求；强求；急需
vi. 勒索钱财"
pressing,"n. 压；冲压件
v. 压；按；熨烫衣物（press的ing形式）
adj. 紧迫的；迫切的；恳切的"
urgent,adj. 紧急的；急迫的
previous,"adj. 以前的；早先的；过早的
adv. 在先；在…以前"
former,"n. 模型，样板；起形成作用的人
adj. 从前的，前者的；前任的"
principal,"adj. 主要的；资本的
n. 首长；校长；资本；当事人"
chief,"n. 首领；酋长；主要部分
adj. 首席的；主要的；主任的
adv. 主要地；首要地"
leading,"adj. 领导的；主要的
n. 领导；铅板；行距
v. 领导（lead的ing形式）"
main,"n. 主要部分，要点；体力；总管道
adj. 主要的，最重要的；全力的"
private,"n. 列兵；二等兵
adj. 私人的；私有的；私下的"
personal,"n. 人事消息栏；人称代名词
adj. 个人的；身体的；亲自的"
remarkable,adj. 卓越的；非凡的；值得注意的
marvelous,adj. 了不起的；非凡的；令人惊异的；不平常的
striking,"v. 打（strike的ing形式）
adj. 显著的，突出的，惊人的；打击的；罢工的"
rigid,adj. 严格的；僵硬的，死板的；坚硬的；精确的
inflexible,adj. 顽固的；不可弯曲的；不屈挠的；不能转变的
sensible,"n. 可感觉到的东西; 敏感的人;
adj. 明智的; 通情达理的; 合乎情理的; 意识到的，能感觉到的;"
advisable,adj. 明智的，可取的，适当的
