education,n. 教育；培养；教育学
merry,"adj. 愉快的；微醉的；嬉戏作乐的
n. 甜樱桃"
exchange,"n. 交换；交流；交易所；兑换
vt. 交换；交易；兑换
vi. 交换；交易；兑换"
original,"n. 原件；原作；原物；原型
adj. 原始的；最初的；独创的；新颖的"
develop,"vi. 发育；生长；进化；显露
vt. 开发；进步；使成长；使显影"
Dutch,"n. 荷兰人；荷兰语
adj. 荷兰的；荷兰人的；荷兰语的
adv. 费用平摊地；各自付账地"
therefore,adv. 因此；所以
stocking,n. 长袜
according,"adj. 相符的；一致的；相应的；和谐的；调和的
adv. 依照；根据；按照
v. 给予( accord的现在分词 )；使和谐一致；使符合；使适合"
according to,"prep. 根据；按照；据（…所说）；按（…所报道）
 依照；根据…所说；依据"
hopelessly,adv. 绝望地；无望地；无可救药地
slave,"n. 奴隶；从动装置
vi. 苦干；拼命工作"
land,"n. 国土；陆地；地面
vt. 使…登陆；使…陷于；将…卸下
vi. 登陆；到达"
not at all,"na. 毫无(= You are welcome)
 一点也不；不用谢；根本不"
select ... as,
catch on,"na. 流行；受欢迎；理解；懂得
 明白；流行起来；变得流行"
be known as,"na. 通称
 被称为；被称作；被认为是"
hang up,"v. 挂断电话；挂机；悬挂；耽搁
 挂起；把…挂起来；挂电话"
learn about,"v. 得知关于；学习关于
 了解；学习有关…知识；学得"
in debt,"un. 背上了债；负债；欠款
 欠债；欠债，欠情；欠著债"
be about to,"na. 准备
 即将；正打算；将要"
Jesus Christ,"na. 耶稣基督
 耶酥基督；基督耶稣；耶稣基督啊"
Pope Julius, 教皇朱利叶斯；罗马教皇朱立安二世
Germany,n. 德国
Santa Claus,"n. 身着红衣
 圣诞老人；圣诞老公公；圣诞老人的由来"
Father Christmas,"na. 圣诞老人
 圣诞老爸；宗教里对圣诞老人的称法；圣诞老公公"
St. Nicholas, 圣尼古拉斯；圣尼格老；圣者圣尼古拉斯
Sinter Klaas,
campus,n. （大学）校园；大学，大学生活；校园内的草地
bond,"n. 债券；结合；约定；粘合剂；纽带
vt. 使结合；以…作保
vi. 结合，团结在一起"
temporary,"n. 临时工，临时雇员
adj. 暂时的，临时的"
immediate,adj. 立即的；直接的；最接近的
circle,"n. 循环，周期；圆；圈子；圆形物
vt. 画圆圈；环绕…移动
vi. 盘旋，旋转；环行"
community,n. 社区； 群落；共同体；团体
share,"n. 份额；股份
vt. 分享，分担；分配
vi. 共享；分担"
yell,"n. 喊声，叫声
vi. 大叫，叫喊
vt. 喊叫着说"
extracurricular,adj. 课外的；业余的；婚外的
opinion,n. 意见；主张
academic,"n. 大学生，大学教师；学者
adj. 学术的；理论的；学院的"
especially,adv. 特别；尤其；格外
prefer,"vt. 更喜欢；宁愿；提出；提升
vi. 喜欢；愿意"
organization,n. 组织；机构；体制；团体
surround,"n. 围绕物
vt. 围绕；包围
adj. 环绕立体声的"
doorway,n. 门口；途径
create,vt. 创造，创作；造成
semester,n. 学期；半年
hallway,n. 走廊；门厅；玄关
union,n. 联盟，协会；工会；联合
club,"n. 俱乐部，社团；夜总会；棍棒；（扑克牌中的）梅花
adj. 俱乐部的
vt. 用棍棒打；募集
vi. 集资；组成俱乐部"
ultimately,adv. 最后；根本；基本上
It takes time to do something.,
It takes somebody time to do something.,
yell at, 对…吼叫；你给我小心一点；对别人大叫
get involved in,"un. 患病；参加
 卷入；参与；涉及"
as a matter of fact,"na. 事实上；事实是
 实际上；其实；实际情况"
in one's opinion,"na. 据某人意见
 在……看来；在某人看来；就某人看来"
as ... as somebody,
as ... as something,
would prefer it if,
right away,"na. 立刻
 马上；立即；立即，马上"
get in touch with,"na. 和…联系
 与…取得联系；与……联系；和……取得联系"
Facebook,
silence,"n. 沉默；寂静；缄默；不谈；无声状态
vt. 使沉默；使安静；压制；消除噪音
int. 安静！；别作声！"
volunteer,"n. 志愿者；志愿兵
adj. 志愿的
vt. 自愿
vi. 自愿"
allow,"vi. 容许；考虑
vt. 允许；给予；认可"
anyone,pron. 任何人；任何一个
participate,"vi. 参与，参加；分享
vt. 分享；分担
"
backpack,"n. 双肩背包，背包；远足用的背包
vt. 挑运；把…放入背包
vi. 背负简便行李旅行；挑运"
counselor,n. 顾问；法律顾问；参事（等于counsellor）
yoga,"n. 瑜珈（意为“结合”，指修行）；瑜珈术
n. 联想可360°翻转的超轻薄笔记本电脑"
kid,"n. 小孩；小山羊
vt. 欺骗；取笑；戏弄
vi. 欺骗；取笑；戏弄
adj. 小山羊皮制的；较年幼的"
nervous,adj. 神经的；紧张不安的；强健有力的
unclear,adj. 不清楚的；不易了解的
gesture,"n. 姿态；手势
vt. 用动作表示
vi. 作手势；用动作示意"
panic,"n. 恐慌，惊慌；大恐慌
adj. 恐慌的；没有理由的
vt. 使恐慌
vi. 十分惊慌"
impaired,"v. 损害（impair的过去式和过去分词）
adj. 受损的"
throat,"n. 喉咙；嗓子，嗓音；窄路
vt. 开沟于；用喉音说"
disability,n. 残疾；无能；无资格；不利条件
ruin,"n. 废墟；毁坏；灭亡
vt. 毁灭；使破产
vi. 破产；堕落；被毁灭"
gym,n. 健身房；体育；体育馆
silently,adv. 默默地；静静地
aside,"prep. 在…旁边
n. 旁白；私语，悄悄话；离题的话
adv. 离开，撇开；在旁边"
interpreter,n. 解释者；口译者；注释器
conversation,n. 交谈，会话；社交；交往，交际；会谈；（人与计算机的）人机对话
interrupt,"n. 中断
vt. 中断；打断；插嘴；妨碍
vi. 打断；打扰"
movement,n. 运动；活动；运转；乐章
swish,"n. 嗖嗖声；漂亮；搞同性恋的男子
adj. （主英）时髦的；漂亮的；（美俚）搞同性恋的
vt. 鞭打；使作沙沙声
vi. 嗖地挥动；发嗖嗖声"
net,"n. 网；网络；净利；实价
vi. 编网
vt. 得到；净赚；用网捕
adj. 纯粹的；净余的"
barrier,"n. 障碍物，屏障；界线
vt. 把…关入栅栏"
emotion,n. 情感；情绪
hug,"n. 拥抱；紧抱；固执
vi. 拥抱；紧抱在一起；挤在一起
vt. 拥抱；紧抱；抱有，坚持"
make sure,"na. 尽力做到；深信；务必；务请
 确保；查明；确信"
no doubt,"na. 无疑地；很可能
 毫无疑问；必定；不要怀疑合唱团"
show off,"na. 卖弄；自以为是；趾高气扬；炫耀
 出风头；摆谱儿；使显眼"
to someone's surprise,出乎某人意外地，使某人惊奇地
lead by example, 以身作则；榜样；垂范后世
pull aside,把…拉到旁边
sign up,"na. 同“sign”
 注册；报名；签约"
for once,"na. 这一次(特别要)
 就这一次；只有一次；仅此一次"
YMCA,
Young Men's Christian Association,基督教青年会
Nike,n. 耐克（国际著名运动产品公司）；胜利女神； 奈克导弹（地对空导弹的一种）
Jordan,
communicate,"vi. 通讯，传达；相通；交流；感染
vt. 传达；感染；显露"
verbal,"n. 动词的非谓语形式
adj. 口头的；言语的；动词的；照字面的"
aware,adj. 意识到的；知道的；有…方面知识的；懂世故的
eyebrow,"n. 眉毛
v. 为…描眉；用皱眉蹙额迫使"
random,"n. 随意
adj.  随机的；任意的；胡乱的
adv. 胡乱地"
researcher,n. 研究员
system,n. 制度，体制；系统；方法
culture,"n. 文化，文明；修养；栽培
vt.  培养（等于cultivate）"
meaning,"n. 意义；含义；意图
adj. 意味深长的
v. 意味；意思是（mean的ing形式）"
Frenchman,n. 法国人
male,"adj. 男性的；雄性的；有力的
n. 男人；雄性动物"
lower,"vt. 减弱，减少；放下，降下；贬低
vi. 降低；减弱；跌落
adj. 下游的；下级的；下等的"
eyelid,n.  眼睑；眼皮
widen,"vt. 放宽
vi. 变宽"
regional,adj. 地区的；局部的；整个地区的
sex,"n. 性；性别；性行为；色情
vt. 引起…的性欲；区别…的性别"
racial,adj. 种族的；人种的
background,"n. 背景；隐蔽的位置
adj. 背景的；发布背景材料的
vt. 作…的背景"
style,"n. 风格；时尚；类型；字体
vt. 设计；称呼；使合潮流
vi. 设计式样；用刻刀作装饰画"
mayor,n. 市长
Italian,"n. 意大利人；意大利语
adj. 意大利的；意大利文化的；意大利语的"
speech,n. 演讲；讲话； 语音；演说
dub,"n. 笨蛋；鼓声
vt. 配音；轻点；打击；授予称号"
emphasize,vt. 强调，着重
efficiently,adv. 有效地；效率高地（efficient的副词形式）
dislike,"n. 嫌恶，反感，不喜爱
vt. 不喜欢，厌恶"
psychologist,n. 心理学家，心理学者
total,"n. 总数，合计
adj. 全部的；完全的；整个的
vt. 总数达
vi. 合计"
oral,"n. 口试
adj. 口头的，口述的"
facial,"n. 美容，美颜；脸部按摩
adj. 面部的，表面的；脸的，面部用的"
professor,n. 教授；教师；公开表示信仰的人
challenge,"n. 挑战；怀疑
vt. 向…挑战；对…质疑"
authority,n. 权威；权力；当局
entirely,adv. 完全地，彻底地
along with,"na. 与…一道；以外
 与……一起；伴随；和…一起"
end ... with ...,
as well as,"na. 和…一样；…不用说
 也；既…又；和...一样"
finish up,"na. 完成；吃光；用尽；同“finish”
 结束；彻底完成；完成结束"
what is more,"na. 加之
 而且；更重要的是；更有甚者"
and what is more,更重要的是，更有甚者，而且，尤其是；而且；更重要的是；更有甚者
pick out,"na. 挑选；掘出；闻出；领会
 挑出；选出；选出，挑出，拣出"
put across,"na. 使承认；欺骗人；美满完成；堂堂开张
 解释；表达；使人接受"
spell out,"na. 详细说明；正式拼写
 讲清楚；清楚地说明；拼出"
in conversation with, 和……谈话；与……谈话中；与……谈着
Fiorello La Guardia, 菲奥雷洛·亨利·拉瓜迪亚；拉瓜地亚
Yiddish,"n. 意第绪语（中东欧犹太人及其在各国的后裔说的一种从高地德语派生的语言）
adj. 意第绪语的；犹太人的"
Albert Mehrabian,
offend,"vt. 冒犯；使…不愉快
vi. 违反；进攻；引起不舒服"
foreigner,n. 外地人，外国人
upset,"n. 混乱；翻倒；颠覆
adj. 心烦的；混乱的；弄翻的
vt. 使心烦；颠覆；扰乱
vi. 翻倒"
funny,"n. 滑稽人物；笑话，有趣的故事；滑稽连环漫画栏；（英）（比赛用）单人双桨小艇
adj. 有趣的，好笑的，滑稽的；（口）稀奇的，古怪的，奇异的；有病的，不舒服的；狡猾的，欺骗（性）的，可疑的，不光明"
Japanese,"n. 日本人；日语
adj. 日本（人）的；日语的"
passenger,n. 旅客；乘客；过路人；碍手碍脚的人
airport,n. 机场；航空站
luggage,n. 行李；皮箱
trolley,"n. 手推车；（美）有轨电车（等于trolley car）；（英）无轨电车（等于trolleybus）；空中吊运车
vt. 用手推车运
vi. 乘电车"
conclude,"vi. 推断；断定；决定
vt. 推断；决定，作结论；结束"
significant,"n. 象征；有意义的事物
adj. 重大的；有效的；有意义的；值得注意的；意味深长的"
charge,"n. 费用；电荷；掌管；控告；命令；负载
vt. 使充电；使承担；指责；装载；对…索费；向…冲去
vi. 充电；控告；索价；向前冲；记在账上"
meanwhile,"adv. 同时，其间
n. 其间，其时"
Tunisian,"n. 突尼斯人
adj. 突尼斯的；突尼斯人的"
observer,n. 观察者； 观测者；遵守者
worthless,adj. 无价值的；不值钱的；卑微的
thief,n. 小偷，贼
confusion,n. 混淆，混乱；困惑
Sardinian,"n. 撒丁岛人
撒丁语的"
cheerful,adj. 快乐的；愉快的；高兴的
British,"n. 英国人
adj. 英国的；英国人的；大不列颠的"
thumb,"n. 拇指
vt. 翻阅；以拇指拨弄；作搭车手势；笨拙地摆弄
vi. 用拇指翻书页；竖起拇指要求搭车"
immediately,"conj. 一…就
adv. 立即，立刻；直接地"
incidentally,adv. 顺便；偶然地；附带地
hitchhike,"n. 搭便车（旅行）
vt. 要求（搭便车）
vi. 搭便车"
remark,"n. 注意；言辞
vt. 评论；觉察
vi. 谈论"
unfortunately,adv. 不幸地
wine,"n. 酒，葡萄酒；紫红色
vt. 请…喝酒
vi. 喝酒"
Colombian,"n. 哥伦比亚人
adj. 哥伦比亚的"
direct,"adj. 直接的；直系的；亲身的；恰好的
vt. 管理；指挥；导演；指向
adv. 直接地；正好；按直系关系
vi. 指导；指挥"
swallow,"n. 燕子；一次吞咽的量
vt. 忍受；吞没
vi. 吞下；咽下"
horrify,vt. 使恐惧；惊骇；使极度厌恶
Syrian,"n. 叙利亚人；叙利亚语
adj. 叙利亚的；叙利亚语的；叙利亚人的"
opposite,"adj. 相反的；对面的；对立的
n. 对立面；反义词
prep. 在…的对面
adv. 在对面"
hell,"n. 地狱；究竟（作加强语气词）；训斥；黑暗势力
vi. 过放荡生活；飞驰
int. 该死；见鬼（表示惊奇、烦恼、厌恶、恼怒、失望等）"
Greek,"n. 希腊语；希腊人
adj. 希腊的；希腊人的，希腊语的"
difficulty,n. 困难，困境
owner,n.  所有者；物主
calm,"n. 风平浪静
adj. 静的，平静的；沉着的
vt. 使平静；使镇定
vi. 平静下来；镇定下来"
anger,"n. 怒，愤怒；忿怒
vt. 使发怒，激怒；恼火
vi. 发怒；恼火"
instantly,"conj. 一…就…
adv. 立即地；马上地；即刻地"
glance at,"v. 看一下；浏览
 扫视；一瞥；匆匆一瞥"
thanks to,"v. 感谢；幸亏；多亏
 由于；多亏了；归功于"
hold somebody back from doing something,
be careful with,"v. 注意；照顾
 小心；对…小心；小心对待"
Heathrow Airport,"n. 希思罗机场
 伦敦希斯罗机场；伦敦希思罗机场；希斯洛机场"
Sardinia,n. 撒丁岛
cash,"n. 现款，现金
vt. 将…兑现；支付现款"
flight,"n. 飞行；班机；逃走
vt. 射击；使惊飞
vi. 迁徙"
sock,"vt. 重击；给……穿袜
n. 短袜；一击
adv. 正着地；不偏不倚地
adj. 非常成功的"
jeans,n. 牛仔裤；工装裤
burst,"n. 爆发，突发；爆炸
vt. 爆发，突发；爆炸
vi. 爆发，突发；爆炸"
counter,"n. 柜台；对立面；计数器；（某些棋盘游戏的）筹码
vi. 逆向移动，对着干；反驳
adj. 相反的
vt. 反击，还击；反向移动，对着干；反驳，回答
adv. 反方向地；背道而驰地"
package,"n. 包，包裹；套装软件， 程序包
adj. 一揽子的
vt. 打包；将…包装"
gentleman,n. 先生；绅士；有身份的人
criminal,"n. 罪犯
adj. 刑事的；犯罪的；罪恶的"
courier,n. 导游；情报员，通讯员；送快信的人
impossible,"n. 不可能；不可能的事
adj. 不可能的；不可能存在的；难以忍受的；不真实的"
airline,"n. 航空公司；航线
adj. 航线的"
normally,adv. 正常地；通常地，一般地
company,"n. 公司；陪伴，同伴；连队
vt. 陪伴
vi. 交往"
check,"n. <美>支票；制止，抑制；检验，核对
vi. 核实，查核；中止；打勾；将一军
vt. 检查，核对；制止，抑制；在…上打勾"
baggage,n. 行李； 辎重（军队的）
airplane,n. 飞机
contrast,"n. 对比；差别；对照物
vt. 使对比；使与…对照
vi. 对比；形成对照"
official,"adj. 官方的；正式的；公务的
n. 官员；公务员；高级职员"
tax,"n. 税金；重负
vt. 向…课税；使负重担"
method,"n. 方法；条理；类函数
adj. 使用体验派表演方法的"
negative,"adj.  负的；消极的；否定的；阴性的
n. 否定；负数； 底片
vt. 否定；拒绝"
aspect,n. 方面；方向；形势；外貌
personal,"n. 人事消息栏；人称代名词
adj. 个人的；身体的；亲自的"
flexible,adj. 灵活的；柔韧的；易弯曲的
regard,"n. 注意；尊重；问候；凝视
vi. 注意，注重；注视
vt. 注重，考虑；看待；尊敬；把…看作；与…有关"
plan,"n. 计划；平面图
vt. 计划；设计；打算
vi. 计划；打算"
except for,"na. 只有
 除了；除…之外；除了……之外"
check in,"v. 报到；(旅馆)登记
 入住；办理登记手续；签到"
take off,"v. (飞机)起飞；出去；拿掉；移送
 脱下；脱掉；脱去"
in contrast,"adv. 相反
 相比之下；对比；成对比"
by contrast,"un. 相比之下；作对比；与此相反
 对比之下；对比而言；相比而言"
with regard to,"na. 关于；对于；为了答复；“in/with regard to”的变体
 至于；就…而言；至于，就"
in regard to,"na. “in regard of”的变体
 关于；至于；对于"
Paris,n. 巴黎（法国首都）；帕里斯（特洛伊王子）
Brian,
San Francisco,"n. 旧金山
 三藩市；圣弗朗西斯科；美国旧金山"
Tony,
Air France,"na. 法国航空公司
 法航；亚洲法航；法兰西航空公司"
Jean-Paul,
mystery,n. 秘密，谜；神秘，神秘的事物；推理小说，推理剧；常作 mysteries 秘技，秘诀
notice,"n. 通知，布告；注意；公告
vt. 通知；注意到；留心
vi. 引起注意"
dumpster,n. 大型垃圾装卸卡车；垃圾大铁桶
trash,"n. 垃圾；废物
vt. 丢弃；修剪树枝"
hire,"n. 雇用，租用；租金，工钱
vt. 雇用；出租
vi. 雇用，租用；受雇"
cleanliness,n. 清洁
product,n. 产品；结果； 乘积；作品
standard,"n. 标准；水准；旗；度量衡标准
adj. 标准的；合规格的；公认为优秀的"
employee,n. 雇员；从业员工
manager,n. 经理；管理人员
mental,"adj. 精神的；脑力的；疯的
n. 精神病患者"
information,n. 信息，资料；知识；情报；通知
educated,"v. 训练；教导；培育（educate的过去分词形式）
adj. 受过教育的；有教养的"
overflow,"vi. 溢出；泛滥；充溢
n. 充满，洋溢；泛滥；超值；溢值
vt. 使溢出；使泛滥；使充溢"
hospitality,n. 好客；殷勤
accuracy,n.  精确度，准确性
maintenance,n. 维护，维修；保持；生活费用
speed,"n. 速度，速率；迅速，快速；昌盛，繁荣
vt. 加快…的速度；使成功，使繁荣
vi. 超速，加速；加速，迅速前行；兴隆"
sample,"n. 样品；样本；例子
adj. 试样的，样品的；作为例子的
vt. 取样；尝试；抽样检查"
high-tech,"n. 高科技
adj. 高科技的，高技术的；仿真技术的"
device,n. 装置；策略；图案
scale,"n. 规模；比例；鳞；刻度；天平；数值范围
vt. 测量；攀登；刮鳞；依比例决定
vi. 衡量；攀登；剥落；生水垢"
thermometer,n. 温度计；体温计
handheld,adj. 掌上型；手持型
rewarding,adj. 有益的，值得的；有报酬的，报答的
tend,"vt. 照料，照管
vi. 趋向，倾向；照料，照顾"
base,"n. 基础；底部；垒
adj. 卑鄙的；低劣的
vt. 以…作基础"
fit,"n. 合身；发作；痉挛
adj. 健康的；合适的；恰当的；准备好的
vt. 安装；使……适应；使……合身；与……相符
vi. 符合，配合；适合；合身"
act as,"na. 做(向导)
 充当；担任；担当"
fun and games,"na. 欢乐
 开玩笑；娱乐和博弈；轻松愉快的事"
in the field,"na. 实地；在某一行中
 在作战；在田野里；参加比赛"
take mental note,
make mental note,
take a mental note,
make a mental note, 凭记忆记录；铭记在心；牢记
take mental notes,
make mental notes,
stand for,"na. 忍耐；忍受；主张；拥护
 代表；象征；代替"
take note of,"na. 注意(到)
 注意到；留意；作记录"
stick to,"na. 忠于
 坚持；粘住；遵守"
take on,"na. 担任(工作等)；较量；装(某种样子)；呈现(形势)
 承担；雇用；雇佣"
fit in with,"v. 符合
 适应；切合；适合"
send in,"na. 拿出；提出；递(名片)；送
 送来；呈报；提交"
Clark,
article,"n. 文章；物品；条款； 冠词
vt. 订约将…收为学徒或见习生；使…受协议条款的约束
vi. 签订协议；进行控告"
finding,"n. 发现；裁决；发现物
v. 找到；感到（find的ing形式）；遇到"
average,"n. 平均；平均数；海损
adj. 平均的；普通的；通常的
vt. 算出…的平均数；将…平均分配；使…平衡
vi. 平均为；呈中间色"
score,"n. 分数；二十；配乐；刻痕
vt. 获得；评价；划线，刻划；把…记下
vi. 得分；记分；刻痕"
mathematical,adj. 数学的，数学上的；精确的
mechanical,adj. 机械的；力学的；呆板的；无意识的；手工操作的
solve,"vt. 解决；解答；溶解
vi. 作解答"
female,"n. 女人； 雌性动物
adj. 女性的；雌性的；柔弱的，柔和的"
scientist,n. 科学家
physical,"n. 体格检查
adj.  物理的；身体的；物质的；根据自然规律的，符合自然法则的"
nerve,"n. 神经；勇气； 叶脉
vt. 鼓起勇气"
brain,"n. 头脑，智力；脑袋
vt. 猛击…的头部"
advantage,"n. 优势；利益；有利条件
vt. 有利于；使处于优势
vi. 获利"
forceful,adj. 强有力的；有说服力的；坚强的
independent,"n. 独立自主者；无党派者
adj. 独立的；单独的；无党派的；不受约束的"
produce,"n. 农产品，产品
vt. 生产；引起；创作；生育，繁殖
vi. 生产，创作"
force,"n. 力量；武力；军队；魄力
vt. 促使，推动；强迫；强加"
assume,"vt. 僭取；篡夺；夺取；擅用；侵占
vi. 假定；设想；承担；采取"
chemistry,n. 化学；化学过程
factor,"n. 因素；要素； 因数；代理人
vt. 把…作为因素计入；代理经营；把…分解成
vi. 做代理商"
difference,n. 差异；不同；争执
encourage,vt. 鼓励，怂恿；激励；支持
independence,n. 独立性，自立性；自主
perform,"vt. 执行；完成；演奏
vi. 执行，机器运转；表演"
task,"n. 工作，作业；任务
vt. 分派任务"
require,vt. 需要；要求；命令
obey,"vt. 服从，听从；按照……行动
vi. 服从，顺从；听话"
limit,"n. 限制；限度；界线
vt. 限制；限定"
fear,"n. 害怕；恐惧；敬畏；担心
vt. 害怕；敬畏；为…担心
vi. 害怕；敬畏；为…担心"
solution,n. 解决方案；溶液；溶解；解答
on average, 平均；平均起来；通常
on the average,"na. 平均；一般说来
 平均起来；按平均值；平均而言"
on an average,"na. 平均；一般说来
 平均起来；平均而言；按平均"
on the other, 在时间的另一边；另一只手死亡；另一方面就是对中国的
on the other hand,"na. 从另一方面来说；在另一方面
 一方面…另一方面；但是；表示而另一方面"
by the time,"na. 到…的时候
 到……时候；直到…时候；到…时候为止"
on one's own,"na. 独自地；独立地；凭自己力量；主动地
 单独；靠自己；靠自己的力量"
all on one's own,
be limited to, 限于；局限于；限制在
Current Science,
pregnant,adj. 怀孕的；富有意义的
gift,"n. 礼物；天赋；赠品
vt. 赋予；向…赠送"
doll,"n. 洋娃娃；玩偶；无头脑的美丽女人
vt. 把…打扮得花枝招展"
bear,"n. 熊
vt. 结果实，开花（正式）
vt. 忍受；承受；具有；支撑"
enter,"n.  输入；回车
vt. 进入；开始；参加
vi. 参加，登场；进去"
rope,"n. 绳，绳索
vt. 捆，绑
vi. 拧成绳状"
gender,"n. 性；性别；性交
vt. 生（过去式gendered，过去分词gendered，现在分词gendering，第三人称单数genders，形容词genderless）"
feminine,adj. 女性的；妇女（似）的；阴性的；娇柔的
masculine,"adj. 男性的；阳性的；男子气概的
n. 男性；阳性，阳性词"
reflect,"vt. 反映；反射，照出；表达；显示;反省
vi. 反射，映现；深思"
leader,n. 领导者；首领；指挥者
follower,n. 追随者；信徒；属下
compete,vi. 竞争；比赛；对抗
attention,n. 注意力；关心；立正！（口令）
thus,"conj. 因此
n. 乳香
adv. 因此；从而；这样；如此"
command,"n. 指挥，控制；命令；司令部
vt. 命令，指挥；控制；远望
vi. 命令，指挥；控制"
suggest,vt. 提议，建议；启发；使人想起；显示；暗示
continue,"vt. 继续说…；使…继续；使…延长
vi. 继续，延续；仍旧，连续"
junior,"adj. 年少的；后进的；下级的
n. 年少者，晚辈；地位较低者；大学三年级学生"
position,"n. 位置，方位；职位，工作；姿态；站位
vt. 安置；把……放在适当位置"
depend,vi. 依赖，依靠；取决于；相信，信赖
prove,"vi. 证明是
vt. 证明；检验；显示"
friendship,n. 友谊；友爱；友善
earn,vt. 赚，赚得；获得，挣得；使得到；博得
adult,"n. 成年人
adj. 成年的；成熟的"
concern,"n. 关系；关心；关心的事；忧虑
vt. 涉及，关系到；使担心"
discussion,n. 讨论，议论
topic,n. 主题（等于theme）；题目；一般规则；总论
taste,"n. 味道；品味；审美
vt. 尝；体验
vi. 尝起来；有…的味道"
affect,"n. 情感；引起感情的因素
vt. 影响；感染；感动；假装
vi. 倾向；喜欢"
take care of,"na. 照看；处理；清除
 照顾；照料；爱护"
jump rope,"v. 跳绳
 跳大绳；跳绳类；运动水晶跳绳"
jump skip rope,
compete with ... for ...,
be interested in,"v. 对…感兴趣
 对……感兴趣；对某方面感兴趣；对……有兴趣"
take turns,"na. 替换
 轮流；轮流换班；轮流做某事"
take turns doing something,
depend on,"v. 依靠
 依赖；取决于；视……而定"
be concerned with,"na. 干与；关怀
 关心；与…有关；参与"
Joy,
Tommy,
