the,"art. 这；那
adv. 更加（用于比较级，最高级前）"
programme,"n. 计划，规划；节目；程序
vt. 规划；拟…计划
vi. 编程序；制作节目"
born,"v. 出世（bear的过去分词）
adj. 天生的"
son,n. 儿子；孩子（对年轻人的称呼）；男性后裔
recommend,"vt. 推荐，介绍；劝告；使受欢迎；托付
vi. 推荐；建议"
finally,adv. 最后；终于；决定性地
neighbour,"n. n. 邻居;同胞；仁慈的人
vt. 邻接
vi. 住在邻近；毗邻；友善，和睦
adj. 邻居的；邻近的"
opportunity,n. 时机，机会
weekend,"n. 周末，周末休假；周末聚会
adj. 周末的，周末用的
vi. 度周末"
popular,adj. 流行的，通俗的；受欢迎的；大众的；普及的
anything,pron. 任何事
ability,n. 能力，能耐；才能
product,n. 产品；结果； 乘积；作品
repair,"n. 修理，修补；修补部位
vt. 修理；恢复；补救，纠正
vi. 修理；修复"
behaviour,n. 行为；习性；运行状况（=behavior）
key,"n. （打字机等的）键；关键；钥匙
vt. 键入；锁上；调节…的音调；提供线索
vi. 使用钥匙
adj. 关键的"
desire,"n. 欲望；要求，心愿；性欲
vt. 想要；要求；希望得到…
vi. 渴望"
past,"n. 过去；往事
prep. 越过；晚于
adj. 过去的；结束的
adv. 过；经过"
approach,"n. 方法；途径；接近
vt. 接近；着手处理
vi. 靠近"
force,"n. 力量；武力；军队；魄力
vt. 促使，推动；强迫；强加"
natural,"adj. 自然的；物质的；天生的；不做作的
n. 自然的事情；白痴；本位音"
wolf,"n. 狼；色狼；残忍贪婪之人
vt. 大吃；狼吞虎咽地吃"
communication,n. 通讯， 通信；交流；信函
join,"vt. 参加；结合；连接
vi. 加入；参加；结合
n. 结合；连接；接合点"
badly,adv. 非常，很；严重地，厉害地；恶劣地
attitude,n. 态度；看法；意见；姿势
win,"n. 赢；胜利
vt. 赢得；在…中获胜；劝诱
vi. 赢；获胜；成功"
price,"n. 价格；价值；代价
vt. 给……定价；问……的价格"
husband,"n. 丈夫
vt. 节约地使用（或管理）"
clear,"n. 清除；空隙
adj. 清楚的；清澈的；晴朗的；无罪的
vt. 通过；清除；使干净；跳过
vi. 放晴；变清澈
adv. 清晰地；完全地"
personal,"n. 人事消息栏；人称代名词
adj. 个人的；身体的；亲自的"
amount,"n. 数量；总额，总数
vi. 总计，合计；相当于；共计；产生…结果"
outside,"adj. 外面的，外部的；外来的
n. 外部；外观
adv. 在外面，向外面；在室外
prep. 在…范围之外"
lesson,"n. 教训；课
vt. 教训；上课"
interview,"n. 接见，采访；面试，面谈
vt. 采访；接见；对…进行面谈；对某人进行面试"
smile,"n. 微笑；笑容；喜色
vt. 微笑着表示
vi. 微笑"
boy,n. 男孩；男人
decision,n. 决定，决心；决议
clothes,n. 衣服
attract,"vt. 吸引；引起
vi. 吸引；有吸引力"
print,"n. 印刷业；印花布；印刷字体；印章；印记
vt. 印刷；打印；刊载；用印刷体写；在…印花样
vi. 印刷；出版；用印刷体写"
confuse,vt. 使混乱；使困惑
season,"n. 时期；季节；赛季
vt. 给…调味；使适应
vi. 变得成熟；变干燥"
ticket,vt. 加标签于；指派；对…开出交通违规罚单
list,"n.  列表；清单；目录
vi. 列于表上
vt. 列出；记入名单内"
smell,"n. 气味，嗅觉；臭味
vt. 嗅，闻；察觉到；发出…的气味
vi. 嗅，闻；有…气味"
camera,n. 照相机；摄影机
direction,n. 方向；指导；趋势；用法说明
clean,"n. 打扫
adj. 清洁的，干净的；清白的
vt. 使干净
vi. 打扫，清扫
adv. 完全地"
reward,"n.  报酬；报答；酬谢
vt.  奖励；奖赏"
sport,"n. 运动；游戏；娱乐；运动会；玩笑
adj. 运动的
vt. 游戏；参加体育运动；夸耀
vi. 游戏"
fresh,"n. 开始；新生；泛滥
adj. 新鲜的；清新的；淡水的；无经验的
adv. 刚刚，才；最新地"
camp,"n. 露营
vt. 扎营；使扎营
vi. 露营；扎营"
picture,"n. 照片，图画；影片；景色；化身
vt. 画；想像；描写"
strange,"adj. 奇怪的；陌生的；外行的
adv. 奇怪地；陌生地，冷淡地"
opinion,n. 意见；主张
personality,n. 个性；品格；名人
colour,"n. 颜色；风格；气色，面色；外貌
vt. 把…涂颜色，粉饰；歪曲；使脸红
vi. 变色"
journey,"n. 旅行；行程
vi. 旅行"
rather,"adv. 宁可，宁愿；相当
int. 当然啦（回答问题时用）"
ice,"n. 冰；冰淇淋；矜持；（俚）钻石
adj. 冰的
vt. 冰镇；结冰
vi. 结冰"
firm,"n. 公司；商号
adj. 坚定的；牢固的；严格的；结实的
vt. 使坚定；使牢固
adv. 稳固地
vi. 变坚实；变稳固"
firm,"n. 公司；商号
adj. 坚定的；牢固的；严格的；结实的
vt. 使坚定；使牢固
adv. 稳固地
vi. 变坚实；变稳固"
value,"n. 值；价值；价格；重要性；确切涵义
vt. 评价；重视；估价"
extra,"n. 临时演员；号外；额外的事物；上等产品
adj. 额外的，另外收费的；特大的
adv. 特别地，非常；另外"
manager,n. 经理；管理人员
else,"adj. 别的；其他的
adv. 其他；否则；另外"
promote,"vi. 成为王后或其他大于卒的子
vt. 促进；提升；推销；发扬"
conduct,"n. 进行；行为；实施
vi. 导电；带领
vt. 管理；引导；表现"
tend,"vt. 照料，照管
vi. 趋向，倾向；照料，照顾"
compare,"vi. 相比，匹敌；比较，区别；比拟（常与to连用）
vt. 比拟，喻为；构成
n. 比较"
tired,"v. 疲倦；对…腻烦（tire的过去分词形式）
adj. 疲倦的；厌倦的，厌烦的"
ground,"n. 地面；土地；范围；战场;根据
v. 研磨（grind的过去分词）；压迫
adj. 土地的；地面上的；磨碎的；磨过的
vt. 使接触地面；打基础；使搁浅
vi. 着陆；搁浅"
gift,"n. 礼物；天赋；赠品
vt. 赋予；向…赠送"
writer,n. 作家；作者
global,adj. 全球的；总体的；球形的
race,"n. 属，种；种族，人种；家庭，门第
vt. 使参加比赛；和…竞赛；使急走，使全速行进
vi. 比速度，参加竞赛；全速行进"
e-mail,
holiday,"n. 假日；节日；休息日
vi. 外出度假"
waste,"n. 浪费；废物；荒地；损耗；地面风化物
adj. 废弃的；多余的；荒芜的
vt. 浪费；消耗；使荒芜
vi. 浪费；变消瘦；挥霍钱财"
healthy,adj. 健康的，健全的；有益于健康的
against,"prep. 反对，违反；靠；倚；防备
adj. 不利的；对立的"
worker,n. 工人；劳动者；职蚁
complete,"adj. 完整的；完全的；彻底的
vt. 完成"
accept,"vi. 承认；同意；承兑
vt. 接受；承认；承担；承兑；容纳"
famous,adj. 著名的；极好的，非常令人满意的
earn,vt. 赚，赚得；获得，挣得；使得到；博得
website,n. 网站（全球资讯网的主机站）
stick,"n. 棍；手杖；呆头呆脑的人
vi. 坚持；伸出；粘住
vt. 刺，戳；伸出；粘贴"
especially,adv. 特别；尤其；格外
rich,"adj. 富有的；肥沃的；昂贵的
adj. 油腻的，含有很多脂肪"
short,"n. 短；缺乏；短路；短裤
adj. 短的；不足的；矮的，低的
adv. 不足；突然；唐突地"
topic,n. 主题（等于theme）；题目；一般规则；总论
certain,"adj. 某一；必然的；确信；无疑的；有把握的
pron. 某些；某几个"
prevent,"vt. 预防，防止；阻止
vi. 妨碍，阻止"
lunch,"n. 午餐
vt. 吃午餐；供给午餐
vi. 吃午餐；供给午餐"
amaze,vt. 使吃惊
visitor,n. 访问者，参观者；视察者；候鸟
collection,n. 采集，聚集； 征收；收藏品；募捐
invite,"n. 邀请
vt. 邀请，招待；招致"
mail,"n. 邮件；邮政，邮递；盔甲
vt. 邮寄；给…穿盔甲
vi. 邮寄；寄出"
puzzle,"n. 谜；难题；迷惑
vt. 使…困惑；使…为难；苦思而得出
vi. 迷惑；冥思苦想"
effect,"n. 影响；效果；作用
vt. 产生；达到目的"
consider,"vi. 考虑；认为；细想
vt. 考虑；认为；考虑到；细想"
environment,n. 环境，外界
level,"n. 水平；标准；水平面
adj. 水平的；平坦的；同高的
vi. 瞄准；拉平；变得平坦
vt. 使同等；对准；弄平"
dog,"n. 狗；丑女人；卑鄙的人；(俚)朋友
vt. 跟踪；尾随"
attend,"vi. 出席；致力于；照料；照顾
vt. 出席；上（大学等）；照料；招待；陪伴"
tourist,"n. 旅行者，观光客
adj. 旅游的
vt. 在旅行参观
vi. 旅游；观光
adv. 坐旅游车厢；坐经济舱"
classroom,n. 教室
whether,"conj. 是否；不论
pron. 两个中的哪一个"
act,"n. 行为，行动；法令，法案；（戏剧，歌剧的）一幕，段；装腔作势
vt. 扮演；装作，举动像
vi. 行动；扮演，充当；表现，举止；假装，演戏；起作用，见效"
quite,adv. 很；相当；完全
feed,"n. 饲料；饲养；（动物或婴儿的）一餐
vt. 喂养；供给；放牧；抚养（家庭等）；靠…为生
vi. 吃东西；流入"
death,n. 死；死亡；死神；毁灭
table,"n. 桌子；表格；平地层
vt. 制表；搁置；嵌合
adj. 桌子的"
relax,"vi. 放松，休息；松懈，松弛；变从容；休养
vt. 放松；使休息；使松弛；缓和；使松懈"
post,"n. 岗位；邮件；标杆
vt. 张贴；公布；邮递；布置
vi. 快速行进"
post,"n. 岗位；邮件；标杆
vt. 张贴；公布；邮递；布置
vi. 快速行进"
schedule,"n. 时间表；计划表；一览表
vt. 安排，计划；编制目录；将……列入计划表"
tradition,n. 惯例，传统；传说
affect,"n. 情感；引起感情的因素
vt. 影响；感染；感动；假装
vi. 倾向；喜欢"
anger,"n. 怒，愤怒；忿怒
vt. 使发怒，激怒；恼火
vi. 发怒；恼火"
cut,"n. 伤口；切口；削减；（服装等的）式样；削球；切入
adj. 割下的；雕过的；缩减的
vt.  切割；削减；缩短；刺痛
vi.  切割；相交；切牌；停拍；不出席"
climate,n. 气候；风气；思潮；风土
spread,"n. 传播；伸展
adj. 伸展的
vt. 传播，散布；展开；伸展；铺开
vi. 传播；伸展"
discuss,vt. 讨论；论述，辩论
rate,"n. 比率，率；速度；价格；等级
vt. 认为；估价；责骂
vi. 责骂；被评价"
mistake,"n. 错误；误会；过失
vt. 弄错；误解
vi. 弄错；误解"
club,"n. 俱乐部，社团；夜总会；棍棒；（扑克牌中的）梅花
adj. 俱乐部的
vt. 用棍棒打；募集
vi. 集资；组成俱乐部"
mile,n. 英里；一英里赛跑；较大的距离
connection,n. 连接；关系；人脉；连接件
direct,"adj. 直接的；直系的；亲身的；恰好的
vt. 管理；指挥；导演；指向
adv. 直接地；正好；按直系关系
vi. 指导；指挥"
poem,n. 诗
medical,"adj. 医学的；药的；内科的
n. 医生；体格检查"
replace,vt. 取代，代替；替换，更换；归还，偿还；把…放回原处
method,"n. 方法；条理；类函数
adj. 使用体验派表演方法的"
weather,"n. 天气；气象；气候；处境
vt. 经受住；使风化；侵蚀；使受风吹雨打
adj. 露天的；迎风的
vi. 风化；受侵蚀；经受风雨"
damage,"vi. 损害；损毁
vt. 损害，毁坏
n. 损害；损毁；赔偿金"
apartment,n. 公寓；房间
cold,"n. 寒冷；感冒
adj. 寒冷的；冷淡的，不热情的；失去知觉的
adv. 完全地"
listen,"vi. 听，倾听；听从，听信
n. 听，倾听"
modern,"adj. 现代的，近代的；时髦的
n. 现代人；有思想的人"
main,"n. 主要部分，要点；体力；总管道
adj. 主要的，最重要的；全力的"
die,"n. 冲模，钢模；骰子
vi. 死亡；凋零；熄灭
vt. 死，死于…"
serve,"n. 发球，轮到发球
vi. 服役，服务；适合，足够；发球；招待，侍候
vt. 招待，供应；为…服务；对…有用；可作…用"
major,"adj. 主要的；重要的；主修的；较多的
n.  成年人；主修科目；陆军少校
vi. 主修"
serious,adj. 严肃的，严重的；认真的；庄重的；危急的
anyone,pron. 任何人；任何一个
describe,vt. 描述，形容；描绘
smoke,"n. 烟；抽烟；无常的事物
vt. 吸烟；抽
vi. 冒烟，吸烟；抽烟；弥漫"
action,n. 行动；活动；功能；战斗；情节
hide,"n. 躲藏；兽皮；躲藏处
vt. 隐藏；隐瞒；鞭打
vi. 隐藏"
expert,"n. 专家；行家；能手
adj. 熟练的；内行的；老练的
vt. 当专家；在…中当行家"
prove,"vi. 证明是
vt. 证明；检验；显示"
daily,"n. 日报；朝来夜去的女佣
adj. 日常的；每日的
adv. 日常地；每日；天天"
trend,"n. 趋势，倾向；走向
vt. 使…趋向
vi. 趋向，伸向"
per,prep. 每；经；按照；每一
dark,"n. 黑暗；夜；黄昏；模糊
adj. 黑暗的，深色的；模糊的；无知的；忧郁的"
cool,"n. 凉爽；凉爽的空气
adj. 凉爽的；冷静的；出色的
vt. 使…冷却；使…平静下来
vi. 变凉；平息
adv. 冷静地"
gain,"n. 增加；利润；收获
vi. 增加；获利
vt. 获得；增加；赚到"
pull,"n. 拉，拉绳；拉力，牵引力；拖
vt. 拉；拔；拖
vi. 拉，拖；拔"
law,"n. 法律；规律；法治；法学；诉讼；司法界
vi. 起诉；控告
vt. 控告；对…起诉"
land,"n. 国土；陆地；地面
vt. 使…登陆；使…陷于；将…卸下
vi. 登陆；到达"
hearing,"n. 听力；审讯，听讯
v. 听见（hear的ing形式）"
connect,"vt. 连接；联合；关连
vi. 连接，连结；联合"
jazz,"n. 爵士乐，爵士舞；喧闹
vi. 奏爵士乐，跳爵士舞；游荡
vt. 奏爵士乐；使活泼
adj. 爵士乐的；喧吵的"
colleague,n. 同事，同僚
bridge,"n. 桥；桥牌；桥接器；船桥
vt. 架桥；渡过"
fee,"n. 费用；酬金；小费
vt. 付费给……"
easily,adv. 容易地；无疑地
piece,"n. 块；件；篇；硬币
vt. 修补；接合；凑合"
worry,"n. 担心；烦恼；撕咬
vi. 担心；烦恼；撕咬
vt. 担心；发愁；折磨"
note,"n. 笔记；音符；票据；注解；纸币；便笺；照会；调子
vt. 注意；记录；注解"
dinner,n. 晚餐，晚宴；宴会；正餐
simple,"n. 笨蛋；愚蠢的行为；出身低微者
adj. 简单的；单纯的；天真的"
industry,n. 产业；工业；勤勉
member,n. 成员；会员；议员
slow,"adj. 慢的；减速的；迟钝的
vt. 放慢；阻碍
vi. 变慢；变萧条
adv. 慢慢地；迟缓地"
beautiful,"adj. 美丽的
出色地
出色的
迷人的
迷人地"
century,n. 世纪，百年；（板球）一百分
range,"n. 范围；幅度；排；山脉
vt. 漫游；放牧；使并列；归类于；来回走动
vi. （在...内）变动；平行，列为一行；延伸；漫游；射程达到"
hit,"n. 打；打击；（演出等）成功；讽刺
vt. 打击；袭击；碰撞；偶然发现；伤…的感情
vi. 打；打击；碰撞；偶然碰上"
red,"n. 红色，红颜料；赤字
adj. 红色的；红肿的，充血的"
positive,"n. 正数； 正片
adj. 积极的； 正的， 阳性的；确定的，肯定的；实际的，真实的；绝对的"
suffer,"vi. 遭受，忍受；受痛苦；经验；受损害
vt. 遭受；忍受；经历"
seek,"vt. 寻求；寻找；探索；搜索
vi. 寻找；探索；搜索"
application,n. 应用；申请；应用程序；敷用
behind,"prep. 落后于；支持；晚于
n. 屁股
adv. 在后地；在原处"
artist,n. 艺术家；美术家（尤指画家）；大师
difference,n. 差异；不同；争执
whose,pron. 谁的（疑问代词）
decline,"n. 下降；衰退；斜面
vt. 谢绝；婉拒
vi. 下降；衰落；谢绝"
condition,"n. 条件；情况；环境；身份
vt. 决定；使适应；使健康；以…为条件"
mention,"vt. 提到，谈到；提及，论及；说起
n. 提及，说起"
whatever,"conj. 无论什么
adj. 不管什么样的
pron. 无论什么；诸如此类"
limit,"n. 限制；限度；界线
vt. 限制；限定"
talent,n. 才能；天才；天资
refer,"vt. 涉及；委托；归诸于；使…求助于
vi. 参考；涉及；提到；查阅"
praise,"n. 赞扬；称赞；荣耀；崇拜
vt. 赞美，歌颂；表扬
vi. 赞美；赞扬"
breakfast,"n. 早餐；早饭
vt. 为…供应早餐
vi. 吃早餐"
suddenly,adv. 突然地；忽然
infer,"vi. 推断；作出推论
vt. 推断；推论"
wonder,"n. 惊奇；奇迹；惊愕
adj. 奇妙的；非凡的
vi. 怀疑；想知道；惊讶
vt. 怀疑；惊奇；对…感到惊讶"
involve,vt. 包含；牵涉；使陷于；潜心于
everything,pron. 每件事物；最重要的东西；（有关的）一切；万事
climb,"n. 爬；攀登
vi. 爬；攀登；上升
vt. 爬；攀登；上升"
nice,adj. 精密的；美好的；细微的；和蔼的
role,n. 角色；任务
notice,"n. 通知，布告；注意；公告
vt. 通知；注意到；留心
vi. 引起注意"
daughter,"n. 女儿； 子代
adj. 女儿的；子代的"
touch,"n. 接触；触觉；格调；少许
vt. 接触；触动；使轻度受害
vi. 触摸；涉及；接近；提到"
tire,"n. 轮胎；头饰
vt. 使…疲倦；使…厌烦
vi. 疲劳；厌倦"
knowledge,n. 知识，学问；知道，认识；学科
size,"n. 大小；尺寸
adj. 一定尺寸的
vt. 依大小排列
vi. 可比拟"
photo,n. 照片
advance,"n. 发展；前进；增长；预付款
adj. 预先的；先行的
vt. 提出；预付；使……前进；将……提前
vi. 前进；进展；上涨"
patient,"n. 病人；患者
adj. 有耐心的，能容忍的"
patient,"n. 病人；患者
adj. 有耐心的，能容忍的"
track,"n. 轨道；足迹，踪迹；小道
vt. 追踪；通过；循路而行；用纤拉
vi. 追踪；走；留下足迹"
sick,"adj. 厌恶的；病态的；不舒服；渴望的；恶心的 ；生病的
n. 病人
vt. 使狗去咬；呕吐；追击"
recognise,vt. 认出；承认，认可；识别
determine,"v. （使）下决心，（使）做出决定
vt. 决定，确定；判定，判决；限定
vi. 确定；决定；判决，终止；了结，终止，结束"
achieve,"vt. 取得；获得；实现；成功
vi. 达到预期的目的，实现预期的结果，如愿以偿"
novel,"adj. 新奇的；异常的
n. 小说"
front,"n. 前面；正面；前线
adj. 前面的；正面的
vt. 面对；朝向；对付
vi. 朝向
adv. 在前面；向前"
manage,"vt. 管理；经营；控制；设法
vi. 处理；应付过去"
war,"n. 战争，斗争；军事，战术；冲突，对抗，竞争
vi. 打仗，作战；对抗"
apple,n. 苹果，苹果树，苹果似的东西；炸弹，手榴弹，（棒球的）球；人，家伙。
fruit,"n. 水果；产物
vt. 使……结果实
vi. 结果实"
generation,n. 一代；产生；一代人；生殖
audience,n. 观众；听众；读者；接见；正式会见；拜会
depend,vi. 依赖，依靠；取决于；相信，信赖
confidence,"n. 信心；信任；秘密
adj. （美）诈骗的；骗得信任的"
humour,"n. 幽默（等于humor）；诙谐
vt. 迁就；使满足"
safety,n. 安全；保险；安全设备；保险装置；安打
worth,"n. 价值；财产
adj. 值…的"
enter,"n.  输入；回车
vt. 进入；开始；参加
vi. 参加，登场；进去"
coffee,n. 咖啡；咖啡豆；咖啡色
drop,"n. 滴；落下；空投；微量；滴剂
vt. 滴；使降低；使终止；随口漏出
vi. 下降；终止"
character,"n. 性格，品质；特性；角色； 字符
vt. 印，刻；使具有特征"
star,"n. 星，恒星；明星；星形物
adj. 明星的，主角的；星形的
vt. 用星号标于；由…主演，由…担任主角
vi. 担任主角"
protect,vt. 保护，防卫；警戒
childhood,n. 童年时期；幼年时代
measure,"n. 测量；措施；程度；尺寸
vt. 测量；估量；权衡
vi. 测量；估量"
similar,"n. 类似物
adj. 相似的"
kill,"vt. 杀死；扼杀；使终止；抵消
vi. 杀死
n. 杀戮；屠杀
adj. 致命的；致死的"
cat,n. 猫，猫科动物
wife,n. 妻子，已婚妇女；夫人
beyond,"prep. 超过；越过；那一边；在...较远的一边
n. 远处
adv. 在远处；在更远处"
link,"n.  链环，环节；联系，关系
vt. 连接，连结；联合，结合
vi. 连接起来；联系在一起；将人或物连接或联系起来"
prefer,"vt. 更喜欢；宁愿；提出；提升
vi. 喜欢；愿意"
nuclear,adj. 原子能的； 细胞核的；中心的；原子核的
birth,n. 出生；血统，出身；起源
worried,adj. 担心的
shock,"n. 休克；震惊；震动；打击；禾束堆
adj. 浓密的；蓬乱的
vt. 使休克；使震惊；使震动；使受电击；把…堆成禾束堆
vi. 感到震惊；受到震动；堆成禾束堆"
international,"n. 国际组织；国际体育比赛；外国居留者；国际股票
adj. 国际的；两国（或以上）国家的；超越国界的；国际关系的；世界的"
nervous,adj. 神经的；紧张不安的；强健有力的
style,"n. 风格；时尚；类型；字体
vt. 设计；称呼；使合潮流
vi. 设计式样；用刻刀作装饰画"
western,"n. 西方人；西部片，西部小说
adj. 西方的，西部的；有西方特征的"
lack,"vt. 缺乏；不足；没有；需要
vi. 缺乏；不足；没有
n. 缺乏；不足"
hire,"n. 雇用，租用；租金，工钱
vt. 雇用；出租
vi. 雇用，租用；受雇"
detail,"n. 细节，详情
vt. 详述；选派
vi. 画详图"
march,n. 三月
article,"n. 文章；物品；条款； 冠词
vt. 订约将…收为学徒或见习生；使…受协议条款的约束
vi. 签订协议；进行控告"
traditional,adj. 传统的；惯例的
professional,"n. 专业人员；职业运动员
adj. 专业的；职业的；职业性的"
field,"n. 领域；牧场；旷野；战场；运动场
adj. 扫描场；田赛的；野生的
vt. 把暴晒于场上；使上场
vi. 担任场外队员"
figure,"n. 数字；人物；图形；价格；（人的）体形；画像
vt. 计算；认为；描绘；象征
vi. 计算；出现；扮演角色"
necessary,"adj. 必要的；必需的；必然的
n. 必需品"
concert,"n. 音乐会；一致；和谐
adj. 音乐会用的；在音乐会上演出的
vt. 使协调；协同安排
vi. 协调；协力"
milk,"n. 牛奶；乳状物
vt. 榨取；挤…的奶
vi. 挤奶"
taste,"n. 味道；品味；审美
vt. 尝；体验
vi. 尝起来；有…的味道"
blank,"n. 空白；空虚；空白表格
adj. 空白的；空虚的；单调的
vt. 使…无效；使…模糊；封锁
vi. 消失；成为空白"
material,"adj. 重要的；物质的，实质性的；肉体的
n. 材料，原料；物资；布料"
ride,"n. 骑；乘坐；交通工具；可供骑行的路；（乘坐汽车等的）旅行；乘骑；（乘车或骑车的）短途旅程；供乘骑的游乐设施
vi. 骑马；乘车；依靠；漂浮
vt. 骑；乘；控制；（骑马、自行车等）穿越；搭乘；飘浮"
moment,n. 片刻，瞬间，时刻；重要，契机
whole,"n. 整体；全部
adj. 完整的；纯粹的"
trouble,"n. 麻烦；烦恼；故障；动乱
vt. 麻烦；使烦恼；折磨
vi. 费心，烦恼"
fit,"n. 合身；发作；痉挛
adj. 健康的；合适的；恰当的；准备好的
vt. 安装；使……适应；使……合身；与……相符
vi. 符合，配合；适合；合身"
society,n. 社会；交往；社团；社交界
busy,"adj. 忙碌的；热闹的；正被占用的
vt. 使忙于"
deep,"n. 深处；深渊
adj. 深的；低沉的；深奥的
adv. 深入地；深深地；迟"
bite,"n. 咬；一口；咬伤；刺痛
abbr. 机内测试设备（Built-In Test Equipment）
vt. 咬；刺痛
vi. 咬；刺痛"
gather,"n. 聚集；衣褶；收获量
vt. 收集；收割；使…聚集；使…皱起
vi. 聚集；化脓；皱起"
seat,"n. 座位；所在地；职位
vt. 使…坐下；可容纳…的；使就职"
below,"prep. 在…下面
adv. 在下面，在较低处；在本页下面"
yes,"n. 是（表示肯定）
adv. 是, 是的"
forest,"n. 森林
vt. 植树于，使成为森林"
flight,"n. 飞行；班机；逃走
vt. 射击；使惊飞
vi. 迁徙"
pressure,"n. 压力；压迫， 压强
vt. 迫使；密封；使……增压"
variety,n. 多样；种类；杂耍；变化，多样化
basket,"n. 篮子；（篮球比赛的）得分；一篮之量；篮筐
vt. 装入篮"
sight,"n. 视力；景象；眼界；见解
adj. 见票即付的；即席的
vt. 看见；瞄准
vi. 瞄准；观看"
alarm,"n. 闹钟；警报，警告器；惊慌
vt. 警告；使惊恐"
account,"n. 账户；解释；账目，账单；理由；描述
vt. 认为；把…视为
vi. 解释；导致；报账"
carbon,"n.  碳；碳棒；复写纸
adj. 碳的；碳处理的"
speed,"n. 速度，速率；迅速，快速；昌盛，繁荣
vt. 加快…的速度；使成功，使繁荣
vi. 超速，加速；加速，迅速前行；兴隆"
chemical,"n. 化学制品，化学药品
adj. 化学的"
disappoint,vt. 使失望
nation,n. 国家；民族；国民
tomorrow,"n. 明天；未来
adv. 明天；未来地（等于to-morrow）"
host,"n.  主机；主人；主持人；许多
vt. 主持；当主人招待
vi. 群集；做主人"
fat,"n. 脂肪，肥肉
adj. 肥的，胖的；油腻的；丰满的
vt. 养肥；在…中加入脂肪
vi. 长肥"
contribute,"vt. 贡献，出力；投稿；捐献
vi. 贡献，出力；投稿；捐献
"
award,"n. 奖品；判决
vt. 授予；判定"
police,"n. 警察，警方；治安
adj. 警察的；有关警察的
vt. 监督；管辖；维持治安；为…配备警察"
lay,"vt. 躺下；产卵；搁放；放置；铺放；涂，敷
adj. 世俗的；外行的；没有经验的
n. 位置；短诗；花纹方向；叙事诗；性伙伴
vi. 下蛋；打赌
v. 躺；位于（lie的过去式）"
cleaner,n.  清洁剂；清洁工；干洗店；干洗商；洗洁器
player,n. 运动员，比赛者；游戏者，做游戏的人；演奏者，表演者；演员；播放器
intend,"vi. 有打算
vt. 打算；想要；意指"
organise,"vi. 组织起来；组织工会
vt. 组织（等于organize）；有机化；给予生机"
department,n. 部；部门；系；科；局
economic,adj. 经济的，经济上的；经济学的
quick,"n. 核心；伤口的嫩肉
adj. 快的；迅速的，敏捷的；灵敏的
adv. 迅速地，快"
imagine,"vi. 想像；猜想；想像起来
vt. 想像；猜想；臆断"
cover,"n. 封面，封皮；盖子；掩蔽物;幌子，借口
vt. 包括；采访，报导；涉及
vi. 覆盖；代替"
doctor,"vt. 修理；篡改，伪造；为…治病；授以博士学位
n. 医生；博士
vi. 就医；行医"
line,"n. 路线，航线；排；绳
vt. 排成一行；划线于；以线条标示；使…起皱纹
vi. 排队；站成一排"
section,"n. 截面；部分；部门；地区；章节
vt. 把…分段；将…切片；对…进行划分
vi. 被切割成片；被分成部分"
finish,"n. 结束；完美；回味（葡萄酒）
vt. 完成；结束；用完
vi. 结束，终止；终结"
fear,"n. 害怕；恐惧；敬畏；担心
vt. 害怕；敬畏；为…担心
vi. 害怕；敬畏；为…担心"
owner,n.  所有者；物主
agree,"vi. vi. 同意，意见一致；约定，商定
vt. 同意，赞成；承认；约定，商定"
hospital,n. 医院
survival,n. 幸存，残存；幸存者，残存物
wonderful,adj. 极好的，精彩的，绝妙的；奇妙的；美妙；胜；神妙
habit,"n. 习惯，习性；嗜好
vt. 使穿衣"
advantage,"n. 优势；利益；有利条件
vt. 有利于；使处于优势
vi. 获利"
perhaps,"n. 假定；猜想；未定之事
adv. 或许；（表示不确定）也许；（用于粗略的估计）或许；（表示勉强同意或其实不赞成）也许；可能"
above,"prep. 超过；在……上面；在……之上
n. 上文
adj. 上文的
adv. 在上面；在上文"
pack,"n. 包装；一群；背包；包裹；一副
vt. 包装；压紧；捆扎；挑选；塞满
vi. 挤；包装货物；被包装；群集"
theory,n. 理论；原理；学说；推测
guest,"n. 客人，宾客；顾客
adj. 客人的；特邀的，客座的
vt. 款待，招待
vi. 作客，寄宿"
successful,adj. 成功的；一帆风顺的
regular,"n. 常客；正式队员；中坚分子
adj. 定期的；有规律的；合格的；整齐的；普通的
adv. 定期地；经常地"
pound,"n. 英镑；重击，重击声；兽栏；拘留所
vt. 捣烂；敲打；监禁，拘留
vi. 连续重击，猛击"
pollution,"n. 污染
污染物"
recently,adv. 最近；新近
weight,"n. 重量，重力；负担；砝码；重要性
vt. 加重量于，使变重"
sighting,"n. 瞄准；照准；视线
v. 看见（sight的ing形式）"
traffic,"n. 交通；运输；贸易； 通信量
vt. 用…作交换；在…通行
vi. 交易，买卖"
bank,"n. 银行；岸；浅滩；储库
vt. 将…存入银行；倾斜转弯
vi. 堆积；倾斜转弯"
standard,"n. 标准；水准；旗；度量衡标准
adj. 标准的；合规格的；公认为优秀的"
disease,"n. 病， 疾病；弊病
vt. 传染；使…有病"
spring,"n. 春天；弹簧；泉水；活力；跳跃
adj. 春天的
vt. 使跳起；使爆炸；突然提出；使弹开
vi. 生长；涌出；跃出；裂开"
publish,"vi. 出版；发行；刊印
vt. 出版；发表；公布"
