identical,"n. 完全相同的事物
adj. 同一的；完全相同的"
jingle,"n. 叮当声；节拍十分规则的简单诗歌
v. （使）叮当作响；具有简单而又引人注意的韵律"
meander,"n. 漫步；曲流（常用复数）
vt. 漫步；蜿蜒缓慢流动
vi. 漫步；漫谈"
pagan,"adj. 异教的；异教徒的
n. 异教徒；无宗教信仰者"
quiver,"n. 颤抖；箭袋；震动
vi. 颤抖；振动
vt. 使…颤动；抖动"
slat,"n. 板条；狭板
vt. 用板条做或装备；用条板制造"
stow,vt. 装载；收藏；使暂留；堆装
tint,"n. 色彩；浅色
vt. 染（发）；给…着色"
whizz,"n. 专家；精明的人；子弹等在空中掠过的声音（等于whiz）
vt. 飕飕作声（等于whiz）
vi. 飕飕作声（等于whiz）"
bash,"n. 猛烈的一击，痛击
vt. 猛击，痛击；怒殴"
capillary,"n. 毛细管
adj. 毛细管的；毛状的"
curb,"n. 抑制；路边；勒马绳
vt. 控制；勒住"
edifice,n. 大厦；大建筑物
flank,"n. 侧面；侧翼；侧腹
vt. 守侧面；位于…的侧面；攻击侧面
vi. 侧面与…相接
adv. 在左右两边"
gland,"n. 腺
密封压盖"
hoard,"n. 贮藏物
vt. 贮藏
vi. 积聚钱财；贮藏货物"
hoarding,"n.  囤积；贮藏；临时围墙
v. 贮藏（hoard的ing形式）"
jigsaw,"n. 拼图玩具；线锯；镂花锯
vt. 用线锯锯"
paddock,n. 围场；小牧场
salmon,"n. 鲑鱼；大马哈鱼；鲑肉色；鲑鱼肉；橙红色，粉橙色
adj. 浅澄色的"
slant,"n. 倾斜；观点；偏见
vi. 倾斜；有倾向
vt. 使倾斜；使倾向于
adj. 倾斜的；有偏见的"
stoke,"vt. 拨旺火；使饱吃一顿
vi. 烧火；做司炉工；大吃大喝"
tinkle,"n. 叮当声
vt. 使发清脆的声响
vi. 发叮当声"
whisk,"n. 搅拌器；扫帚；毛掸子
vt. 拂，掸；搅拌；挥动
vi. 飞奔，疾过"
barter,"n. 易货贸易；物物交换；实物交易
vt. 以…作为交换；拿…进行易货贸易
vi. 进行易货贸易； 作物物交换；讨价还价"
canter,"n. 慢跑；流浪汉
vt. 使慢跑
vi. 慢跑"
cumbersome,adj. 笨重的；累赘的；难处理的
eddy,"n. 涡流；漩涡；逆流
vi. 旋转；起漩涡
vt. 使…起漩涡"
flake,"n. 小薄片；火花
vt. 使…成薄片；将…剥落
vi. 剥落；成片状剥落"
gladiator,n. 斗剑者；古罗马公开表演的格斗者；争论者
hive,"n. 蜂房，蜂巢；热闹的场所；熙攘喧闹的人群
vi. 群居；入蜂房；生活在蜂房中
vt. 入蜂箱；贮备"
jest,"n. 笑话，俏皮话；玩笑
vi. 开玩笑；嘲笑
vt. 嘲笑"
mayhem,n. 故意的伤害罪；重伤罪；蓄意的破坏
ovum,n.  卵；卵子；卵形装饰
Monday,n. 星期一
monarch,n. 君主，帝王；最高统治者
monarchy,n. 君主政体；君主国；君主政治
monastery,n. 修道院；僧侣
monk,n. 僧侣，修道士；和尚
monochrome,"n. 单色；单色画
adj. 单色的；黑白的"
monogamy,n. 一夫一妻制； 单配偶， 单配性
monolith,n. 整块石料；庞然大物
monopoly,n. 垄断；垄断者；专卖权
monopolize,vt. 垄断；独占；拥有…的专卖权
monotone,"n. 单调；单音调
adj. 单调的
vt. 单调地读"
monotonous,adj. 单调的，无抑扬顿挫的；无变化的
monotony,n. 单调；千篇一律
origin,n. 起源；原点；出身；开端
original,"n. 原件；原作；原物；原型
adj. 原始的；最初的；独创的；新颖的"
originality,n. 创意；独创性，创造力；原始；新奇
originate,"vt. 引起；创作
vi. 发源；发生；起航"
aboriginal,"n. 土著居民；土生生物
adj. 土著的；原始的"
aborigine,n. 土著；土著居民
orient,"vt. 使适应；确定方向；使朝东
n. 东方；东方诸国
adj. 东方的
vi. 向东"
oriental,"adj. 东方的；东方人的
n. 东方人"
occidental,"n. 西方人；欧美人
adj. 西方的；西洋的"
orient,"vt. 使适应；确定方向；使朝东
n. 东方；东方诸国
adj. 东方的
vi. 向东"
orientation,n. 方向；定向；适应；情况介绍；向东方
reorient,vt. 使适应；再调整
abort,"n. 中止计划
vt. 使流产；使中止
vi. 流产；堕胎；夭折；发育不全"
serve,"n. 发球，轮到发球
vi. 服役，服务；适合，足够；发球；招待，侍候
vt. 招待，供应；为…服务；对…有用；可作…用"
deserve,"vi. 应受，应得
vt. 应受，应得"
observe,"vt. 庆祝
vt. 观察；遵守；说；注意到；评论
vi. 观察；说；注意到；评论"
observance,n. 惯例；遵守；仪式；庆祝
observant,adj. 善于观察的；机警的；严格遵守的
servant,n. 仆人，佣人；公务员；雇工
service,"n. 服务，服侍；服役；仪式
adj. 服务性的；耐用的；服现役的
vt. 维修，检修；保养"
serviceable,adj. 有用的，可供使用的；耐用的
disservice,n. 伤害；帮倒忙的行为；不亲切的行为；虐待
self-service,"n. 自助； 自我服务；自助式销售
adj. 自选的；顾客自理的"
servile,adj. 奴隶的；奴性的；卑屈的；卑屈的
servility,n. 奴性；奴态；卑屈
servitude,n. 劳役，奴役；地役权；奴隶状态
sergeant,n. 军士；警察小队长；海军陆战队中士；高等律师
serf,n. 农奴；奴隶；被压迫者
conserve,"n. 果酱；蜜饯
vt. 保存；将…做成蜜饯；使守恒"
conservation,n. 保存，保持；保护
conservatism,n. 保守主义；守旧性
conservative,
preserve,"n. 保护区；禁猎地；加工成的食品
vt. 保存；保护；维持；腌；禁猎"
preservation,n. 保存，保留
self-preservation,n. 自卫本能，自我保护；自我保存
reserve,"n. 储备，储存；自然保护区；预备队；缄默； 储备金
vt. 储备；保留；预约
vi. 预订"
reservation,n. 预约，预订；保留
reservist,n. 在乡军人；后备军人
reservoir,n. 水库；蓄水池
abundant,adj. 丰富的；充裕的；盛产
abundance,n. 充裕，丰富
abound,vi. 富于；充满
fecund,adj. 肥沃的；多产的；丰饶的；生殖力旺盛的
inundate,vt. 淹没；泛滥；浸水；（洪水般的）扑来
redundant,adj. 多余的，过剩的；被解雇的，失业的；冗长的，累赘的
redundancy,n.  冗余（等于redundance）；裁员；人浮于事
undulate,"adj. 波动的；起伏的；波浪形的
vt. 波动；使波动；使起伏；使成波浪形
vi. 起伏，波动；震动；呈波浪形"
accord,"n. 符合；一致；协议；自愿
vt. 使一致；给予
vi. 符合；一致"
accordance,n. 一致；和谐
according to,"prep. 根据；按照；据（…所说）；按（…所报道）
 依照；根据…所说；依据"
accordingly,adv. 因此，于是；相应地；照著
cordial,"n. 补品；兴奋剂；甜香酒，甘露酒
adj. 热忱的，诚恳的；兴奋的"
discord,"n. 不和；不调和；嘈杂声
vi. 不一致；刺耳"
core,
hard core,"n. 核心力量；骨干；中坚力量；路基碎砖石
 硬核；中坚分子；硬蕊"
sign,"n. 迹象；符号；记号；手势；指示牌
vt. 签署；示意
vi. 签署；签名"
assign,"vt. 分配；指派； 赋值
vi. 将财产过户（尤指过户给债权人）"
assignment,n. 分配；任务；作业；功课
designate,"vt. 指定；指派；标出；把…定名为
adj. 指定的；选定的"
designation,n. 指定；名称；指示；选派
ensign,n. 旗；海军少尉；徽章
signify,"vt. 表示；意味；预示
vi. 有重要性；要紧；冒充内行"
consign,vt. 交付；托运；寄存；把…委托给
consignment,n. 委托；运送；托付物
resign,"n. 辞去职务
vi. 辞职
vt. 辞职；放弃；委托；使听从"
resignation,n. 辞职；放弃；辞职书；顺从
resigned,"v. 辞职；顺从（resign的过去分词）
adj. 顺从的；已辞职的；己放弃的"
signet,"n. 印；图章
vt. 盖章于"
proceed,"vi. 开始；继续进行；发生；行进
n. 收入，获利"
procession,"n. 队伍，行列；一列，一排；列队行进
vt. 沿著……行进
vi. 列队行进"
process,"n. 过程，进行；方法，步骤；作用；程序；推移
adj. 经过特殊加工（或处理）的
vt. 处理；加工
vi. 列队前进"
procedure,n. 程序，手续；步骤
proceeding,"n. 进行；程序；诉讼；事项
v. 开始；继续做；行进（proceed的ing形式）"
precede,"vt. 领先，在…之前；优于，高于
vi. 领先，在前面"
precedent,"n. 先例；前例
adj. 在前的；在先的"
unprecedented,adj. 空前的；无前例的
exceed,"vt. 超过；胜过
vi. 超过其他"
excess,"n. 超过，超额；过度，过量；无节制
adj. 额外的，过量的；附加的"
excessive,adj. 过多的，极度的；过分的
exceeding,"v. 超过；占优势（exceed的ing形式）
adj. 超越的；非常的；过度的"
exceedingly,adv. 非常；极其；极度地；极端
concede,"vi. 让步
vt. 承认；退让；给予，容许"
concession,n. 让步；特许（权）；承认；退位
recede,"vi. 后退；减弱
vt. 撤回"
recession,n. 衰退；不景气；后退；凹处
access,"n. 进入；使用权；通路
vt. 使用；存取；接近"
accessible,adj. 易接近的；可进入的；可理解的
inaccessible,adj. 难达到的；难接近的；难见到的
intercession,n. 调解；说情；仲裁
predecessor,n. 前任，前辈
recess,"n. 休息；休会；凹处
vt. 使凹进；把…放在隐蔽处
vi. 休息；休假"
archive,"n. 档案馆；档案文件
vt. 把…存档"
anarchy,n. 无政府状态；混乱；无秩序
anarchic,adj. 无政府的；无政府主义的；无法无天的
anarchist,"n. 无政府主义者
无政府主义的"
hierarchy,n. 层级；等级制度
hierarchical,adj. 分层的；等级体系的
archaic,adj. 古代的；陈旧的；古体的；古色古香的
archetype,n. 原型
archipelago,n. 群岛，列岛；多岛的海区
archbishop,n. 大主教；总教主
cross,"n. 交叉，十字；十字架，十字形物
adj. 交叉的，相反的；乖戾的；生气的
vt. 杂交；渡过；使相交
vi. 交叉；杂交；横过"
crossbow,n. 弩；石弓
cross-examine,"vt. 盘诘；反复询问
vi. 盘问"
crossword,n. 纵横字谜；纵横填字谜（等于cross puzzle）
crucial,adj. 重要的；决定性的；定局的；决断的
cruise,"n. 巡航，巡游；乘船游览
vt. 巡航，巡游；漫游
vi. 巡航，巡游；漫游"
cruiser,n. 巡洋舰；巡航飞机，警察巡逻车
crusade,"n. 改革运动；十字军东侵
vi. 加入十字军；从事改革运动"
crucify,vt. 折磨；十字架上钉死；克制
crux,n. 关键；难题；十字架形，坩埚
quip,"n. 妙语；嘲弄；讽刺语
vi. 嘲弄；讥讽
vt. 嘲弄"
sallow,"n. 黄华柳；黄华柳细枝
adj. 气色不好的；灰黄色的
vt. 成土色
vi. 使……变成土色"
sallow,"n. 黄华柳；黄华柳细枝
adj. 气色不好的；灰黄色的
vt. 成土色
vi. 使……变成土色"
slag,"n. 炉渣；矿渣；熔渣
vt. 使成渣；使变成熔渣
vi. 变熔渣"
stirrup,n.  箍筋；马镫；镫形物
tinker,"n. 补锅匠；修补匠；焊锅；（美）小鲭鱼
vi. 做焊锅匠；焊补；笨手笨脚地做事
vt. 修补；粗修"
whack,"n. 重击；尝试；份儿；机会
vt. 重打；猛击；击败；削减
vi. 重击"
baroque,"n. 巴洛克风格；巴洛克艺术
adj. 巴洛克式的；结构复杂的，形式怪样的"
canopy,"n. 天篷；华盖；遮篷；苍穹
vt. 用天蓬遮盖；遮盖"
cult,n. 祭仪（尤其指宗教上的）；礼拜；狂热信徒
eczema,n.  湿疹
flak,n. 高射炮；抨击；谴责
glacial,adj. 冰的；冰冷的；冰河时代的
hither,"adj. 这边的；近这边的
adv. 到这里；在这里"
jerky,"adj. 抽筋的；急动的；不平稳的
n. 牛肉干"
maverick,"n. 没打烙印的动物；持不同意见的人
vt. 用不正当手段获取
vi. 迷途；背离
adj. 未打烙印的；行为不合常规的；特立独行的"
ovation,n. 热烈欢迎；大喝采
quintet,n. 五重奏，五重唱；男子篮球队； 五位字节
saliva,n. 唾液；涎
slack,"n. 煤末；峡谷
adj. 松弛的；疏忽的；不流畅的
vt. 放松；使缓慢
adv. 马虎地；缓慢地
vi. 松懈；减弱"
stipulate,"adj. 有托叶的
vi. 规定；保证
vt. 规定；保证"
tingle,"n. 刺痛感；激动；鸣响
vt. 刺痛；使激动
vi. 感到刺痛；（耳朵等）鸣响"
weird,"n. （苏格兰）命运；预言
adj. 怪异的；不可思议的；超自然的"
barge,"n. 驳船；游艇
vt. 用船运输；蛮不讲理地闯入或打扰某事物
vi. 蹒跚；闯入"
canon,n. 标准；教规；正典圣经；教士
culprit,n. 犯人，罪犯；被控犯罪的人
eclipse,"n. 日蚀，月蚀；黯然失色
vt. 使黯然失色；形成蚀"
flair,n. 天资；天分；资质；鉴别力
gist,n. 主旨，要点；依据
hitch,"n. 故障；钩；猛拉；急推；蹒跚
vt. 搭便车；钩住；套住；猛拉；使结婚
vi. 被钩住；急动；蹒跚；搭便车旅行；结婚"
jerk,"n. 肌肉抽搐；性情古怪的人；蠢人；急拉
vi. 痉挛；急拉；颠簸地行进
vt. 猛拉"
mauve,"n. 淡紫色；苯胺紫；淡紫色染料
adj. 淡紫色的"
oust,vt. 驱逐；剥夺；取代
quibble,"n. 谬论；双关语；遁辞
vi. 诡辩；挑剔；说模棱两可的话
vt. 对…诡辩"
salient,"n. 凸角；突出部分
adj. 显著的；突出的；跳跃的"
slab,"n. 厚板，平板；混凝土路面；厚片
vt. 把…分成厚片；用石板铺"
stint,"n. 节约；定额，定量
vt. 节省；限制
vi. 紧缩，节省"
tinder,n. 火绒；易燃物
wedge,"n. 楔子；楔形物；导致分裂的东西
vt. 楔入；挤进；楔住
vi. 楔入；挤进"
banter,n. 无恶意的玩笑
cannibal,"n. 食人者；吃同类的动物
adj. 食同类的；吃人肉的；凶残的"
cuff,"n. 袖口，裤子翻边；手铐；一巴掌
vt. 给…上袖口；用巴掌打；给…带上手铐
vi. 殴斗，拳击"
ebony,"n. 乌木，黑檀
adj. 乌木制的，黑檀木制的；似木的，黑檀木色的"
flail,"n. 连枷（打谷物用的工具）
vt. 打；用连枷打
vi. 打；用连枷打"
girdle,"n. 腰带；围绕物；妇女紧身褡
vt. 围绕；绕…而行；用带子捆扎"
histrionic,"n. 演员
adj. 戏剧的；演员的，表演的"
jeopardize,vt. 危害；使陷危地；使受危困
maul,"n. 大槌
vt. 打伤；殴打；抨击；粗暴对待"
oscillation,n. 振荡；振动；摆动
quench,"vt. 熄灭， 淬火；解渴；结束；冷浸
vi. 熄灭；平息"
saga,n. 传说；冒险故事；英雄事迹
skirmish,"n. 小冲突，小规模战斗；小争论
vi. 进行小规模战斗；发生小争论"
stink,"n. 臭味；讨厌的人
vt. 使发出臭气；用臭味驱赶
vi. 发出臭味；招人讨厌"
tilt,"n. 倾斜
vt. 使倾斜；使翘起
vi. 倾斜；翘起；以言词或文字抨击"
wean,"n. （苏格兰）幼儿
vt. 使断奶；使断念；使放弃"
banjo,n. 班卓琴；五弦琴
canine,"n. 犬； 犬齿
adj. 犬的；犬齿的；犬科的；似犬的"
cudgel,"n. 棍棒
vt. 用棍棒打"
ebb,"n. 衰退；退潮；衰落
vi. 衰退；减少；衰落；潮退"
flagrant,adj. 公然的；不能容忍的；非常的；臭名远扬的；明目张胆的；恶名昭著的（名词flagrancy，副词flagrantly）
girder,n.  大梁，纵梁
hiss,"n. 嘘声；嘶嘶声
vi. 发出嘘声；发嘘声"
jeer,"n. 嘲笑；戏弄；揶揄的言语
vi. 嘲笑；戏弄
vt. 嘲笑；戏弄"
matinee,n. 白天举行的音乐会；妇女便装之一种
orgy,n. 狂欢；放荡
quell,vt. 平息；镇压；减轻；消除
sag,"n. 松弛；下跌；漂流；萧条
vt. 使下垂
vi. 下垂；下降；萎靡"
stile,n. 阶梯
tickle,"n. 胳肢；痒感；使人发痒、高兴的东西
vt. 使发痒；使高兴；使满足
vi. 觉得痒；（东西）使人发痒"
wasp,abbr. 盎格鲁撒克逊系的白人新教徒（White Anglo-Saxon Protestant）
banister,n. 栏杆的支柱；楼梯的扶栏
canary,n.  金丝雀；淡黄色
cuddle,"n. 搂抱，拥抱
vt. 拥抱；亲热地搂住；抚爱地拥抱
vi. 拥抱；偎依；舒服地贴著身睡"
eaves,n. 屋檐；凸出的边缘
flaccid,adj.  弛缓的；软弱的；无活力的
gin,"n. 杜松子酒；网； 三角起重机
vi. 喝杜松子酒； 用陷阱(或网)捕捉，诱捕(猎物)"
hilt,n. 刀把，柄
jaywalk,vi. 乱穿马路（不遵守交通规则）
mast,"n. 桅杆；柱；橡树果实
vt. 在…上装桅杆"
orgasm,n.  性高潮；极度兴奋
stand,"n. 站立；立场；看台；停止
vi. 站立；位于；停滞
vt. 使站立；忍受；抵抗"
standing,"n. 站立；持续；身分
adj. 长期的；直立的；固定的
v. 站立；坚持不变；坐落于（stand的ing形式）"
withstand,"vt. 抵挡；禁得起；反抗
vi. 反抗"
notwithstanding,"adv. 尽管，仍然
prep. 尽管，虽然
conj. 虽然"
grandstand,"n. 正面看台；观众；哗众取宠的表演
adj. 看台上的
vi. 做博取观众喝采的演技"
standpoint,n. 立场；观点
stance,n. 立场；姿态；位置；准备击球姿势
constant,"n.  常数；恒量
adj. 不变的；恒定的；经常的"
constancy,n. 坚定不移；恒久不变
constantly,adv. 不断地；时常地
extant,adj. 现存的；显著的
instance,"n. 实例；情况；建议
vt. 举...为例"
instant,"n. 瞬间；立即；片刻
adj. 立即的；紧急的；紧迫的"
instantly,"conj. 一…就…
adv. 立即地；马上地；即刻地"
instantaneous,adj. 瞬间的；即时的；猝发的
stable,"n. 马厩；牛棚
adj. 稳定的；牢固的；坚定的
vt. 赶入马房
vi. 被关在马厩"
constable,n. 治安官，巡警；警察
obstacle,n. 障碍，干扰；妨害物
destine,vt. 注定；命定；预定
obstinate,adj. 顽固的；倔强的；难以控制的
climb,"n. 爬；攀登
vi. 爬；攀登；上升
vt. 爬；攀登；上升"
clamber,"vt. 爬，攀登
vi. 攀登，爬上
n. 攀登，爬上"
clench,"vt. 紧握；确定；把…敲弯
vi. 握紧；钉牢
n. 紧抓；敲环脚"
clinch,"n. 拥吻；钉牢
v. 扭住；敲弯；最终确定或解决"
cling,vi. 坚持，墨守；紧贴；附着
clip,"vi. 剪；修剪；剪下报刊上的文章（或新闻、图片等）；迅速行动；用别针别在某物上，用夹子夹在某物上
n. （塑料或金属的）夹子；回纹针；修剪；剪报
vt. 剪；剪掉；缩短；给…剪毛（或发）用别针别在某物上，用夹子夹在某物上"
clutch,"n. 离合器；控制；手；紧急关头
vt. 抓住；紧握
adj. 没有手提带或背带的；紧要关头的
vi. 攫；企图抓住"
count,"n. 计数；计算；伯爵
vt. 计算；认为
vi. 计数；有价值"
account,"n. 账户；解释；账目，账单；理由；描述
vt. 认为；把…视为
vi. 解释；导致；报账"
accountant,n. 会计师；会计人员
accountancy,n. 会计工作；会计学；会计师之职
accountable,adj. 有责任的；有解释义务的；可解释的
unaccountable,adj. 无责任的；莫名其妙的；不可理解的
counter,"n. 柜台；对立面；计数器；（某些棋盘游戏的）筹码
vi. 逆向移动，对着干；反驳
adj. 相反的
vt. 反击，还击；反向移动，对着干；反驳，回答
adv. 反方向地；背道而驰地"
countless,adj. 无数的；数不尽的
discount,"n. 折扣；贴现率
vt. 打折扣；将…贴现；贬损；低估；忽视
vi. 贴现；打折扣出售商品"
recount,"n. 重算
vt. 叙述；重新计算"
count,"n. 计数；计算；伯爵
vt. 计算；认为
vi. 计数；有价值"
countess,n. 伯爵夫人；女伯爵
county,n. 郡，县
viscount,n. （英国的）子爵
counter,"n. 柜台；对立面；计数器；（某些棋盘游戏的）筹码
vi. 逆向移动，对着干；反驳
adj. 相反的
vt. 反击，还击；反向移动，对着干；反驳，回答
adv. 反方向地；背道而驰地"
counteract,vt. 抵消；中和；阻碍
counterattack,"n. 反击；反攻
vi. 反击；反攻
vt. 反击；反攻"
counterbalance,"n. 平衡力；自动抵销
vt. 使平衡；抵消"
counterfeit,"n. 赝品；冒牌货；伪造品
adj. 假冒的，伪造的；虚伪的
vt. 伪造，仿造；假装，伪装
vi. 仿造；假装"
counterpart,n. 副本；配对物；极相似的人或物
encounter,"n. 遭遇，偶然碰见
vi. 遭遇；偶然相遇
vt. 遭遇，邂逅；遇到"
contradict,"vt. 反驳；否定；与…矛盾；与…抵触
vi. 反驳；否认；发生矛盾"
contradiction,n. 矛盾；否认；反驳
contradictory,"n. 对立物；矛盾因素
adj. 矛盾的；反对的；反驳的；抗辩的"
self-contradictory,adj. 自相矛盾的
contrary,"n. 相反；反面
adj. 相反的；对立的
adv. 相反地"
contrast,"n. 对比；差别；对照物
vt. 使对比；使与…对照
vi. 对比；形成对照"
controversy,n. 争论；论战；辩论
controversial,adj. 有争议的；有争论的
controvert,"vt. 驳斥；就…展开争论
vi. 争论；辩论"
incontrovertible,adj. 无可争议的；无疑的；明白的
direct,"adj. 直接的；直系的；亲身的；恰好的
vt. 管理；指挥；导演；指向
adv. 直接地；正好；按直系关系
vi. 指导；指挥"
direction,n. 方向；指导；趋势；用法说明
directive,"n. 指示；指令
adj. 指导的；管理的"
directory,"n.  目录；工商名录；姓名地址录
adj. 指导的；咨询的"
rector,n. 校长；院长；教区牧师
erect,"vt. 使竖立；建造；安装
adj. 竖立的；笔直的；因性刺激而勃起的
vi. 直立；勃起"
erection,n. 勃起；建造；建筑物；直立
rectitude,n. 公正；诚实；清廉
insurrection,n. 暴动；叛乱
insurgent,"n. 叛乱者；起义者
adj. 叛乱的；起义的"
resurrection,n. 复活；恢复；复兴
resurgent,"n. 复活者
adj. 复活的；复苏的"
surge,"n. 汹涌；大浪，波涛；汹涌澎湃；巨涌
v. 汹涌；起大浪，蜂拥而来"
upsurge,"n. 高潮，高涨
vi. 涌起，高涨"
language,n. 语言；语言文字；表达能力
lingual,"adj. 语言的；舌的，舌音的
n. 舌音，舌音字"
bilingual,"n. 通两种语言的人
adj. 双语的"
monolingual,"adj. 单语的；仅用一种语言的；仅懂一种语言的
n. 只用一种语言的人"
linguist,"n. 语言学家
学多种外语的人"
linguistic,adj. 语言的；语言学的
linguistics,n. 语言学
dismiss,"vt. 解散；解雇；开除；让...离开；不予理会、不予考虑
vi. 解散"
missile,"n. 导弹；投射物
adj. 导弹的；可投掷的；用以发射导弹的"
emit,vt. 发出，放射；发行；发表
emission,n. （光、热等的）发射，散发；喷射；发行
intermittent,adj. 间歇的；断断续续的；间歇性
omit,vt. 省略；遗漏；删除；疏忽
omission,n. 疏忽，遗漏；省略；冗长
remit,"n. 移交的事物
vt. 宽恕；免除；减轻；传送；使恢复原状
vi. 汇款；缓和"
remission,n. 缓解；宽恕；豁免
remittance,n. 汇款；汇寄之款；汇款额
unremitting,adj. 不懈的；不间断的；坚忍的
submit,"vi. 提交；服从
vt. 使服从；主张；呈递"
submission,n. 投降；提交（物）；服从；（向法官提出的）意见；谦恭
submissive,adj. 顺从的；服从的；柔顺的
transmit,"vt. 传输；传播；发射；传达；遗传
vi. 传输；发射信号"
transmission,n. 传动装置， 变速器；传递；传送；播送
leaf,"n. 叶子；（书籍等的）一张；扇页
vi. 生叶；翻书页
vt. 翻…的页，匆匆翻阅"
leaflet,n. 小叶；传单
foliage,n. 植物；叶子（总称）
defoliate,"vt. 使落叶
vi. 落叶"
folivore,n. ( 尤指灵长目) 食叶动物
portfolio,n. 公文包；文件夹；证券投资组合；部长职务
foil,"n. 箔，金属薄片；衬托，烘托；叶形片
abbr. 面向文件的翻译语言（file-Oriented interpretive language）
vt. 衬托；阻止，挡开；挫败；贴箔于"
close,"n. 结束
adj. 紧密的；亲密的；亲近的
vt. 关；结束；使靠近
vi. 关；结束；关闭
adv. 紧密地"
closet,"n. 壁橱；议事室，密室；小房间
adj. 秘密的，私下的；空谈的
vt. 把…关在私室中"
disclose,vt. 公开；揭露
enclose,vt. 围绕；装入；放入封套
include,vt. 包含，包括
including,prep. 包含，包括
inclusion,n. 包含；内含物
inclusive,adj. 包括的，包含的
exclude,vt. 排除；排斥；拒绝接纳；逐出
excluding,"prep. 将……排除在外；不包括……
v. 排除；除外；拒绝（exclude的ing形式）"
exclusion,n. 排除；排斥；驱逐；被排除在外的事物
exclusive,"n. 独家新闻；独家经营的项目；排外者
adj. 独有的；排外的；专一的"
exclusively,adv. 唯一地；专有地；排外地
conclude,"vi. 推断；断定；决定
vt. 推断；决定，作结论；结束"
conclusion,n. 结论；结局；推论
conclusive,adj. 决定性的；最后的；确实的；确定性的
preclude,vt. 排除；妨碍；阻止
preclusion,n. 排除；阻止；妨碍；预防
seclude,vt. 使隔离，使隔绝
secluded,"adj. 隐蔽的；隐退的，隐居的
v. 隔绝（seclude的过去式）"
claustrophobia,n.  幽闭恐怖症
quay,n. 码头
saffron,"n. 藏红花；橙黄色
adj. 藏红花色的，橘黄色的"
stifle,"n. （马等的）后膝关节；（马等的） 后膝关节病
vt. 扼杀；使窒息；藏匿
vi. 窒息；被扼杀"
tiara,n. 女式冕状头饰；（罗马教皇的）三重冕
warp,"n. 弯曲，歪曲；偏见；乖戾
vt. 使变形；使有偏见；曲解
vi. 变歪，变弯；曲解"
bane,n. 毒药；祸害；灭亡的原因
camouflage,"n. 伪装，掩饰
vt. 伪装，掩饰
vi. 伪装起来"
cuckoo,"n. 布谷鸟；杜鹃鸟；傻子；咕咕声
adj. 愚笨的；疯狂的
vt. 不停地重复
vi. 学杜鹃叫"
easel,n. 画架；黑板架
flabby,adj. 松弛的；软弱的；没气力的；优柔寡断的
gimmick,"n. 暗机关；骗人的玩意；花招
vt. 使暗机关；搞骗人的玩意"
hilarious,adj. 欢闹的；非常滑稽的；喜不自禁的
javelin,n. 标枪，投枪
mason,n. 梅森（男子名）
orchid,"n. 兰花； 兰科植物；淡紫色
adj. 淡紫色的"
quash,vt. 撤销；镇压；宣布无效；捣碎
safari,n. 旅行；狩猎远征；旅行队
sizzle,"n. 嘶嘶声
vt. 把…烧得发嘶嘶声
vi. 发嘶嘶声"
steroid,n. 类固醇； 甾族化合物
thyroid,"n. 甲状腺；甲状软骨；甲状腺剂
adj. 甲状腺的；盾状的"
wares,n.  商品；货物
bandit,n. 强盗，土匪；恶棍；敲诈者
cameo,n. （影视剧中的）配角；刻有浮雕的宝石或贝壳；小品文
cub,"n. 幼兽；不懂规矩的年轻人
vi. 生育幼兽"
dwindle,"vi. 减少；变小
vt. 使缩小，使减少"
fizz,"n. 兴奋，活力；嘶嘶声；充气饮料
vi. 显示兴奋；发嘶嘶声；起泡沫"
gill,"n. 鳃；菌褶；（山谷中的）沟壑，峡流；及耳（容量单位）
vi. 被刺网捕住
vt. 用刺网捕鱼；去除内脏"
jasmine,n. 茉莉；淡黄色
mash,"n. 饲料；糊状物；麦芽浆
vt. 捣碎；调情"
opus,n. 作品
sadism,n. 虐待狂；性虐待狂；病态的残忍
sirloin,n. 牛的上部腰肉；牛里脊肉
waive,vt. 放弃；搁置
balustrade,n. 栏杆
callow,adj. 年轻而无经验的；羽毛未丰的
dupe,"vt. 欺骗；愚弄（等于duplicate）
n. 上当者；易受骗的人"
hijack,"n. 劫持；威逼；敲诈
vt. 抢劫；揩油
vi. 拦路抢劫"
jargon,n. 行话，术语；黄锆石
mascot,n. 吉祥物；福神（等于mascotte）
opulent,adj. 丰富的；富裕的；大量的
qualm,n. 疑虑；不安
siphon,"n. 虹吸管
vt. 用虹吸管吸出；抽取
vi. 通过虹吸管"
thug,n. 暴徒；恶棍；刺客
wail,"n. 哀号；悲叹；恸哭声
vt. 为某人死亡而悲痛；哀悼某人；哀号着说
vi. 哀号；悲叹"
ballast,"n. 压舱物， 压载物；道渣，碎石
vt. 给…装压舱物；给…铺道渣"
callous,"n. 硬皮；老茧
adj. 无情的；麻木的；硬结的；起老茧的
vt. 使冷酷无情；使硬结；使生茧
vi. 变得冷酷无情；结茧；变硬"
crumb,"n. 面包屑，碎屑；少许
vt. 弄碎；捏碎"
dungarees,n. 粗布工作服
giggle,"n. 吃吃的笑
vt. 咯咯地笑着说
vi. 傻笑；咯咯地笑"
janitor,"n. 看门人；守卫；门警
n. 清洁工"
opaque,"adj. 不透明的；不传热的；迟钝的
n. 不透明物
vt. 使不透明；使不反光"
